,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
432,573,NCT04223622,Effects of ASC Secretome on Human Osteochondral Explants,ASC-OA,Recruiting,No Results Available,Osteoarthritis,Biological: ASC secretome,"Validation of the cell-free approach based on the use of ASC secretome on an ex vivo OA model by evaluation of cell viability, histological features and gene/protein expression of cartilage and bone biomarkers",Istituto Ortopedico Galeazzi,All,"18 Years and older   (Adult, Older Adult)",,24,Other,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,ASC-OA,"April 12, 2021",December 2022,December 2022,"January 10, 2020",,"December 3, 2021","IRCCS Istituto Ortopedico Galeazzi, Milano, MI, Italy",,https://ClinicalTrials.gov/show/NCT04223622
433,10,NCT02658344,Clinical Trial to Evaluate Efficacy and Safety of JOINTSTEM in Patients With Degenerative Arthritis,,Completed,No Results Available,Degenerative Arthritis|Knee Osteoarthritis,Biological: JOINTSTEM|Drug: Saline solution,WOMAC score|WOMAC 3 subscale|KOOS (Knee Injury & Osteoarthritis Outcome Score)|SF(Short Form)-36 Score|Global assessment of disease activity|Overall satisfaction|X-ray|MRI scan|Arthroscopy evaluation|Histological evaluation|VAS|IKDC|ROM|Quadriceps power|effusion|Crepitus|Ligament laxity|Medial joint line tenderness|Pes tenderness,R-Bio,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Jointstem2b,July 2015,November 2016,December 2016,"January 18, 2016",,"June 5, 2019","KyungHee University Gangdong Hospital, Seoul, Korea, Republic of|GangNam Severance Hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02658344
434,187,NCT04654286,Human Amniotic Membrane and Mesenchymal Stem Cells Composite,BPI+MSC,Recruiting,No Results Available,Brachial Plexus Neuropathies,Procedure: Nerve transfer procedure|Procedure: Nerve transfer with HAM-AdMSC composite wrapping,"Active range of motion (AROM) pre-surgery|Active range of motion (AROM) at 12 months follow-up|Functional motor power outcome pre-surgery|Functional motor power outcome at 12 months follow-up|Initial elbow flexion MRC grade 1 (in months)|Initial elbow flexion MRC grade 3 (in months)|Pain outcome pre-surgery|Pain outcome at 12 months follow-up|Disabilities of the Arm, Shoulder, and Hand (DASH) score pre-surgery|Disabilities of the Arm, Shoulder, and Hand (DASH) score at 12 months follow-up|Short Form-36 (SF-36) score pre-surgery|Short Form-36 (SF-36) score at 12 months follow-up",Dr. Soetomo General Hospital,All,"15 Years to 55 Years   (Child, Adult)",Not Applicable,24,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,647 / Panke.KKE/ XI / 2016,"November 17, 2016","July 30, 2021","July 30, 2022","December 4, 2020",,"December 7, 2020","Cell and Tissue Bank - Regenerative Medicine, Dr. Soetomo General Academic Hospital/ Faculty of Medicine Universitas Airlangga, Surabaya, East Java, Indonesia",,https://ClinicalTrials.gov/show/NCT04654286
435,196,NCT04548583,Study of Mesenchymal Stem Cells for the Treatment of Medically Refractory Crohn's Colitis,,Recruiting,No Results Available,Crohn Colitis,Drug: Remestemcel-L|Other: Placebo,Treatment related adverse events|Complete clinical healing|Clinical response|Partial clinical response|Lack of response|Crohn's disease activity index|Inflammatory bowel disease questionnaire|EuroQol 5 Dimensions survey|Inflammatory bowel disease patient reported treatment impact survey|Short Form 36 health survey,"The Cleveland Clinic|Mesoblast, Inc.",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,24,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,20-845,"November 4, 2020",October 2023,October 2023,"September 14, 2020",,"April 5, 2022","Cleveland Clinic, Cleveland, Ohio, United States",,https://ClinicalTrials.gov/show/NCT04548583
436,12,NCT00781872,Mesenchymal Stem Cells for the Treatment of MS,,Completed,No Results Available,Multiple Sclerosis,Biological: Injection of autologous bone marrow derived mesenchymal stem cells,Safety of one or multiple intrathecaland intravenous injections of autologous MSC in Multiple sclerosis|Clinical effects in terms of changes in the expended disability status scale (EDSS) at 3-6 month intervals|Immunological effects of treatment with MSC in MS,Hadassah Medical Organization,All,"35 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,24,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MS22MSC-HMO-CTIL,October 2006,December 2009,December 2009,"October 29, 2008",,"March 29, 2021",,,https://ClinicalTrials.gov/show/NCT00781872
437,656,NCT04537351,The MEseNchymal coviD-19 Trial: MSCs in Adults With Respiratory Failure Due to COVID-19 or Another Underlying Cause,MEND,Recruiting,No Results Available,Covid19|Acute Respiratory Distress Syndrome,Biological: CYP-001,Trend in trajectory of PaO2/FiO2 ratio (P/F ratio) between groups|Incidence and severity of treatment-emergent adverse events|Change in C-reactive protein (CRP) levels|Proportional differences between groups on the Clinical Improvement Scale|Changes in P/F ratio|Changes in respiratory rate|Changes in oxygenation index|Changes in respiratory compliance (the change in lung volume per unit change in transmural pressure gradient)|Changes in positive end-expiratory pressure|Ventilator-free days|Proportional differences between groups on the SF-36|Proportional differences between groups on the mini mental state examination,Cynata Therapeutics Limited|Cerebral Palsy Alliance,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,24,Industry|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CYP-COVID-19-01,"August 24, 2020","December 31, 2022","December 31, 2022","September 3, 2020",,"July 20, 2022","Nepean Hospital, Kingswood, New South Wales, Australia|St George Hospital, Kogarah, New South Wales, Australia|Westmead Hospital, Westmead, New South Wales, Australia|Footscray Hospital, Footscray, Victoria, Australia|Sunshine Hospital, Saint Albans, Victoria, Australia",,https://ClinicalTrials.gov/show/NCT04537351
438,207,NCT04276987,A Pilot Clinical Study on Inhalation of Mesenchymal Stem Cells Exosomes Treating Severe Novel Coronavirus Pneumonia,,Completed,No Results Available,Coronavirus,Biological: MSCs-derived exosomes,Adverse reaction (AE) and severe adverse reaction (SAE)|Time to clinical improvement (TTIC)|Number of patients weaning from mechanical ventilation|Duration (days) of ICU monitoring|Duration (days) of vasoactive agents usage|Duration (days) of mechanical ventilation supply|Number of patients with improved organ failure|Rate of mortality,"Ruijin Hospital|Shanghai Public Health Clinical Center|Wuhan Jinyintan Hospital, Wuhan, China|Cellular Biomedicine Group Ltd.",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,24,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MEXCOVID,"February 15, 2020","May 31, 2020","July 31, 2020","February 19, 2020",,"September 7, 2020","Ruijin Hospital Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China",,https://ClinicalTrials.gov/show/NCT04276987
439,388,NCT04355728,Use of UC-MSCs for COVID-19 Patients,,Completed,Has Results,"Corona Virus Infection|ARDS|ARDS, Human|Acute Respiratory Distress Syndrome|COVID-19",Biological: Umbilical Cord Mesenchymal Stem Cells + Heparin along with best supportive care.|Other: Vehicle + Heparin along with best supportive care,"Number of Participants With Pre-Specified Infusion Associated Adverse Events|Number of Subjects With Serious Adverse Events by 31 Days After First Infusion|Percentage of Participants Experiencing Serious Adverse Events (SAEs) Through Study Day 90|Number of Adverse Events (AEs) and Serious Adverse Events (SAEs)|Number of Adverse Events (AEs) and Serious Adverse Events (SAEs) by Severity|Subjects With Adverse Events and Serious Adverse Events by Severity|Number of Adverse Events and Serious Adverse Events by Relatedness to Treatment|Subjects With Adverse Events by Relatedness to Treatment|Survival at 31 Days Post First Infusion|Survival at 60 Days Post First Infusion|Time to Recovery|Ventilator-Free Days Throughout 28 Days Post Second Infusion|Ventilator-Free Days Throughout 90 Days|Respiratory Rate and Oxygenation Index (ROX Index)|Oxygenation Index (OI)|Positive End-Expiratory Pressure (PEEP) and Plateau Pressure (Pplat)|Sequential Organ Failure Assessment (SOFA) Scores|Smell Identification Test (SIT) Scores|White Blood Cell Count (WBC)|Platelets Count|Hemogoblin|Hematocrit|Neutrophils|Lymphocytes|Glomerular Filtration Rate|Total Protein|Sodium|Potassium|Creatinine|Glucose|Albumin|Alkaline Phosphatase|Alanine Aminotransferase or Serum Glutamate-pyruvate Transaminase (ALT or SGPT)|Aspartate Aminotransferase or Serum Glutamic Oxaloacetic Transaminase (AST or SGOT)|Total Bilirubin|Blood Urea Nitrogen (BUN)|Calcium|Chloride|Carbon Dioxide (CO2)|C-Reactive Protein Levels|Arachidonic Acid/Eicosapentaenoic Acid (AA/EPA) Ratio|D-dimer Levels|25-Hydroxy Vitamin D Levels|Tumor Necrosis Factor-alpha (TNFα)|Tumor Necrosis Factor-beta (TNFβ)|Soluble Tumor Necrosis Factor Receptor 2 (sTNFR2)|Viral Load by SARS-CoV-2 RT-PCR|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 3 Post First Infusion|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 6 Post First Infusion|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 14 Post First Infusion|Number of Participants With Positive, Negative, or Borderline Serology Testing for SARS-CoV-2 IgM/IgG",Camillo Ricordi|University of Miami,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,24,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",20200671|20200370,"April 25, 2020","October 31, 2020","October 31, 2020","April 21, 2020","December 6, 2021","December 6, 2021","Diabetes Research Institute, University of Miami Miller School of Medicine, Miami, Florida, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/28/NCT04355728/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04355728
440,8,NCT04928287,"Randomized, Double-Blind Clinical Trial for Parkinson's Disease (Early and Moderate)",PD,"Active, not recruiting",No Results Available,Parkinson Disease,Biological: HB-adMSCs|Other: Placebo,"Changes in MDS-UPDRS Part II.|Incidence of treatment-emergent Adverse Event (TEAEs).|Incidence of treatment-emergent Serious Adverse Events (SAEs).|AEs of special interest (serious or non-serious) - thromboembolic events.|AEs of special interest (serious or non-serious) - thromboembolism of the extremities|AEs of special interest (serious or non-serious) - infections|AEs of special interest (serious or non-serious) - hypersensitivities.|Laboratory values. CBC|Laboratory values. CMP|Laboratory values. Coagulation Panel|Vital signs. - Respiratory Rate (breaths per minute)|Vital signs. - Heart Rate (beats per minute)|Vital signs. - Body Temperature (Fahrenheit )|Vital signs. - Blood Pressure (mmHg)|Weight in lb.|Physical examination results. General|Physical examination results. Body Systems.|Changes in MDS-UPDS total score.|Changes in MDS-UPDRS Part I.|Changes in MDS-UPDRS Part III.|Changes in MDS-UPDRS Part IV.|Changes in Neuro-QOL. - Communication|Changes in Neuro-QOL. - Social Roles and Activities|Changes in Neuro-QOL. - Anxiety|Changes in Neuro-QOL. - Depression|Changes in Neuro-QOL. - Dyscontrol|Changes in Neuro-QOL. - Fatigue|Changes in Neuro-QOL. - Mobility|Changes in Neuro-QOL. - Well-Being|Changes in Neuro-QOL. - Sleep|Changes in Neuro-QOL. - Fine Motor|Changes in Neuro-QOL. - Stigma|Changes in Neuro-QOL. - Social Roles|Changes in Neuro-QOL. - Cognition|Changes in Parkinson's disease fatigue scale (PFS-16).|Changes in Parkinson's disease Questionnaire (PDQ-39).|Changes in Visual Analog Scale for Pain.|Changes in Dosage of medications taken to treat Parkinson's disease.|Incidence of treatment-emergent Adverse Event (TEAEs) and serious Adverse Events (SAEs).|Incidence and risk of AEs of special interest (serious or non-serious),|Clinically significant changes in laboratory values. - CBC|Changes in Visual Analog Scale for muscle spasms.|Clinically significant changes in vital signs. - Respiratory Rate|Clinically significant changes in vital signs. - Heart Rate|Clinically significant changes in vital signs. - Body Temperature.|Clinically significant changes in vital signs. - Blood Pressure.|Clinically significant changes in vital signs. - Oxygen Saturation.|Clinically significant changes in physical examination results.|Clinically significant changes in weight in lb.|Clinically significant changes in laboratory values. - CMP|Clinically significant changes in laboratory values. - Coagulation Panel",Hope Biosciences Stem Cell Research Foundation|Hope Biosciences,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,24,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HBPD03,"June 28, 2021","May 28, 2023","May 28, 2023","June 16, 2021",,"July 21, 2022","Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States",,https://ClinicalTrials.gov/show/NCT04928287
441,25,NCT02805855,Autologous Culture Expanded Mesenchymal Stromal Cells for Knee Osteoarthritis,,"Active, not recruiting",No Results Available,"Osteoarthritis, Knee",Drug: Autologous Adipose-Derived Mesenchymal Stromal Cells,Number of subjects experiencing adverse events.,"Jacob L. Sellon, M.D.|Mayo Clinic",All,"40 Years to 70 Years   (Adult, Older Adult)",Phase 1,24,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-008179,"October 26, 2016","April 26, 2023","April 26, 2023","June 20, 2016",,"April 6, 2022","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT02805855
442,5,NCT04063215,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy for the Treatment of Traumatic Brain Injury and Hypoxic-Ischemic Encephalopathy,,"Active, not recruiting",No Results Available,Traumatic Brain Injury,Biological: HB-adMSCs,Glucose|Calcium|Albumin|Total Protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Aspartate aminotransferase|Total Bilirubin|White blood cell|Red blood cell|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean corpuscular hemoglobin|Mean corpuscular hemoglobin concentration|Red cell distribution width|Neutrophils|Lymphs|Monocytes|Eos|Basos|Absolute Neutrophils|Absolute Lymphs|Absolute monocytes|Absolute Eos|Absolute Basos|Immature Granulocytes|Absolute Immature Granulocytes|Platelets|Prothrombin Time|INR|Urine Pregnancy|Whole brain MRI|PET/DT-MRI|Glasgow Outcome Score|Galveston Orientation and Amnesia Test|Rivermead Post-Concussion Symptoms Questionnaire|Automated Neuropsychological Assessment Metrics|Verbal Selective Reminding Test|Verbal Fluency Test|Stroop|Interleukin 1-alpha|Interleukin 4|Tumor necrosis factor alpha|Interleukin 6|Interleukin 10,"Hope Biosciences|The University of Texas Health Science Center, Houston",All,18 Years to 55 Years   (Adult),Phase 1|Phase 2,24,Industry|Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HBTBI01,"January 1, 2020","May 27, 2022","December 31, 2024","August 21, 2019",,"May 31, 2022","Memorial Hermann Hospital-Clinical Research Unit (MMH-CRU), Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT04063215
443,132,NCT05495711,hUC Mesenchymal Stem Cells (19#iSCLife®-UT) Therapy for Patients With Thin Endometrial Infertility,,Recruiting,No Results Available,"Infertility, Female",Biological: human umbilical cord mesenchymal stem cell complex collagen|Procedure: intrauterine injection,Irregular menstruation patients efficacy evaluation|Intrauterine adhesion patients efficacy evaluation,"Sclnow Biotechnology Co., Ltd.",Female,20 Years to 39 Years   (Adult),Phase 1,24,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCLnow-XY-05,"May 1, 2020","October 1, 2022","December 31, 2022","August 10, 2022",,"August 10, 2022","Xiangya Hospital Central South University, Changsha, Hunan, China",,https://ClinicalTrials.gov/show/NCT05495711
444,9,NCT05116540,Randomized Double-Blind Phase 2 Efficacy and Safety of Autologous HB-MSCs vs Placebo for Treatment of Multiple Sclerosis,HBMS01,Recruiting,No Results Available,Multiple Sclerosis,Biological: HB-adMSCs|Drug: Placebo,To investigate the efficacy of intravenous infusions of HB-adMSCs vs placebo in patients with Multiple Sclerosis as determined by improvements in the Multiple Sclerosis Quality of Life (MSQOL) 54 Instrument.|To evaluate the efficacy of intravenous infusions of HB-adMSCs vs placebo in patients with Multiple Sclerosis as determined by changes in the Expanded Disability Status Scale (EDSS)|To evaluate the efficacy of intravenous infusions of HB-adMSCs vs placebo in patients with Multiple Sclerosis as determined by changes in the Barthel Index|To determine the efficacy of intravenous infusions of HB-adMSCs vs. Placebo in patients with Multiple Sclerosis as determined by changes in 9-Hole Peg Test|To identify the safety of intravenous infusions of HB-adMSCs vs. Placebo in patients with Multiple Sclerosis as determined by changes in Patient Health Questionnaire (PHQ-9)|To assess the safety of intravenous infusions of HB-adMSCs vs. Placebo in patients with Multiple Sclerosis as determined by the incidence of adverse events or serious adverse events,Hope Biosciences Stem Cell Research Foundation|Hope Biosciences,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,24,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HBMS01,"November 24, 2021","November 22, 2023","November 22, 2023","November 11, 2021",,"May 24, 2022","Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States",,https://ClinicalTrials.gov/show/NCT05116540
445,47,NCT00250302,Autologous Implantation of Mesenchymal Stem Cells for the Treatment of Distal Tibial Fractures,,Completed,No Results Available,Tibial Fracture,Procedure: autologous mesenchymal stem cells implantation,Safety|Number of patients reaching clinical union of fracture,"Hadassah Medical Organization|Teva Branded Pharmaceutical Products R&D, Inc.",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,24,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AMSC-01-HMO-CTIL,April 2009,April 2011,April 2011,"November 8, 2005",,"April 28, 2011","Hadassah Medical Organizaton, Jerusalem, Israel",,https://ClinicalTrials.gov/show/NCT00250302
446,281,NCT03015623,A Study of Cell Therapy for Subjects With Acute Kidney Injury Who Are Receiving Continuous Renal Replacement Therapy,,"Active, not recruiting",No Results Available,Acute Kidney Injury,Biological: SBI-101|Device: Sham,Safety and tolerability as measured by incidence of IP-related serious adverse events,"Sentien Biotechnologies, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,24,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",SBI-101-01,"June 20, 2017",December 2021,December 2021,"January 10, 2017",,"March 16, 2021","Lehigh Valley Hospital, Allentown, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03015623
447,91,NCT03406585,Wharton´s Jelly Derived Mesenchymal Stromal Cell Treatment of Adult Patients Diagnosed With Type I Diabetes,,Completed,No Results Available,Type1 Diabetes Mellitus,Drug: ProTrans: Allogeneic transplantation with WJMSCs|Drug: Placebos,"Safety; measured through set safety parameters|Efficacy; comparison of the intervention versus placebo at day 372 versus start of treatment|Number of patients insulin independent (ADA criteria) at days 187 and 372|Number of patients with daily insulin needs <0.25U/kg at days 187 and 372|Insulin requirement/kg BW at days 187 and 372|HbA1c at days 187 and 372.|Glucose variability at day 372|Delta change of levels of fasting C-peptide at day 372|Numbers of patients with peak C-peptide >0.20 nmol/l, in response to the MMTT, at day 372",NextCell Pharma Ab,All,18 Years to 40 Years   (Adult),Phase 1|Phase 2,24,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",ProTrans-T1D|2017-002766-50,"November 28, 2017","July 1, 2020","September 4, 2020","January 23, 2018",,"January 11, 2022","Karolinska Trial Alliance, Fas 1 enheten, Karolinska Universitetssjukhuset Huddinge, Stockholm, Sweden",,https://ClinicalTrials.gov/show/NCT03406585
448,44,NCT03608579,Autologous Culture Expanded Adipose Derived MSCs for Treatment of Painful Hip OA,,Recruiting,No Results Available,"Osteoarthritis, Hip",Drug: Autologous Adipose Derived Mesenchymal Stromal Cells,"Nature, incidence and severity of adverse events (AEs)|Change in Visual Analog Scale (VAS) for pain in the target hip following completion of treatment cycles|Change in Tegner activity scale in the target hip following completion of treatment cycles|Change in modified Harris Hip Score (mHHS) in the target hip following completion of treatment cycles|Change in Hip disability and osteoarthritis Outcome Score (HOS) in the target hip following completion of treatment cycles|Change in radiographic joint morphology|Change in cartilage thickness|Change in cartilage volume|Change in cartilage morphology|Change in subchondral bone morphology|Change periarticular soft-tissues|Change in synovial fluid biomarkers within the target hip",Mayo Clinic,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,24,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-000015,"November 5, 2018",December 2022,December 2022,"August 1, 2018",,"December 17, 2021","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT03608579
449,14,NCT04361942,Treatment of Severe COVID-19 Pneumonia With Allogeneic Mesenchymal Stromal Cells (COVID_MSV),COVID_MSV,Completed,No Results Available,COVID-19 Pneumonia,Biological: Mesenchymal Stromal Cells|Other: Placebo,Proportion of patients who have achieved withdrawal of invasive mechanical ventilation|Rate of mortality|Proportion of patients who have achieved clinical response|Proportion of patients who have achieved radiological responses,Red de Terapia Celular|Citospin|University of Valladolid|Castilla-León Health Service|Hospital del Río Hortega|Instituto de Salud Carlos III,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",TerCel_007|2020-001682-36,"May 1, 2020","October 28, 2021","October 28, 2021","April 24, 2020",,"June 7, 2022","Hospital Universitario Rio Hortega, Valladolid, Spain",,https://ClinicalTrials.gov/show/NCT04361942
450,158,NCT01605383,Mesenchymal Stem Cells in Osteonecrosis of the Femoral Head,,Completed,No Results Available,Avascular Necrosis of Femur Head,Biological: XCEL-MT-OSTEO-ALPHA|Procedure: Standard treatment,Safety of XCEL-MT-OSTEO-ALPHA in osteonecrosis of the femoral head|Feasibility of XCEL-MT-OSTEO-ALPHA in osteonecrosis of the femoral head|Bone regeneration by measuring the necrotic angle using the modified Kerboul method|Dynamic changes of signal intensity|Clinical outcomes (pain) by Visual Analogue Scale (VAS)|Clinical outcomes (SF-36)|Clinical outcome (WOMAC),"Banc de Sang i Teixits|Ministerio de Sanidad, Servicios Sociales e Igualdad|Ministerio de Ciencia e Innovación, Spain|European Regional Development Fund",All,18 Years to 50 Years   (Adult),Phase 1|Phase 2,23,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,XCEL-MT-10-01|2010-023998-18,"May 5, 2015","April 11, 2018","June 27, 2019","May 24, 2012",,"January 21, 2020","Hospital Universitari Vall d'Hebron, Barcelona, Spain",,https://ClinicalTrials.gov/show/NCT01605383
451,268,NCT03267784,"Allogeneic ABCB5-positive Stem Cells for Treatment of DFU ""Malum Perforans""",,Completed,No Results Available,Diabetic Neuropathic Ulcer,Biological: allo-APZ2-DFU,"Percentage of wound surface area reduction|Assessment of adverse event (AE) occurrence|Percentage of invisible and visible wound surface area reduction|Absolute wound surface area reduction|Absolute invisible and visible wound surface area reduction|Assessment of wound infection|Time to first complete wound closure|Proportion of patients achieving complete wound closure|Time to first 30% reduction of wound surface area|Proportion of patients achieving 30% reduction of wound surface area|Assessment of wound exudation, epithelialization and formation of granulation tissue|Time to amputation at target leg until Week 12|Pain assessment as per numerical rating scale (NRS)|Assessment of Quality of life (QoL) using the short form 36 (SF-36) questionnaire|Assessment of Dermatology-specific QoL based on the Dermatology Life Quality Index (DLQI) questionnaire|Physical examination and vital signs|Time to amputation of target leg until month 12",RHEACELL GmbH & Co. KG|FGK Clinical Research GmbH|Ticeba GmbH|Granzer Regulatory Consulting & Services,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1|Phase 2,23,Industry|Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,allo-APZ2-DFU-II-01,"November 21, 2017","June 29, 2020","June 29, 2020","August 30, 2017",,"September 10, 2020","Universitätsmedizin Greifswald; Klinik und Poliklinik für Hautkrankheiten, Greifswald, Germany|St. Josefskrankenhaus Heidelberg GmbH; Klinische Studienabteilung, Heidelberg, Germany|Diabetologikum Raab, Privatärztliche Facharztpraxis, Kassel, Germany|pro scientia med im Mare Klinikum, Department Klinische Forschung und Entwicklung, Kronshagen, Germany|Studienambulanz Leipzig, medamed GmbH, Leipzig, Germany|Diabetologikum Ludwigshafen, Gemeinschaftspraxis, Ludwigshafen, Germany|Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Universitätsklinikum Würzburg, Würzburg, Germany",,https://ClinicalTrials.gov/show/NCT03267784
452,655,NCT02644447,Transplantation of HUC-MSCs With Injectable Collagen Scaffold for POF,,Completed,No Results Available,Premature Ovarian Failure,Biological: HUC-MSCs Transplantation|Biological: HUC-MSCs with Injectable Collagen Scaffold Transplantation,Safety and Tolerability assessed by Adverse Events|Number of Antral follicle development|Estradiol (E2) serum level|Follicle Stimulating Hormone (FSH) serum level|Anti-Mullerian Hormone (AMH) serum level|Pregnancy rate,Chinese Academy of Sciences|The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,Female,20 Years to 39 Years   (Adult),Phase 1|Phase 2,23,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",CAS-XDA-POF/IGDB,October 2015,October 2018,October 2018,"December 31, 2015",,"January 13, 2020","The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China",,https://ClinicalTrials.gov/show/NCT02644447
453,13,NCT04614025,Open-label Multicenter Study to Evaluate the Efficacy of PLX-PAD for the Treatment of COVID-19,,"Active, not recruiting",No Results Available,COVID|ARDS,Biological: PLX-PAD,Number of ventilator-free days|All-cause mortality|Duration of mechanical ventilation,Pluristem Ltd.,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2,23,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PLX-COV-03,"October 19, 2020","August 4, 2021",September 2022,"November 3, 2020",,"August 10, 2021","Charite Campus Virchow, Berlin, Germany|Campus Benjamin Franklin - CBF Charité - Universitätsmedizin, Berlin, Germany|University of hospital Bonn, Bonn, Germany|Hospital Cologne-Merheim, Köln, Germany|Emek Medical Center, Afula, Israel|Bnai Zion Medical Center, Haifa, Israel|Rambam Health Care Campus, Haifa, Israel|Galilee Medical Center, Nahariya, Israel|Baruch Padeh Medical Center, Poriya, Tiberias, Israel",,https://ClinicalTrials.gov/show/NCT04614025
