,location
394,"Geauga Regional Hospital, Cleveland, Ohio, United States"
395,"General Hospital of Central Theater Command, Wuhan, Hubei, China"
396,"General Hospital of Chinese Armed Police Force, Beijing, China"
397,"General Hospital of Chinese People's Armed Police Forces, Beijing, Beijing, China"
398,"Gent University Hospital, Gent, Belgium"
399,"Georgetown Washington University, Washington, District of Columbia, United States"
400,"Germans Trias i Pujol Hospital, Badalona, Barcelona, Spain"
401,"Glasgow Royal Infirmary, Glasgow, UK, United Kingdom"
402,"Gottsegen György Országos Kardiológiai Intézet - Felnőtt Kardiológiai Osztály, Budapest, Hungary"
403,"Great Ormond Street Hospital; Dermatology Department, London, United Kingdom"
404,"Greater Chesapeake Associates, Baltimore, Maryland, United States"
405,"Grupo Espanol de trasplantes hematopoyeticos y terapia celular, Madrid, Spain"
406,"Guangdong Provincial Hospital of Traditional Chinese Medicine, Guangzhou, Guangdong, China"
407,"Guangzhou Women and Children's Medical Center, Guangzhou, Guangdong, China"
408,"Gulf Coast Research, Baton Rouge, Louisiana, United States"
409,"Gyeongsang National University Hospital, Jinju-si, Korea, Republic of"
410,"Górnośląskie Centrum Medyczne Śląskiej Akademii Medycznej, Katowice, Poland"
411,"H. Juan Ramón Jiménez, Huelva, Spain"
412,"HOSPITAL Meixoeiro Vigo, Vigo, Pontevedra, Spain"
413,"Hackensack University Medical Center, Hackensack, New Jersey, United States"
414,"Hadassah Medical Organization, Jerusalem, Israel"
415,"Hadassah Medical Organizaton, Jerusalem, Israel"
416,"Haikou People's Hospital, Haikou, China"
417,"Hainan hospital of Chinese PLA General Hospital, Sanya, Hainan, China"
418,"Hallym Univ. Medical Center, ChunCheon, Korea, Republic of"
419,"Hallym university Medical Center, Seoul, Korea, Republic of"
420,"Hamilton Health Sciences Centre, Hamilton, Ontario, Canada"
421,"Hanyang University Medical Center, Seoul, Korea, Republic of"
422,"Hanyang University Seoul Hospital, Seoul, Korea, Republic of"
423,"Hanyang university hospital, Seoul, Korea, Republic of"
424,"Harborview Medical Center, Seattle, Washington, United States"
425,"Haukeland University Hospital, Bergen, Vestland, Norway"
426,"Hautarztpraxis Dr. Niesmann & Dr. Othlinghaus, Hautzentrum im Jahrhunderthaus, Bochum, Germany"
427,"Hautarztpraxis Langenau, Studienzentrum, Langenau, Germany"
428,"Hautarztpraxis Prof. Dr. med. Khusru Asadullah, Potsdam, Germany"
429,"Hautärzte Braunschweig am Altstadtmarkt, Hautärztliche Gemeinschaftspraxis, Braunschweig, Germany"
430,"Hautärztliche Gemeinschaftspraxis Dr. Leitz und Kollegen, Stuttgart, Germany"
431,"Health Research of Oklahoma, Oklahoma City, Oklahoma, United States"
432,"Health Science Centre, Winnipeg, Manitoba, Canada"
433,"Health Sciences Centre, Winnipeg, Manitoba, Canada"
434,"Heart Failure Department, East Hospital Affiliated to Tongji University, Shanghai, Shanghai, China"
435,"Hebei Newtherapy BIo-Pharma Technology Co., Ltd, Shijiazhuang, Hebei, China"
436,"Helen Keller Hospital, Sheffield, Alabama, United States"
437,"Helios Kliniken Schwerin, Plastische, Rekonstruktive und Ästhetische Chirurgie, Schwerin, Germany"
438,"Helios Klinikum Berlin-Buch, Klinik für Plastische und Ästhetische Chirurgie, Berlin, Germany"
439,"Helios Klinikum Emil von Behring, Klinik für Plastische und Ästhetische Chirurgie, Berlin, Germany"
440,"Helios Klinikum Krefeld, Klinik für Dermatologie und Venerologie, Krefeld, Germany"
441,"Helios Universitätsklinikum Wuppertal, Zentrums für Dermatologie, Allergologie und Dermatochirurgie, Wuppertal, Germany"
442,"Herz- und Diabeteszentrum Nordrhein Westfalen, Bad Oeynhausen, Germany"
443,"Hillel Yaffe Medical Center, Hadera, Israel"
444,"Holy Name Hospital, Teaneck, New Jersey, United States"
445,"Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States"
446,"Hopital Civil Marie Curie, Lodelinsart, Belgium"
447,"Hopital Enfant-Jesus, Quebec, Canada"
448,"Hopital Henri Mondor, Service de Réanimation chirurgicale polyvalente, Créteil, France"
449,"Hopital du Saint-Sacrement, Quebec, Canada"
450,"Hopitaux De Brabois, Vandoeuvre les Nancy, France"
451,"Hospital 12 de Octubre, Madrid, Spain"
452,"Hospital ASEPEYO Sant Cugat, Sant Cugat, Barcelona, Spain"
453,"Hospital Barros Luco Trudeau, Santiago de Chile, Región Metropolitana, Chile"
454,"Hospital Canselor Tuanku Muhriz Universiti Kebangsaan Malaysia (HCTM-UKM), Bandar Tun Razak, Wilayah Persekutuan Kuala Lumpur, Malaysia"
455,"Hospital Carlos Haya, Málaga, Spain"
456,"Hospital Clinic de Barcelona, Barcelona, Spain"
457,"Hospital Clinic i Provincial, Barcelona, Spain"
458,"Hospital Clinic, Barcelona, Spain"
459,"Hospital Clinico San Carlos, Madrid, Spain"
460,"Hospital Clinico Universitario Virgen de la Arrixaca, Murcia, Spain"
461,"Hospital Clinico Universitario Virgen de la Victoria - Campus de Teatinos s/n, Malaga, Spain"
462,"Hospital Clinico Universitario de Valencia, Valencia, Spain"
463,"Hospital Clinico Universitario, Valladolid, Spain"
464,"Hospital Clínic de Barcelona, Barcelona, Spain"
465,"Hospital Clínica San Carlos, Servicio de Cirugía Ortopédica y Traumatología, Madrid, Spain"
466,"Hospital Clínico Lozano Blesa, Zaragoza, Aragón, Spain"
467,"Hospital Clínico San Carlos, Madrid, Spain"
468,"Hospital Clínico San Cecilio, Granada, Spain"
469,"Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain"
470,"Hospital Clínico Universitario San Carlos, Madrid, Spain"
471,"Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain"
472,"Hospital Clínico Universitario de Valladolid, Valladolid, Spain"
473,"Hospital Clínico Universitario, Salamanca, Castilla-Leon, Spain"
474,"Hospital Clínico Virgen de la Arrixaca, El Palmar, Murcia, Spain"
475,"Hospital Clínico de Valencia, Valencia, Spain"
476,"Hospital Cologne-Merheim, Köln, Germany"
477,"Hospital Dr. Peset, Valencia, Spain"
478,"Hospital Fundación Jiménez Díaz, Madrid, Spain"
479,"Hospital General La Mancha Centro, Alcázar De San Juan, Ciudad Real, Spain"
480,"Hospital General Universitario Gregorio Marañon, Madrid, Spain"
481,"Hospital General Universitario, Valencia, Comunidad Valenciana, Spain"
482,"Hospital General de Alicante, Alicante, Spain"
483,"Hospital General de Mérida, Mérida, Badajoz, Spain"
484,"Hospital Germans Trias i Pujol, Barcelona, Spain"
485,"Hospital Gregorio Marañon, Madrid, Spain"
486,"Hospital Gregorio Marañón, Madrid, Spain"
487,"Hospital Hartziekenhuis, Roeselare, Belgium"
488,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain"
489,"Hospital Juan Ramon Jimenez, Huelva, Spain"
490,"Hospital La Arruzafa, Córdoba, Spain"
491,"Hospital La Fe, Valencia, Spain"
492,"Hospital La Princesa, Madrid, Spain"
493,"Hospital Municipal Carmino Caricchio, Sao Paulo, Brazil"
494,"Hospital Ntra. Sª de Valme, Sevilla, Spain"
495,"Hospital Nuestra Señora de Valme, Sevilla, Spain"
496,"Hospital Oost-Limburg, Genk, Belgium"
497,"Hospital Plato, Barcelona, Spain"
498,"Hospital Provincial de Navarra, Pamplona, Spain"
499,"Hospital Puerta De Hierro, Madrid, Spain"
500,"Hospital Puerta de Hierro, Majadahonda, Madrid, Spain"
501,"Hospital Ramón y Cajal, Madrid, Spain"
502,"Hospital Regional Lic Adolfo Lopez Mateos, Mexico City, Ciudad De Mexico CDMX (Mexico City), Mexico"
503,"Hospital Regional U de Málaga, Málaga, Spain"
504,"Hospital Regional Universitario Reina Sofía, Cordoba, Spain"
505,"Hospital Regional Universitario de Málaga, Málaga, Spain"
506,"Hospital Reina Sofía, Córdoba, Spain"
507,"Hospital San Lazaro, Sevilla, Spain"
508,"Hospital San Vicente Fundación, Medellín, Antioquia, Colombia"
509,"Hospital Santa Creu i Sant Pau, Barcelona, Spain"
510,"Hospital São Rafael S.A. - Instituto D'Or de Pesquisa e Ensino, Salvador, BA, Brazil"
511,"Hospital São Rafael, Salvador, Bahia, Brazil"
512,"Hospital Sírio Libanês, São Paulo, Brazil"
513,"Hospital Sírio-Libanes, São Paulo, Brazil"
514,"Hospital U Virgen del Rocio, Sevilla, Spain"
515,"Hospital U. 12 de Octubre, Servicio de Cirugía Ortopédica y Traumatología, Madrid, Spain"
516,"Hospital U. Central de Asturias, Oviedo, Asturias, Spain"
517,"Hospital U. Gregorio Marañon, Madrid, Spain"
518,"Hospital U. Gregorio Marañon, Servicio de Cirugía Ortopédica y Traumatología, Madrid, Spain"
519,"Hospital U. La Paz, Madrid, Spain"
520,"Hospital U. La Princesa, Servicio de CirugíaOrtopédica y Traumatología, Madrid, Spain"
521,"Hospital U. Marques de Valdecilla, Santander, Spain"
522,"Hospital U. Puerta de Hierro-Majadahonda, Servicio de Cirugía Ortopédica y Traumatología, Majadahonda, Madrid, Spain"
523,"Hospital U. Virgen de las Nieves, Granada, Spain"
524,"Hospital U. de Canarias, La Laguna, Tenerife, Spain"
525,"Hospital U. de Guadalajara, Guadalajara, Spain"
526,"Hospital Universitari Germans Trias i Pujol, Badalona, Barcelona, Spain"
527,"Hospital Universitari La Fe, Valencia, Spain"
528,"Hospital Universitari Vall d'Hebron, Barcelona, Spain"
529,"Hospital Universitario 12 de Octubre, Madrid, Spain"
530,"Hospital Universitario A Coruña, A Coruña, Spain"
531,"Hospital Universitario Cruces, Barakaldo, Bizkaia, Spain"
532,"Hospital Universitario Fundacion Jimenez Diaz, Madrid, Spain"
533,"Hospital Universitario Fundación Jiménez Diaz, Madrid, Spain"
534,"Hospital Universitario Germans Trias i Pujol, Barcelona, Spain"
535,"Hospital Universitario Getafe, Getafe, Madrid, Spain"
536,"Hospital Universitario La Fe, Valencia, Spain"
537,"Hospital Universitario La Paz, Madrid, Spain"
538,"Hospital Universitario Miguel Servet, Zaragoza, Spain"
539,"Hospital Universitario Niño Jesús, Madrid, Spain"
540,"Hospital Universitario Puerta de Hierro-Majadahonda, Majadahonda, Madrid, Spain"
541,"Hospital Universitario Ramon y Cajal, Madrid, Spain"
542,"Hospital Universitario Ramón y Cajal, Madrid, Spain"
543,"Hospital Universitario Reina Sofia, Cordoba, Spain"
544,"Hospital Universitario Reina Sofía, Córdoba, Spain"
545,"Hospital Universitario Rio Hortega, Valladolid, Spain"
546,"Hospital Universitario Vall dHebron, Barcelona, Spain"
547,"Hospital Universitario Valle de Hebrón, Barcelona, Spain"
548,"Hospital Universitario Virgen Macarena, Servicio de Neurología, Seville, Spain"
549,"Hospital Universitario Virgen Macarena, Sevilla, Spain"
550,"Hospital Universitario Virgen de la Arrixaca, Murcia, Spain"
551,"Hospital Universitario Virgen de la Victoria, Málaga, Spain"
552,"Hospital Universitario Virgen de las Nieves, Granada, Spain"
553,"Hospital Universitario Virgen de las Nieves, Granada., Spain"
554,"Hospital Universitario Virgen del Rocío de Sevilla, Sevilla, Spain"
555,"Hospital Universitario Virgen del Rocío, Sevilla, Spain"
556,"Hospital Universitario Virgen del Rocío, Seville, Spain"
557,"Hospital Universitario de Cruces, Barakaldo, Bizkaia, Spain"
558,"Hospital Universitario de Jerez de la Frontera, Jerez de la Frontera, Cádiz, Spain"
559,"Hospital Universitario de Salamanca, Salamanca, Spain"
560,"Hospital Universitario y Politécnico La Fe, Valencia, Spain"
561,"Hospital Unversitario Virgen del Rocío, Sevilla, Spain"
562,"Hospital Vall D´Hebron, Barcelona, Spain"
563,"Hospital Vall Hebron, Barcelona, Spain"
564,"Hospital Vall d'Hebron, Barcelona, Spain"
565,"Hospital Victoria Eugenia Cruz Roja Española, Sevilla, Spain"
566,"Hospital Virgen Macarena, Sevilla, Spain"
567,"Hospital Virgen del Camino, Pamplona, Spain"
568,"Hospital Virgen del Rocio, Seville, Spain"
569,"Hospital clinico universitario de salamanca, Salamanca, Spain"
570,"Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo, Ribeirão Preto, São Paulo, Brazil"
571,"Hospital de Basurto, Bilbao, Vizcaya, Spain"
572,"Hospital de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain"
573,"Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil"
574,"Hospital de Cruces, Barakaldo, Vizcaya, Spain"
575,"Hospital de Elche, Elche, Alicante, Spain"
576,"Hospital de Jerez de la Frontera., Jerez de la Frontera, Cádiz., Spain"
577,"Hospital de La Princesa, Madrid, Spain"
578,"Hospital de Manises, Manises, Valencia, Spain"
579,"Hospital de Montecelo, Pontevedra, Spain"
580,"Hospital de Neurorehabilitació Institut Guttmann, Badalona, Barcelona, Spain"
581,"Hospital de Sagunto, Valencia, Spain"
582,"Hospital de Valladolid, Valladolid, Spain"
583,"Hospital de la Santa Creu i Sant Pau, Barcelona, Spain"
584,"Hospital del Mar, Barcelona, Spain"
585,"Hospital e Maternidade Dr Christovao da Gama, Santo Andre, Sao Paulo, Brazil"
586,"Hospital for Special Surgery, New York, New York, United States"
587,"Hospital of the University of Pennsylvania, Heart Failure and Transplant Program, Philadelphia, Pennsylvania, United States"
588,"Houston Methodist Hospital System, Houston, Texas, United States"
589,"Houston Methodist Hospital, Houston, Texas, United States"
590,"Hrodna City Clinical Hospital, Hrodna, Belarus"
591,"Huashan Hospital Affiliated to Fudan University, Shanghai, China"
592,"Humanitas Research Hospital, Rozzano, Milano, Italy"
593,"Hunter Holmes McGuire VA Medical Center, Richmond, Virginia, United States"
594,"Hématologie et thérapie cellulaire, Hôpital Saint Antoine, Paris, France"
595,"Hôpital Beaujon, Clichy, France"
596,"Hôpital Européen Georges Pompidou - APHP, Paris, France"
597,"Hôpital Hautepierre, Service de réanimation médicale, Strasbourg, France"
598,"Hôpital Pitié Salpétrière, Salle de surveillance post-interventionnelle, Accueil des Polytraumatisés, Paris, France"
599,"Hôpital Pitié Salpêtrière, Anesthésie et Réanimation, Institut de Cardiologie, Paris, France"
600,"Hôpital Pitié Salpêtrière, Service de Chirurgie Générale, Viscérale et Endocrinienne, Paris, France"
601,"Hôpital Pitié Salpêtrière, Service de Chirurgie Hépatobiliaire et de Transplantation Hépatique, Paris, France"
602,"Hôpital Pitié Salpêtrière, Service de réanimation chirurgicale polyvalente, Paris, France"
603,"Hôpital Pitié-Salpêtrière - APHP, Paris, France"
604,"Hôpital Saint-Antoine, Département d'Anesthésie-réanimation, Paris, France"
605,"Hôpital Saint-Louis, Paris, France"
606,"Hôpital Saint-Louis; Département de dermatologie, Paris, France"
607,"Hôpital Stuyvenberg, Antwerpen, Belgium"
608,"Hôpital de Jolimont, Haine St Paul, Hainaut, Belgium"
609,"Hôpital des enfants Reine Fabiola, Brussels, Brabant, Belgium"
610,"ICATME-Hospital Quiron Dexeus, Barcelona, Spain"
611,"ICO Hospitalet, Hospitalet de Llobregat, Barcelona, Spain"
612,"IMAC Regeneration Center, Paducah, Kentucky, United States"
613,"IOBA - Applied Ophthalmobiology Institute, Valladolid, Spain"
614,"IOBA, Valladolid, Spain"
615,"IPM Medical Group, Inc., Walnut Creek, California, United States"
616,"IRCCS AOU San martino IST, Genova, GE, Italy"
617,"IRCCS Istituto Ortopedico Galeazzi, Milano, MI, Italy"
618,"IRCCS Policlinico San Matteo, Pavia, Italy"
619,"ISCI / University of Miami, Miami, Florida, United States"
620,"ISCI/University of Miami Miller School of Medicine, Miami, Florida, United States"
621,"Ibn Sina, Baghdad, Iraq"
622,"Impar Serviços Hospitalares S/A (Hospital Nove de Julho), São Paulo, SP, Brazil"
623,"Imperial College Healthcare NHS Trust, London, United Kingdom"
624,"Indiana Blood and Bone Marrow Transplant Center, Beech Grove, Indiana, United States"
625,"Indiana Center for Vascular Biology and Medicine, Indianapolis, Indiana, United States"
626,"Indiana University Cancer Center, Indianapolis, Indiana, United States"
627,"Indiana University Medical Center, Indianapolis, Indiana, United States"
628,"Indiana University, Indianapolis, Indiana, United States"
629,"Indonesian National Brain Center, Jakarta, Indonesia"
630,"Inha University Hospital, In Cheon, Korea, Republic of"
631,"Inha University Hospital, Incheon, Jung-gu, Korea, Republic of"
632,"Inha University Hospital, Incheon, Korea, Republic of"
633,"Inha University Hospital, Inchon, Korea, Republic of"
634,"Inland Rheumatology Clinical Trials Incorporated, Upland, California, United States"
635,"Institut Catal dOncologia, Barcelona, Spain"
636,"Institut Universitari Dexeus (ICATME), Barcelona, Spain"
637,"Institute for Foot and Ankle Reconstruction at Mercy, Baltimore, Maryland, United States"
638,"Institute of Bio-Stem Cell Rehabilitation, Kharkov, Ukraine"
639,"Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus, Minsk, Belarus"
640,"Institute of Clinical Dentistry, University of Bergen, Bergen, Hordaland, Norway"
641,"Institute of Hematology & Blood Diseases Hospital, Chinese Academy of Medical Sciences, Tianjin, Tianjin, China"
642,"Institute of Regenerative medicine, Islamabad, Pakistan"
643,"Institute of Sports Medicine, Peking University Third Hospital, Beijing, Beijing, China"
644,"Institute of liver disease, HPB surgery and transplant Global Hospitals, Mumbai, Maharashtra, India"
645,"Instituto Clinico Humanitas IRCCS, Milano, Italy"
646,"Instituto Investigación Sanitario Fundación Jiménez Díaz, Madrid, Spain"
647,"Instituto Oftalmológico Fernández - Vega, Oviedo, Asturias, Spain"
648,"Instituto de Biologia y Genetica Molecular (IBGM), University of Valladolid, Valladolid, Spain"
649,"Instituto de Biologia y Genetica Molecular, Valladolid, Spain"
650,"Instituto de Ensino e Pesquisas - IEP-São Lucas, Sao Paulo, SP, Brazil"
651,"Instituto de Medicina Regenerativa, Tijuana, Baja California, Mexico"
652,"Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego, Katowice, Poland"
653,"International Spine Pain, and Performance Center, Washington, District of Columbia, United States"
654,"Ireland Cancer Center at University Hosptials Case Medical Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States"
655,"Isar Medizin Zentrum, Munich, Bavaria, Germany"
656,"Istinye University, Istanbul, Turkey"
657,"Istituto Oncologico del Veneto (IOV) - Università di Padova, Padova, Italy"
658,"Istituto Ortopedico Galeazzi, Chirugia dell´Anca l, Milano, Italy"
659,"Istituto Ortopedico Rizzli, Bologna, Italy"
660,"Istituto Ortopedico Rizzoli, Bologna, Bologna, Italy"
661,"Istituto Ortopedico Rizzoli, Bologna, Italy"
662,"Istituto Ortopedico Rizzoli, SSD Fisiopatologia Ortopedica e Medicina Rigenerativa, Bologna, Italy"
663,"Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST), Meldola, FC, Italy"
664,"JHU Arthritis Center Baltimore, Baltimore, Maryland, United States"
665,"JST sp. z o.o., Częstochowa, Poland"
666,"Jakarta Eye Center Hospital, Jakarta, DKI Jakarta, Indonesia"
667,"Jehangir Hospital, Pune, Maharashtra, India"
668,"Jewish Hospital, Cincinnati, Ohio, United States"
669,"Jewish Hospital, Louisville, Kentucky, United States"
670,"Jin Yin-tan hospital, Wuhan, Hubei, China"
671,"Jinling hospital, Nanjing, Jiangsu, China"
672,"John Radcliffe Hospital, Headington, Oxford, United Kingdom"
673,"John Wayne Cancer Institute @ Providence St. John's Health Center, Santa Monica, California, United States"
674,"Johns Hopkins University Hospital, Baltimore, Maryland, United States"
675,"Johns Hopkins University, Baltimore, Maryland, United States"
676,"Joint & Spine Center, SMG-SNU Boramae Medical Center, Department of Orthopedic Surgery, Seoul National University College of Medicine, Seoul, Korea, Republic of"
677,"Jorge L. Alio, Alicante, Spain"
678,"KMC Hospital, Mangalore, Karnataka, India"
679,"KPJ Ampang Puteri Specialist Hospital, Kuala Lumpur, Selangor, Malaysia"
680,"Kangbuk Samsung Hospital, Seoul, Korea, Republic of"
681,"Kangwon National University Hospital, Chuncheon, Korea, Republic of"
682,"Kansas City Cancer Center, Lee's Summit, Missouri, United States"
683,"Kansas City Cancer Centers - BMT, Kansas City, Missouri, United States"
684,"Kansas University Cancer Center, Kansas City, Kansas, United States"
685,"Kantonsspital Basel, Basel, Switzerland"
686,"Karmanos/Wayne State University, Detroit, Michigan, United States"
687,"Karolinska Institute, Karolinska University Hospital Solna, Stockholm, Sweden"
688,"Karolinska Institute, Karolinska University Hospital, Stockholm, Sweden"
689,"Karolinska Trial Alliance, Fas 1 enheten, Karolinska Universitetssjukhuset Huddinge, Huddinge, Sweden"
690,"Karolinska Trial Alliance, Fas 1 enheten, Karolinska Universitetssjukhuset Huddinge, Stockholm, Sweden"
691,"Karolinska Trial Alliance, Stockholm, Sweden"
692,"Karolinska University Hospital, Stockholm, Sweden"
693,"Kasugai Municipal Hospital, Kasugai, Aichi, Japan"
694,"Katholisches Klinikum Bochum gGmbH, Venenzentrum der Kliniken für Dermatologie und Gefäßchirurgie der Ruhr-Universität Bochum, Bochum, Germany"
695,"Keimyung University Dongsan Medical Center, Daegu, Korea, Republic of"
696,"King's College London; St John's Institute of Dermatology;, London, United Kingdom"
697,"Kit Bartalos, Liberty, Missouri, United States"
698,"Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Universitätsklinikum Würzburg, Würzburg, Germany"
699,"Klinik und Poliklinik für Hautkrankheiten, Universitätsmedizin Greifswald, Greifswald, Germany"
700,"Klinikum Braunscheweig, Braunschweig, Germany"
701,"Klinikum Bremerhaven Reinkenheide gGmbH, Klinik für Dermatologie, Allergologie und Phlebologie, Wundzentrum, Bremerhaven, Germany"
702,"Klinikum Frankfurt, Frankfurt/Main, Germany"
703,"Klinikum Lüneburg, Lüneburg, Germany"
704,"Klinikum Nürnberg Nord, Klinik für Dermatologie, Nürnberg, Germany"
705,"Klinikum der Johann Wolfgang Goethe, Frankfurt, Germany"
706,"Klinikum der Johann Wolfgang Goethe-Universitaet - Frankfurt am Main, Frankfurt am Main, Hessen, Germany"
707,"Klinikum der Ludwig-Maximilians-Universität München, Klinik und Poliklinik für Dermatologie und Allergologie, München, Germany"
708,"Klinikum rechts der Isar, Munich, Bavaria, Germany"
709,"Klinische Forschung Dresden GmbH, Dresden, Germany"
710,"Klinische Forschung Hamburg GmbH, Dermatologie / Allergologie, Hamburg, Germany"
711,"Klinische Forschung Schwerin GmbH, Schwerin, Germany"
712,"Korea University AnSan Hospital, Ansan, Gyeonggi-do, Korea, Republic of"
713,"Korea University Anam Hospita, Seoul, Korea, Republic of"
714,"Korea University Anam Hospital, Seoul, Korea, Republic of"
715,"Korea University Anam Hospital, Seoul, Seongbukgu, Korea, Republic of"
716,"Korea University Guro Hospital, Guro-gu, Seoul, Korea, Republic of"
717,"Korea University Guro Hospital, Seoul, Guro-gu, Korea, Republic of"
718,"Korea University Guro Hospital, Seoul, Korea, Republic of"
719,"Korea University Kuro Hospital, Seoul, Korea, Republic of"
720,"Korea University Medicine, Seoul, Korea, Republic of"
721,"Krakenhaus Walfriede, Berlin, Germany"
722,"Krakowski Szpital Specjalistyczny im. Jana Pawła II w Krakowie, Kraków, Poland"
723,"Krankenhaus, St. Veit/Glan, Austria"
724,"KyungHee University Gandong Hospital, Seoul, Korea, Republic of"
725,"KyungHee University Gangdong Hospital, Seoul, Korea, Republic of"
726,"Kyunghee University Medical Center, Seoul, Dongdaemun-gu, Korea, Republic of"
727,"Kyunghee University Medical Center, Seoul, Korea, Republic of"
728,"Kyunghee University Medical Center, Seoul, Seoulteukbyeolsi, Korea, Republic of"
729,"LSU Healthcare Network Clinic, Metairie, Louisiana, United States"
730,"La Paz University Hospital, Madrid, Spain"
731,"Laboratorios Salvat, S.A., Esplugues de Llobregat, Barcelone, Spain"
732,"Laboratory for Cell Research and Application, Medical University of Warsaw, Warsaw, Poland"
733,"Lake/University Ireland Cancer Center, Cleveland, Ohio, United States"
734,"Lakeridge Health, Oshawa, Ontario, Canada"
735,"Leeds General Infirmary, Leeds, UK, United Kingdom"
736,"Lehigh Valley Hospital, Allentown, Pennsylvania, United States"
737,"Leiden Universitary Medical Center, Leiden, Netherlands"
738,"Leiden University Medical Center (LUMC), Leiden, Zuid Holland, Netherlands"
739,"Leiden University Medical Center, Leiden, Netherlands"
740,"Leszek Giec Upper-Silesian Medical Centre of the Silesian Medical University in Katowice, Katowice, Poland"
741,"Leuven University Hospital, Leuven, Belgium"
742,"Li Yu, Shenzhen, Guangdong, China"
743,"London Health Sciences Centre, London, Ontario, Canada"
744,"London Health Sciences Centre- Westminster Campus, London, Ontario, Canada"
745,"Long Island Spine Rehabilitation Medicine, East Meadow, New York, United States"
746,"Los Angeles Biomedical Research Institute at Harbor UCLA Medical Center, Torrance, California, United States"
747,"Louisiana State University, Shreveport, Louisiana, United States"
748,"Loyola University Medical Center, Maywood, Illinois, United States"
749,"Lund University Hospital, Department of Pediatric Oncology and Bone Marrow Transplantation, Lund, Sweden"
750,"M D Anderson Cancer Center, Houston, Texas, United States"
751,"M.S.Ramaiah Memorial Hospital, Bangalore, Karnataka, India"
752,"MD Anderson Cancer Center, Houston, Texas, United States"
753,"MD Stem Cells, Coral Springs, Florida, United States"
754,"MD Stem Cells, Westport, Connecticut, United States"
755,"MGH, Massachusetts General Hospital, Boston, Massachusetts, United States"
756,"MH Egészségügyi Központ Kardiológiai Osztály, Budapest, Hungary"
757,"MS Ramaiah Memorial Hospital, Bangalore, Karnataka, India"
758,"MVZ Prof. Dr. Ockenfels, Haut und Allergie-Praxisklinik GmbH, Hanau, Germany"
759,"Maisonneuve-Rosemont Hospital, Montreal, Quebec, Canada"
760,"Man Clinic for Andrology and male infertility, Cairo, Egypt"
761,"Manipal Hospital, Bangalore, Karnataka, India"
762,"Marienhospital Gelsenkirchen GmbH, Klinik für Chirurgie (Allgemein-, Viszeral- und Endokrine Chirurgie, Thorax-, Gefäß- und Endovaskuläre Chirurgie und Kinderchirurgie), Gelsenkirchen, Germany"
763,"Massachusetts General Hospital, Boston, Massachusetts, United States"
764,"Maternal and Child Health Hospital of Foshan, Foshan, Guangdong, China"
765,"Maternal and Child Hospital of Hubei Province, Wuhan, Hubei, China"
766,"Maternity hospital, Ain Shams University, Cairo, Egypt"
767,"Mattabhorn Phornputkul, Chiang Mai, Thailand"
768,"Mayo Clinic Florida, Jacksonville, Florida, United States"
769,"Mayo Clinic Rochester, Rochester, Minnesota, United States"
770,"Mayo Clinic in Florida, Jacksonville, Florida, United States"
771,"Mayo Clinic in Minnesota, Rochester, Minnesota, United States"
772,"Mayo Clinic in Rochester, Rochester, Minnesota, United States"
773,"Mayo Clinic, Jacksonville, Florida, United States"
774,"Mayo Clinic, Rochester, Minnesota, United States"
775,"Mayo Clinic, Scottsdale, Arizona, United States"
776,"Mayo Medical Center, Rochester, Minnesota, United States"
777,"McConnell Spine, Sport, and Joint Physicians, Columbus, Ohio, United States"
778,"McGill University Health Centre, Montreal, Quebec, Canada"
779,"McGuire Research Institute, Richmond, Virginia, United States"
780,"McIlwain Medical Group, Tampa, Florida, United States"
781,"MedStar Washington Hospital Center, Washington, District of Columbia, United States"
782,"Medcare Orthopaedics & Spine Hospital, Dubai, United Arab Emirates"
783,"Medical College of Wisconsin, FEC, Milwaukee, Wisconsin, United States"
784,"Medical College of Wisconsin, Madison, Wisconsin, United States"
785,"Medical College of Wisconsin, Milwaukee, Wisconsin, United States"
786,"Medical Surgical Associates Center, St. John's, Antigua and Barbuda"
787,"Medical University of South Carolina(MUSC), Charleston, South Carolina, United States"
788,"Medical University of South Carolina, Charleston, South Carolina, United States"
789,"Medical University of Vienna, Vienna, Austria"
790,"Medical University of Warsaw, Department of Diabetology and Internal Diseases, Warsaw, Poland"
791,"Medical University of Warsaw, Warsaw, Poland"
792,"Mediciti Hospital, Hyderabad, Andhra Pradesh, India"
793,"Medizinische Hochschule Hannover, Hannover, Niedersachsen, Germany"
794,"Medizinische Universität, Wien, Austria"
795,"Medizinisches Versorgungszentrum DermaKiel GmbH, Kiel, Germany"
