,Locations,count,enrolled
190,"Universitätsklinikum Augsburg, Klinik für Dermatologie und Allergologie, Campus Süd, Augsburg, Germany | Fachklinik Bad Bentheim, Dermatologische Ambulanz, Bad Bentheim, Germany | Franziskus-Krankenhaus Berlin, Klinik für Innere Medizin, Angiologie und Diabetologie, Berlin, Germany | Helios Klinikum Berlin-Buch, Klinik für Plastische und Ästhetische Chirurgie, Berlin, Germany | Helios Klinikum Emil von Behring, Klinik für Plastische und Ästhetische Chirurgie, Berlin, Germany | Hautarztpraxis Dr. Niesmann & Dr. Othlinghaus, Hautzentrum im Jahrhunderthaus, Bochum, Germany | Katholisches Klinikum Bochum gGmbH, Venenzentrum der Kliniken für Dermatologie und Gefäßchirurgie der Ruhr-Universität Bochum, Bochum, Germany | Hautärzte Braunschweig am Altstadtmarkt, Hautärztliche Gemeinschaftspraxis, Braunschweig, Germany | Klinikum Bremerhaven Reinkenheide gGmbH, Klinik für Dermatologie, Allergologie und Phlebologie, Wundzentrum, Bremerhaven, Germany | Klinische Forschung Dresden GmbH, Dresden, Germany | Universitätsklinikum ""Carl Gustav Carus"" der Technischen Universität Dresden, Medizinische Klinik und Poliklinik III Angiologie und Gefäßzentrum, Dresden, Germany | Universitätsklinikum Düsseldorf, Heinrich-Heine-Universität Düsseldorf, Klinik für Dermatologie, Düsseldorf, Germany | Universitätsklinikum Erlangen, Hautklinik - Wundzentrum Dermatologie, Erlangen, Germany | Universitätsklinikum Essen, Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Essen, Germany | Universitätsklinikum Freiburg, Klinik für Dermatologie und Venerologie, Freiburg, Germany | Marienhospital Gelsenkirchen GmbH, Klinik für Chirurgie (Allgemein-, Viszeral- und Endokrine Chirurgie, Thorax-, Gefäß- und Endovaskuläre Chirurgie und Kinderchirurgie), Gelsenkirchen, Germany | SRH Wald-Klinikum Gera GmbH, Zentrum für Klinische Studien, Gera, Germany | Praxis Dr. med. Abdou Zarzour, Halle, Germany | Universitätsklinikum Hamburg- Eppendorf, Institut für Versorgungsforschung in der Dermatologie und bei Pflegeberufen (IVDP), Hamburg, Germany | MVZ Prof. Dr. Ockenfels, Haut und Allergie-Praxisklinik GmbH, Hanau, Germany | SRH Klinikum Karlsbad- Langensteinbach GmbH, Interdisziplinäres Gefäßzentrum Innere Medizin, Karlsbad, Germany | Medizinisches Versorgungszentrum DermaKiel GmbH, Kiel, Germany | Helios Klinikum Krefeld, Klinik für Dermatologie und Venerologie, Krefeld, Germany | Hautarztpraxis Langenau, Studienzentrum, Langenau, Germany | Universitätsklinikum Leipzig AöR, Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Leipzig, Germany | Studienambulanz Dr. Schubert Leipzig, Leipzig, Germany | Diabetologikum Ludwigshafen, die Praxis am Ludwigsplatz, Ludwigshafen, Germany | Beldio Research GmbH, Memmingen, Germany | Klinikum der Ludwig-Maximilians-Universität München, Klinik und Poliklinik für Dermatologie und Allergologie, München, Germany | Dermazentrum München, Standort Neuhausen, Studienzentrum, München, Germany | Universitätsklinikum Münster, Klinik für Hautkrankheiten, Allgemeine Dermatologie und Venerologie, Münster, Germany | Klinikum Nürnberg Nord, Klinik für Dermatologie, Nürnberg, Germany | Hautarztpraxis Prof. Dr. med. Khusru Asadullah, Potsdam, Germany | Caritas-Krankenhaus St. Josef, Klinik für Plastische und Ästhetische, Hand- und Wiederherstellungschirurgie, Regensburg, Germany | Universitätsmedizin Rostock, Klinik und Poliklinik für Dermatologie und Venerologie, Rostock, Germany | Helios Kliniken Schwerin, Plastische, Rekonstruktive und Ästhetische Chirurgie, Schwerin, Germany | Hautärztliche Gemeinschaftspraxis Dr. Leitz und Kollegen, Stuttgart, Germany | Universitätsklinikum Tübingen, Universitäts-Hautklinik Tübingen, Tübingen, Germany | Helios Universitätsklinikum Wuppertal, Zentrums für Dermatologie, Allergologie und Dermatochirurgie, Wuppertal, Germany | Universitätsklinikum Würzburg, Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Würzburg, Germany",1,200
191,"McGill University Health Centre, Montreal, Quebec, Canada",1,48
192,"First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China",1,200
193,"RSUD Bantul, Bantul, Central Java, Indonesia | RS PKU Muhammadiyah Gamping, Yogyakarta, Central Java, Indonesia | RS Primaya Bekasi Timur, Bekasi, Jakarta, Indonesia | Bhayangkara Hospital, Makassar, South Celebes, Indonesia | Gatot Soebroto Army Hospital, Jakarta, Indonesia | Dr. Esnawan Antariksa Air Force Hospital, Jakarta, Indonesia",1,48
194,"Geauga Regional Hospital, Cleveland, Ohio, United States | Lake/University Ireland Cancer Center, Cleveland, Ohio, United States | Ireland Cancer Center at University Hosptials Case Medical Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States | University Suburban Health Center, Cleveland, Ohio, United States | UHHS Chagrin Highlands Medical Center, Cleveland, Ohio, United States | Southwest General Health Center, Cleveland, Ohio, United States | UHHS Westlake Medical Center, Cleveland, Ohio, United States | Mercy Cancer Center at Mercy Medical Center, Cleveland, Ohio, United States",1,49
195,"University of Miami Health System Sylvester Comprehensive Cancer Center, Miami, Florida, United States | Moffitt Cancer Center, Tampa, Florida, United States | Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States | Memorial Sloan Kettering Cancer Center, New York, New York, United States | Weill Cornell-New York Presbyterian Hospital, New York, New York, United States | Westchester Medical Center, Valhalla, New York, United States | Case Western, Cleveland, Ohio, United States | MD Anderson Cancer Center, Houston, Texas, United States | Texas Transplant Center at Methodist Healthcare System, San Antonio, Texas, United States",1,49
196,"The John Paul II Hospital, Cracovia, Poland | Leszek Giec Upper-Silesian Medical Centre of the Silesian Medical University in Katowice, Katowice, Poland",1,50
197,"University of Alabama Birmingham (UAB) Hospital, Birmingham, Alabama, United States | UCLA Medical Center, Los Angeles, California, United States | University of California Medical Center, San Francisco, California, United States | Rocky Mountain Cancer Center, Denver, Colorado, United States | University of Florida, Gainesville, Florida, United States | Emory University, Atlanta, Georgia, United States | Northside Hospital, Atlanta, Georgia, United States | Northwestern Center for Clinical Research, Chicago, Illinois, United States | Rush University Medical Center, Chicago, Illinois, United States | University of Chicago Hospitals, Chicago, Illinois, United States | Loyola University Medical Center, Maywood, Illinois, United States | Indiana University Cancer Center, Indianapolis, Indiana, United States | St. Francis Cancer Center, Indianapolis, Indiana, United States | University of Louisville, Louisville, Kentucky, United States | Tufts New England Medical Center, Boston, Massachusetts, United States | Massachusetts General Hospital, Boston, Massachusetts, United States | Dana Farber Cancer Institute, Boston, Massachusetts, United States | Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States | Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States | Mayo Medical Center, Rochester, Minnesota, United States | University of Mississippi Medical Center, Jackson, Mississippi, United States | Kansas City Cancer Center, Lee's Summit, Missouri, United States | Washington University School of Medicine, Saint Louis, Missouri, United States | Roswell Park Cancer Institute, Buffalo, New York, United States | Memorial Sloan Kettering Cancer Center, New York, New York, United States | Mount Sinai School of Medicine, New York, New York, United States | New York Presbyterian Hospital, New York, New York, United States | University of North Carolina Hospitals, Chapel Hill, North Carolina, United States | Duke University Health System, Durham, North Carolina, United States | Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States | Jewish Hospital, Cincinnati, Ohio, United States | Ohio State University, Columbus, Ohio, United States | Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States | Abramson Cancer Center, University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States | Thomas Jefferson University, Philadelphia, Pennsylvania, United States | Western Pennsylvania Hospital, Pittsburgh, Pennsylvania, United States | Oncology Hematology Association, Pittsburgh, Pennsylvania, United States | University of Pittsburgh Cancer Centers, Pittsburgh, Pennsylvania, United States | Medical University of South Carolina(MUSC), Charleston, South Carolina, United States | Baylor University Medical Center, Dallas, Texas, United States | MD Anderson Cancer Center, Houston, Texas, United States | Texas Transplant Institute, San Antonio, Texas, United States | Virginia Commonwealth University, Richmond, Virginia, United States | Fred Hutchinson Cancer Research Center, Seattle, Washington, United States | Medical College of Wisconsin, Milwaukee, Wisconsin, United States | Royal Adelaide Hospital, Adelaide, South Australia, Australia | Royal Melbourne Hospital, Parkville, Victoria, Australia | Royal Perth Hospital, Perth, Western Australia, Australia | St. Vincent's Hospital, Darlinghurst, Alberta, Australia | Royal Brisbane Hospital, Herston, Ontario, Australia | Peter Lougheed Centre, Calgary, Ontario, Canada | Ottawa Hospital, Ottawa, Canada | Princess Margaret Hospital, Toronto, Canada",1,192
198,"Stem Cell laboratory, Jinnah Burn & Reconstructive Surgery Centre, Lahore, Punjab, Pakistan",1,50
199,"Medical University of Warsaw, Department of Diabetology and Internal Diseases, Warsaw, Poland",1,46
200,"D.O. Ott Research Institute of Obstetrics, Gynecology, and Reproductology, Saint Petersburg, Russian Federation",1,46
201,"Department of Neurology, General Hospital of Northern Theater Command, Shenyang, China",1,200
202,"CHU Clermont-Ferrand, Clermont-Ferrand, Madrid, France | Department of Orthopaedic Surgery, Hospital Henri Mondor, Créteil, France | Department of Orthopaedic Surgery, CHU Nantes, Nantes, France | Department of Orthopaedic Surgery Toulouse University Hospital, Toulouse, France | Department of Orthopaedic Surgery, CHU Tours, Tours, France | Universitätsklinikum Frankfurt, Department of Trauma, Hand and Reconstructive Surgery, Frankfurt, Germany | Universitätsklinikum Freiburg, Klinik für Orthopädie und Unfallchirurgie, Freiburg, Germany | Universitätsklinikum München, Munich, Germany | Department of Orthopaedic Trauma, University of Ulm, Ulm, Germany | Istituto Ortopedico Rizzoli, SSD Fisiopatologia Ortopedica e Medicina Rigenerativa, Bologna, Italy | Arienda Spedali Civili di Brescia II Ortopedia e Traumatologia, Brescia, Italy | Istituto Ortopedico Galeazzi, Chirugia dell´Anca l, Milano, Italy | Hospital U. Puerta de Hierro-Majadahonda, Servicio de Cirugía Ortopédica y Traumatología, Majadahonda, Spain | Hospital Clínica San Carlos, Servicio de Cirugía Ortopédica y Traumatología, Madrid, Spain | Hospital U. 12 de Octubre, Servicio de Cirugía Ortopédica y Traumatología, Madrid, Spain | Hospital U. Gregorio Marañon, Servicio de Cirugía Ortopédica y Traumatología, Madrid, Spain | Hospital U. La Princesa, Servicio de CirugíaOrtopédica y Traumatología, Madrid, Spain | Hospital Universitario Ramón y Cajal, Madrid, Spain | Servicio de Cirugía Ortopédica y Traumatología ""A"", Hospital La Paz, Madrid, Spain",1,46
203,"University of Colorado Cancer Center, Aurora, Colorado, United States",1,40
204,"Hospital Universitario de Salamanca, Salamanca, Castilla-León, Spain | Departamento Cirugía Ortopédica y Traumatología. Clinica Universidad de Navarra, Pamplona, Navarra, Spain",1,38
205,"Weiliang Shen, Hangzhou, Zhejiang, China",1,200
206,"General Hospital of Ningxia Medical University, Yinchuan, Ningxia, China | General Hospital of Ningxia Medical University, Yinchuan, Ningxia, China",1,40
207,"Dr. Moewardi General Hospital, Surakarta, Central Java, Indonesia | Dr. Hasan Sadikin, Bandung, West Java, Indonesia | Dr. Sardjito General Hospital, Yogyakarta, Indonesia",1,42
208,"University of Alabama, Birmingham, Alabama, United States | Mayo Clinic, Rochester, Minnesota, United States | University of Mississippi, Jackson, Mississippi, United States",1,42
209,"Xijing Hospital of Digestive Disease, Xijing Hospital, Xi'an, Shaanxi, China",1,200
210,"The Central Hospital of Wuhan, Wuhan, Hubei, China",1,42
211,"The Third Hospital of Mianyang, Mianyang, Sichuan, China",1,43
212,"Uhmontpellier, Montpellier, France",1,200
213,"CHU de BORDEAUX, Bordeaux, France | CHU de LIMOGES, Limoges, France | Rangueil Hospital, Toulouse, France",1,43
214,"Galen - Ortopedia Sp. Z O.O., Bieruń, Silesia, Poland",1,200
215,"National Institute for Drug Clinical Trial, Beijing Tongren Hospital, Capital Medical University, Beijing, Beiijng, China",1,43
216,"Tongji Hospital, Tongji Medical College, Huazhong University of Science & Technology, Wuhan, Hubei, China",1,44
217,"Tianjin Medical University Hospital, Tianjin, China",1,44
218,"The 323 Hospital of Chinese People's Liberation Army, Xi'an, Shaanxi, China",1,200
219,"Universidade de São Paulo, São Paulo, SP, Brazil",1,44
220,"Tianjin Weikai Bioeng., Ltd., Tianjin, Tianjin, China",1,45
221,"Children's Healthcare of Atlanta at Egleston, Atlanta, Georgia, United States | Emory University, Atlanta, Georgia, United States | Winship Cancer Institute of Emory University, Atlanta, Georgia, United States",1,45
222,"Clínica Universidad de los Andes, Santiago de Chile, Región Metropolitana, Chile | Hospital Barros Luco Trudeau, Santiago de Chile, Región Metropolitana, Chile",1,39
223,"Shandong Jiaotong Hospital, Jinan, Shandong, China",1,37
224,"Children's Hospital of Los Angeles, Los Angeles, California, United States | Children's Healthcare of Atlanta, Atlanta, Georgia, United States | Advocate Children's Hospital, Chicago, Illinois, United States | Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States | Boston Children's Hospital, Boston, Massachusetts, United States | Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States | Primary Children's Hospital/University of Utah, Salt Lake City, Utah, United States",1,38
225,"Nancy University Hospital, Vandœuvre-lès-Nancy, France",1,30
226,"Hospital de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain | Mútua de Terrassa, Terrassa, Barcelona, Spain | Hospital del Mar, Barcelona, Spain | Hospital Vall d'Hebron, Barcelona, Spain | Hospital Clínic de Barcelona, Barcelona, Spain",1,30
227,"Hospital Clinic de Barcelona, Barcelona, Spain",1,30
228,"National Research Center for Hematology, Moscow, Russian Federation",1,30
229,"First Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu, China",1,300
230,"Department of Hematopoietic Stem Cell Transplantation, Beijing, China",1,30
231,"Istinye University, Istanbul, Turkey | SBÜ Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi, Istanbul, Turkey",1,30
232,"Herz- und Diabeteszentrum Nordrhein Westfalen, Bad Oeynhausen, Germany",1,30
233,"Shepherd Center, Atlanta, Georgia, United States | UMass Memorial Medical Center, Worcester, Massachusetts, United States | Rocky Mountain MS Clinic, Salt Lake City, Utah, United States",1,30
234,"Haikou People's Hospital, Haikou, China",1,30
235,"Department of Otolaryngology, University Hospital of Copenhagen, Copenhagen, Denmark",1,30
236,"Univ.-Klinik Innsbruck, Innsbruck, Valencia, Austria | Krankenhaus, St. Veit/Glan, Austria | Medizinische Universität, Wien, Austria | Hospital Oost-Limburg, Genk, Belgium | Gent University Hospital, Gent, Belgium | Leuven University Hospital, Leuven, Belgium | Hospital Hartziekenhuis, Roeselare, Belgium | CHU d'Amiens, Amiens, France | CHU de Bordeaux, Bordeaux, France | CHU de Caen, Caen, France | Hôpital Beaujon, Clichy, France | CHRU de Lille, Lille, France | CHU de Marseille, Marseille, France | CHU de Nice, Nice, France | Hôpital Saint-Louis, Paris, France | Charite, Berlin, Germany | Krakenhaus Walfriede, Berlin, Germany | Klinikum Braunscheweig, Braunschweig, Germany | Klinikum Frankfurt, Frankfurt/Main, Germany | Evangelisches Krankenhaus Kalk, Köln, Germany | Klinikum Lüneburg, Lüneburg, Germany | Rambam MC, Haifa, Israel | Sharee Zedek MC, Jerusalem, Israel | Rabin MC, Petah Tikva, Israel | Tel Aviv Sourasky MC, Tel Aviv, Israel | Sheba MC, Tel Hashomer, Israel | Azienda Ospedaliero-Universitaria di Bologna Policlinico Sant'Orsola Malpighi, Bologna, Italy | Azienda Ospedaliero-Universitaria Careggi, Firenze, Italy | Instituto Clinico Humanitas IRCCS, Milano, Italy | Seconda Università degli Studi di Napoli, Napoli, Italy | Azienda Ospedaliera di Padova, Padova, Italy | Azienda Ospedaliera San Camillo-Forlanini, Rome, Italy | Università Cattolica del Sacro Cuore, Rome, Italy | AMC, Amsterdam, Netherlands | VUMC, Amsterdam, Netherlands | Catharina Ziekenhuis, Eindhoven, Netherlands | UMCU, Utrecht, Netherlands | Hospital de Manises, Manises, Spain | Hospital Clinic de Barcelona, Barcelona, Spain | Hospital Universitario Reina Sofia, Cordoba, Spain | Hospital Juan Ramon Jimenez, Huelva, Spain | Hospital Ramón y Cajal, Madrid, Spain | Fundacion Jimenez Diaz, Madrid, Spain | Hospital 12 de Octubre, Madrid, Spain | Hospital Clinico San Carlos, Madrid, Spain | Hospital La Princesa, Madrid, Spain | Hospital Universitario La Paz, Madrid, Spain | Son Espases, Palma de Mallorca, Spain | Hospital de Montecelo, Pontevedra, Spain | Hospital Virgen del Rocio, Seville, Spain | Hospital de Sagunto, Valencia, Spain | Hospital Universitario La Fe, Valencia, Spain",1,278
237,"PLA Central Theater Air Force Hospital, Datong, Shanxi, China",1,30
238,"University Hospital Dresden, Orthopaedic Department, Dresden, Germany",1,30
239,"Hospital Universitario Reina Sofía de Córdoba, Córdoba, Andalucía, Spain",1,30
240,"Eskisehir Osmangazi University, Eskisehir, Turkey",1,30
241,"SAHZU, Hanzhou, Zhejiang, China",1,30
242,"The First Affiliated Hospital of Wenzhou Medical College, Wenzhou, Zhejiang, China",1,30
243,"Clementino Fraga Filho University Hospital of Rio de Janeiro, Rio de Janeiro, Brazil",1,30
244,"Department of gastroenterology,Affiliated Hospital to Academy of Military Medical Sciences, Beijing, China",1,30
245,"MGH, Massachusetts General Hospital, Boston, Massachusetts, United States",1,300
246,"Instituto Ecuatoriano de Enfermedades Digestivas (IECED), Guayaquil, Guayas, Ecuador",1,30
247,"Hospital Regional Universitario de Málaga, Málaga, Spain | Hospital Universitario Virgen Macarena, Sevilla, Spain",1,30
248,"Nanjing Medical University, Nanjing, Jiangsu, China",1,30
249,"Department of Pediatrics, Samsung Medical Center, Seoul, Korea, Republic of",1,30
250,"Affiliated Hospital to Academy of Military Medical Sciences, Beijing, Beijing, China",1,30
251,"Universidad de los Andes, Santiago de Chile, Chile",1,30
252,"CHU Sart Tilman, Liege, Belgium",1,30
253,"University of California Irvine Alpha Stem Cell Clinic, Irvine, California, United States | California Pacific Medical Center, San Francisco, California, United States | Massachusetts General Hospital, Boston, Massachusetts, United States | UMass Medical School, Worcester, Massachusetts, United States | Mayo Clinic, Rochester, Minnesota, United States",1,0
254,"University of Alabama at Birmingham, Birmingham, Alabama, United States | University of California-Irvine, Irvine, California, United States | University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States | University of Maryland Medical Center Medical Center, Baltimore, Maryland, United States | Brigham and Women's Hospital, Boston, Massachusetts, United States | University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States",1,30
255,"Medical University of Warsaw, Warsaw, Poland",1,30
256,"Clínica Las Condes, Santiago, RM, Chile",1,30
257,"La Paz University Hospital. Orthopedic Surgery and Traumatology Department, Knee Unit; Cell Therapy Laboratory., Madrid, Spain",1,30
258,"GWOXI Stem Cell Applied Technology Co., Ltd., Hsinchu, Taiwan",1,30
259,"Stanley C Jones, Houston, Texas, United States",1,300
260,"The affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China",1,30
261,"Humanitas Research Hospital, Rozzano, Milano, Italy",1,30
262,"Damien JOLLY, Reims, France",1,30
263,"Seoul National University Hospital, Seoul, Korea, Republic of",1,30
264,"Jinling Hospital, Nanjing, Jiangsu, China",1,30
265,"Istituto Ortopedico Rizzoli, Bologna, Italy",1,30
266,"Research Center for Gastroenterology and Liver Diseases, Tehran, Iran, Islamic Republic of | Research center of Gastroenterology and Liver Disease, Tehran, Iran, Islamic Republic of",1,30
267,"Postgraduate Institute of Medical Education and Research, Chandigarh, UT, India",1,30
268,"Clinica Universidad de los Andes, Santiago, Chile",1,30
269,"River Oaks Hospital and Clinics, Houston, Texas, United States",1,0
270,"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",1,30
271,"Mercy Gilbert and Chandler Medical Center, Gilbert, Arizona, United States | University of California Irvine Department of Neurology, Orange, California, United States | University of California San Diego Division of Neurological Surgery, San Diego, California, United States",1,38
272,"University Hospital Río Hortega, Valladolid, Spain",1,36
273,"Institute of Sports Medicine, Peking University Third Hospital, Beijing, Beijing, China",1,252
274,"University Hospital, Newark, New Jersey, United States",1,35
275,"Xijing Hospital, Xi'an, Shaanxi, China",1,250
276,"Robert Jones & Agnes Hunt Orthopaedic Hospital, Oswestry, Shropshire, United Kingdom",1,35
277,"The Emory Clinic, Atlanta, Georgia, United States",1,35
278,"Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, Guangdong, China",1,250
279,"nantes University Hospital, Nantes, France",1,35
280,"Nantes University Hospital, Nantes, France",1,35
281,"Assistance Publique Hopitaux de Marseille, Marseille, Paca, France",1,36
282,"Seoul Natinoal Univetsity Hospital, Seoul, Korea, Republic of | Asan Medical Center, Seoul, Korea, Republic of | Samsung Medical Center, Seoul, Korea, Republic of",1,36
283,"Monash Universtiy, Clayton, Australia | Melbourne Renal Research Group, Melbourne, Australia",1,30
284,"Xuanwu Hospital Capital Medical University, Beijing, Beijing, China",1,242
285,"Children's National Health System, Washington, District of Columbia, United States",1,36
286,"Universidad de los Andes, Santiago, Chile",1,36
287,"Digestive Disease Research Center, Shariati Hospital, Tehran, Iran, Islamic Republic of",1,36
288,"Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, United States",1,36
289,"University of Miami School of Medicine, Miami, Florida, United States",1,37
290,"Knee and Lower Limb Institute, Dr Michel Assor, Marseille, France",1,50
291,"Renmin Hospital of Wuhan university, Wuhan, Hubei China, China",1,38
292,"Mayapada Hospital, Tangerang, Banten, Indonesia | Indra Clinic, Tangerang, Banten, Indonesia | Sukma Cliniq, Tangerang, Banten, Indonesia",1,38
293,"Vinmec International Hospital Times City, Hà Nội, Hanoi, Vietnam | Vinmec Research Institute of Stem cell and Gene Technology, Hanoi, Vietnam",1,34
294,"Brain Matters Research, Delray Beach, Florida, United States | University of Miami Miller School of Medicine, Miami, Florida, United States | Miami Jewish Health, Miami, Florida, United States",1,33
295,"Chonnam National University Hospital, Gwangju, Korea, Republic of | Gangdong Kyung Hee University Hospital, Seoul, Korea, Republic of | Konkuk University Medical Center, Seoul, Korea, Republic of | Kyung Hee University Hospital, Seoul, Korea, Republic of | Seoul Hospital attached to Soonchunhyang University, Seoul, Korea, Republic of | Seoul national University Boramae, Seoul, Korea, Republic of | Seoul National University Hospital, Seoul, Korea, Republic of",1,33
296,"Hospital San Lazaro, Sevilla, Spain | University Hospital Virgen Macarena, Sevilla, Spain",1,33
297,"Centro Medico Teknon, Barcelona, Spain | Hospital Clinico Universitario, Valladolid, Spain",1,30
298,"University of California Irvine Alpha Stem Cell Clinic, Irvine, California, United States | Cedars-Sinai Medical Center, Los Angeles, California, United States | California Pacific Medical Center, San Francisco, California, United States | Massachusetts General Hospital, Boston, Massachusetts, United States | University of Massachusetts Medical School, Worcester, Massachusetts, United States | Mayo Clinic, Rochester, Minnesota, United States",1,263
299,"Department of Hematopoietic Stem Cell Transplantation, Beijing, China | Department of Hematopoietic Stem Cell Transplantation, Affiliated Hospital to Academy of Military Medical Sciences, Beijing, China",1,30
300,"Dental School, Aristotle University, Thessaloniki, Greece",1,30
301,"Traumatology department. Complejo Hospitalario de Salamanca, Salamanca, Castilla y León, Spain | Orthopaedic and traumatology department. Clínica Universidad de Navarra, Pamplona, Navarra, Spain",1,30
302,"Bangladesh Laser And Cell Surgery Institute And Hospital, Dhaka, Bangladesh",1,31
303,"Venenzentrum der Dermatologischen und Gefäßchirurgischen Kliniken, Kliniken der Ruhr-Universität Bochum im St. Maria Hilf Krankenhaus, Bochum, Germany | Universitätsklinikum Erlangen, Hautklinik, Erlangen, Germany | Klinik und Poliklinik für Hautkrankheiten, Universitätsmedizin Greifswald, Greifswald, Germany | Klinische Forschung Hamburg GmbH, Dermatologie / Allergologie, Hamburg, Germany | pro scientia med im Mare Klinikum; Department Klinische Forschung und Entwicklung, Kiel, Germany | Universitätsklinikum Münster, Klinik für Hautkrankheiten, Allgemeine Dermatologie und Venerologie, Münster, Germany | Klinische Forschung Schwerin GmbH, Schwerin, Germany | Universitätsklinikum Ulm, Klinik für Dermatologie und Allergologie, Ulm, Germany | Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Universitätsklinikum Würzburg, Würzburg, Germany",1,31
304,"Health Sciences Centre, Winnipeg, Manitoba, Canada | Ottawa Hospital - General Campus, Ottawa, Ontario, Canada",1,31
305,"Neuroradiology/MRI, University Hospital of Grenoble, Grenoble, France | Stroke Unit, University Hospital of Grenoble, Grenoble, France | Tissular and cell therapy unit, UniversityHospitalof Grenoble, Grenoble, France",1,31
306,"University of Miami Miller School of Medicine, Miami, Florida, United States | Johns Hopkins University, Baltimore, Maryland, United States",1,31
307,"Cardiovascular Lab. 2014, The Heart Centre, Rigshospitalet, Blegdamcvej 9, Copenhagen, Denmark",1,31
