,Outcome Measures,count,enrolled
238,Proportion of Participants who Achieve Operational Tolerance|Proportion of Participants who Remain Off Immunosuppression|Proportion of Participants who Return to Immunosuppression|Proportion of Participants who Achieve Belatacept Monotherapy|Proportion of Participants who Die|Time from Transplant to the First Episode of Rejection|Incidence of Participants who Develop Donor Specific Antibody (DSA)|Incidence of Adverse Events Attributable to Mesenchymal Stromal Cells (MSC) Administration|Frequency of Select Adverse Events (AEs)|Incidence of Post-Transplant Diabetes|Frequency of Antibody-Mediated Acute Cellular Rejection|Frequency of Antibody-Mediated Chronic Rejection,1,6
239,"Safety of Cellavita HD by periodic monitoring changes at adverse events, vital signs, laboratory tests, ECG and incidence of benign and malignant neoplasms|Preliminary efficacy of Cellavita HD by UHDRS improvement and global clinical response (CIBIS)|Preliminary efficacy of Cellavita HD by comparison of the inflammatory markers|Immunological Response of Cellavita HD|Preliminary efficacy of Cellavita HD by comparison of the CNS assessment|Risk of suicidal ideation by Hamilton Depression Rating Scale (HDRS)",1,6
240,Knee cartilage defects|pain,1,6
241,The incidence and frequency of adverse events related to administration of UMC119-06-05.|Changes in exercise performance using 6-min walk test (6MWT).|Changes in grip strength.|Changes in quality of life measured by change in SF12 (12-Item Short Form).|Changes in physical activity using International Physical Activity Questionnaire (IPAQ) questionnaire|Changes in Forced Expiratory Volume in One Second (FEV1).|Changes in Clinical Frailty Scale.,1,6
242,Renal blood flow and function in the treated kidneys.|Level of kidney function.,1,6
243,safety|pain|physical function|defect,1,6
244,To evaluate the safety of the stromal cell infusion,1,8
245,success rate of fibroblasts culture|success rate of turning fibroblasts into mesenchymal stem cells|success rate of CRISPR/Case9 gene therapy treatment on patients' cells,1,8
246,swelling of hip joint|deterioration of joint function|skin allergic reaction|Respiratory reaction|Quantitative changes in pain intensity|physical function improvement|subchondral bone edema|cartilage thickness,1,6
247,PASI score improvement rate|PASI(Psoriasis Area and Severity Index)|PASI-50|PASI-75|Pruritus Scores on the Visual Analogue Scale|BSA|DLQI(Dermatology Life Quality Index),1,8
248,Change from baseline in safety|Change from baseline in effectiveness by MRI|Feasibility|Change in clinical efficacy|Change in Quality of life|Immunology|Axonal effect,1,9
249,"Dose-Limiting Toxicity and Maximum Tolerated Dose of CS10BR05 Inj.|Adverse events, frequency and rate of vitals sign, laboratory test, physical examination, ECG, etc.|Unified Multiple System Atrophy Rating Scale(UMSARS)",1,9
250,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Assessment of the efficacy of injecting Wharton Jelly derived Mesenchymal Stem Cells by SHIM/IIEF/EHS questionnaire,1,9
251,"Incidence of adverse events|Clinical remission (proteinuria, hematuria)|Proteinuria|Hematuria|Estimated glomerular filtration rate (eGFR)",1,9
252,Oxygen saturation|Oxygen pressure in inspiration|ground-glass opacity|Pneumonia infiltration|Lactate dehydrogenase|C-reactive protein|D-dimer|Ferritine,1,9
253,"Incidence of Adverse Events Incidence of Adverse Events|Change in Model for End-Stage Liver Disease (MELD) score from baseline to 28th day|Change in Model for End-Stage Liver Disease (MELD) score from baseline to 3 days, 7days, 14 days, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months, and 24 months|Incidence of each complication associated with decompensated cirrhosis|liver transplant-free survival|Incidence of liver failure|plasma albumin (ALB)|plasma prealbumin (PALB)|total bilirubin (TBIL)|serum cholinesterase (CHE)|prothrombin time (PT)|Child-Turcotte-Pugh (CTP) score|EuroQol Group 5-Dimension Self-Report Questionnaire (EQ-5D)|Incidence of liver cancer|ChronicLiver Disease Questionnaire (CLDQ)",1,9
254,Assessment of the efficacy of injecting Wharton Jelly derived Mesenchymal Stem Cells by Penile Doppler ultrasonography.|Assessment of the efficacy of injecting Wharton Jelly derived Mesenchymal Stem Cells by SHIM/IIEF/EHS questionnaires,1,9
255,Safety (Clinically measured abnormality of laboratory tests and adverse events)|CDAI value|The ratio of patients applicable to CDAI <150,1,9
256,"Incidence of adverse events|Incidence of composite endpoints (death, continuous respiratory support, and continuous use of vasopressors or pulmonary vasodilators)|Mortality|Overall survival|Duration of continuous respiratory support|Duration of continuous use of vasopressors or pulmonary vasodilators|The composite score of cognitive scale, language scale, motor scale, social-emotional scale, and adaptive behavior scale in Bayley Scales of Infant and Toddler Development Third edition|The developmental quotient in Kyoto Scale of Psychological Development 2001|Presence of 1) head control, 2) roll over, 3) sitting position, 4) crawl, 5) independent gait, and 6) meaningful words|Presence of spasticity|Presence of epilepsy|MRI score|Gross Motor Function Classification System (GMFCS) score",1,9
257,Number and frequency of adverse events (AEs)|Changes of vital signs from 1 hour after infusion to day 28±3|Changes of complete blood count (CBC) from day 1 to day 28±3|Changes of blood biochemical from day 1 to day 28±3|Changes of coagulation function from day 1 to day 28±3|Routine urine analysis|Urine pregnancy test (female only)|Cardiac rate measured by twelve-lead electrocardiogram|Percentage of participants achieving ACR20|Percentage of participants achieving ACR50|Percentage of participants achieving ACR70|Change from baseline of the disease activity score based on DAS28-CRP|Change from baseline of the disease activity score based on DAS28-ESR|EULAR response|Change from baseline of the health assessment questionnaire(HAQ) score|Change from baseline of the simplified disease activity index (SDAI) score|Change from baseline of the clinical disease activity index (CDAI) score|Change from baseline of TNF-α level|Change from baseline of IL-6 level,1,9
258,Occurrence of adverse events|Changes in neurological function test,1,9
259,Safety and tolerability of BC-101 injection|Changes in wrinkle severity assessment from baseline,1,9
260,Change from the baseline in ADAS-Cog|Change in CDR-SOB|Change from the baseline in K-MMSE(korean version)|Change from the baseline in CGA-NPI|Change from the baseline in SIB|ADAS-Cog Response Rate|Change in CIBIC-plus|Change from the baseline in CSF biomarkers,1,9
261,Grading of Adverse Events|Routine physical examinations|Changes in physical examinations: clinical standard neurological examination [Safety of Mitocell]|Changes in vital signs: blood pressure [Safety of Mitocell]|Changes in vital signs: pulse rate [Safety of Mitocell]|Changes in vital signs: body temperature [Safety of Mitocell]|Changes in clinical laboratory safety screen: haematology - hemoglobin [Safety of Mitocell]|Changes in clinical laboratory safety screen: Platelet count [Safety of Mitocell]|Changes in clinical laboratory safety screen: white blood cell (WBC) counts [Safety of Mitocell]|Changes in clinical laboratory safety screen: International Normalized Ratio (INR) [Safety of Mitocell]|Changes in clinical laboratory safety screen: activated partial thromboplastin time (aPTT) [Safety of Mitocell]|Electrocardiogram (ECG)|Magnetic Resonance Imaging (MRI)|MDS-UPDRS (Movement Disorder Society unified Parkinson's disease rating scale)|Modified Hoehn & Yahr staging|18F-DOPA PET|levodopa equivalent daily dose (LEDD)|PDQ-39 (Parkinson's Disease Questionnaire)|Beck Depression Inventory (BDI-II) scores|Hamilton Depression Rating Scale (HAM-D-17) scores|Mini Mental State Examination (MMSE) Scores,1,9
262,Number of adverse events|Sensory and motor strength|Functional Independence|Muscle strength assessment,1,9
263,Number of participants with Adverse event|Changes from the baseline in ADAS-cog at 12 weeks post-dose,1,9
264,The incidence and frequency of adverse events related to administration of UMC119-06.|Changes in Modified Rankin Score (mRS)|Changes in National Institute of Health Stroke Scale (NIHSS)|Changes in Barthel Index (BI)|Changes in Brain MRI,1,9
265,"The incidence and frequency of adverse events related to administration of UMC119-01.|The percentage of subjects who died from any cause during the study.|Changes of the oxygen saturation.|Changes of chest x-ray findings in participants before and after administration.|Changes of inflammatory markers (pg/ml) before and after administration.|Comparison of the incidence and severity of preterm children's complications in participants before and after administration.|The number of days of intubation, or where ventilator or oxygen therapy.|Incidence of moderate/severe BPD or death at 36 weeks postmenstrual age (PMA).",1,9
266,Safety assessment(evaluation)|Efficacy assessment(evaluation),1,8
267,Fever|Unconscious|Vomiting|ALS-FRS|FVC,1,8
268,safety evaluation,1,8
269,Adverse events|Cumulative number of MRI Gd-enhancing lesions|Multiple Sclerosis Outbreaks|Expanded Disability Status Scale (EDDS) score|Cumulative number of lesions visualized on T2 sequence,1,8
270,Improvement rate of PASI(Psoriasis Area and Severity Index)|PASI(Psoriasis Area and Severity Index)|Relapse rate in treatment period / follow-up period|PASI-50|PASI-75|Pruritus Scores on the Visual Analogue Scale|BSA|DLQI（Dermatology Life Quality Index）,1,8
271,Incidence of infusion reactions|Incidence of Infections post-infusion|Survival|Neurodevelopmental Assessments,1,6
272,Incidence of treatment-emergent adverse events (AE)|Blood anti-Müllerian hormone (AMH) level|Day 3 follicle stimulating hormone (FSH) and estradiol (E2) levels|Antral follicle counts (AFC),1,6
273,Safety events|Maximum tolerated dose (MTD),1,12
274,Number of participants with treatment-related adverse events (safety and toxicity)|Number of participants with response to the treatment regarding cessation of drainage from the treated fistula.|Number of participants with radiographic response to the treatment regarding the treated fistula.,1,5
275,Maximum Tolerated Dose (MTD) of Mesenchymal Stem Cells-Interferon-β (MSC-IFNβ)|Correlation Between the Number of MSC-IFNβ Infused and the Production of Interferon-β and the Number of MSC-IFNβ Detected at the Tumor Sites Via Tumor Biopsy Pre- and Post-Treatment,1,5
276,Magnetic resonance imaging|Sensitivity and motor strength on the inferior limbs|Improvement in urological function|Improvements in sensorial mapping and neuropathic pain,1,5
277,"To determine the safety or repeated infusions of donor-derived and MSCs in subjects with severe osteogenesis imperfecta > 5years after an allogeneic bone marrow transplant and no prior bone marrow transplant.|To determine if MSCs elicit an immune response after repeated infusions.|To determine the change in clinical course (growth, bone mineral content, fracture rate, development/activities) of subjects after experimental MSC intervention therapy as compared with each subject's own pre-MSC intervention therapy.",1,5
278,To assess the safety of combination of hematopoetic and mesenchymal stem cell in patients of liver cirrhosis.|Change in MELD (Model for End stage Liver disease) score.|Change in Child Pugh score.|Change in the percentage of CD 34 cells in liver.,1,5
279,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Assessment the efficacy of intracavernous injection measured by SHIM/IIEF/EHS questionnaire|Evaluation the efficacy of intracavernous injection measured by Dynamic Infusion cavernosometry test.,1,4
280,Major adverse cardiac events (MACE) endpoints of mortality|Re-infarction|Target vessel revascularization (TVR)|Heart failure hospitalization|Cardiac MRI|Echocardiography|Electrocardiography (ECG)|Wellness Parameter|Laboratory Assessment,1,4
281,1) Adverse reaction and serious adverse reaction evaluation 2) laboratory inspection 3) Vital signs 4) Biochemical examination 5) Lumbar MRI 6) Monitoring systemic infection|Confirmation of the degree of pain improvement in VAS|Confirmation of the degree of improvement in disability (ODI)|Confirmation of increase in water content in the nucleus using MRI,1,4
282,"C-peptide level after mixed meal tolerance test|Liver function, kidney function|The absence of severe hypoglycemic episodes",1,3
283,Measurment of Cell Viability and Apoptosis|Measurment of cell differantiation,1,3
284,ALT|AST|Serum Albumin|Liver Fibrosis|Progression of fibrosis,1,3
285,Osteogenic Effects in Human Mesenchymal Stem Cells Enhanced by Wnt Signaling/Hydroxyapatite Nanoparticles--Comparisons between Non-viral and Viral administration in Tissue Engineered Bone Regeneration,1,3
286,Serious Adverse Events related to the treatment|Revised ALS Functional Rating Scale (ALSFRS-R),1,3
287,Incidence of Treatment-Emergent Adverse Events (TEAEs)|Incidence of Treatment-Emergent Adverse Events|Changes of pain after stem cell injection|Changes of PUF (Pelvic Pain and Urgency/Frequency) scores after stem cell injection|Changes of ICQ (O'Leary-Sant interstitial cystitis symptom index/problem index) scores after stem cell injection|Changes of voiding profiles after stem cell injection|Changes of Hunner lesion after stem cell injection,1,3
288,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Incidence of Fistula Closure,1,2
289,Adverse Events as a Measure of Safety|bone mineral density|fracture rate|growth velocity|change from baseline in degree of functionality|change from baseline in well-being,1,2
290,Type and Severity of Adverse Effects (AE) and Adverse Reactions (AR)|Changes in Visual Acuity|Changes in Visual Field|Changes in Optical Coherence Tomography Parameters Related to Glaucoma|Changes in Retinal Ganglion Cells Function by ERG,1,2
291,Safety|Neurologic disability score,1,1
292,"Change in acute phase reactants (C-reactive protein (CRP) after MSC administration in group I, II, III|Change in acute phase reactants (procalcitonin) after MSC administration in group I, II, III|Change in acute phase reactants ( white blood cell count) after MSC administration in group I, II, III|Changes in respiratory support after MSC administration in Groups I, II, III|Changes in arterial blood gas analysis (partial oxygen/fractionated oxygen (Pa/Fi) ratio) after MSC administration in Groups I, II, III|Effect on mortality after MSC administration in Groups I, II, III",1,1
293,Safety evaluation|Positron emission tomography|Magnetic Resonance Imaging|Electroencephalogram|Neuropsychological assessment|Electrodiagnostic Testing|Assessment of language and swallowing functions|Measure of the severity of disability|Assessment of spasticity and strength|Assessment of brain motor control,1,1
294,Sperm detection|Hormonal profile,1,1
295,"Number of subjects who experience serious adverse events, adverse events, and/or early treatment discontinuations.|Proportion of patients with clinical response|Number of subjects demonstrating an improvement of laboratory tests reflecting systemic inflammation.|Number of subjects with endoscopic healing after treatment.",1,1
296,Adverse Events|Change from baseline of weight|Change of muscle diameter (circumferential measurements) from baseline|Change from baseline of Pulmonary Maximum Expiratory Pressure|Change from baseline of Pulmonary Forced Vital Capacity|Maximum Change from baseline of Predicted Inspiratory Pressure %|Change from baseline of Predicted Maximum Expiratory Pressure %|Change from baseline of Predicted Forced Vital Capacity %,1,1
297,Kaufman Assessment Battery for Children (K-ABC)|Blood concentration test|Gross Motor Function Measurement (GMFM)|Box and Block Test|Modified Ashworth Scale (MAS)|SF-36|Verification of ASTROSTEM's effect on the brain through fMRI & MRS (Magnetic Resonance Spectroscopy) scan,1,1
298,MSC identification using MRI in-vivo on day 0|MSC identification using MRI in-vivo on day 1|MSC identification using MRI in-vivo on day 7|MSC identification using MRI in-vivo after 2 weeks|MSC identification using MRI in-vivo after 4 weeks|MSC identification using MRI in-vivo after 8 weeks|MSC identification using MRI in-vivo after 12 weeks|MSC identification using MRI in-vivo after 26 weeks|Cardiac pump function changes|CCS class|Seattle Angina Questionnaire|Weekly number of angina attacks|Weekly nitroglycerin consumption|Adverse events,1,5
299,"Safety: Emergent or worsening Serious Adverse Events (SAEs) related to the BPF implant during the 3 months post-defect repair|Efficacy: Bronchopleural Fistula (BPF) closure at 3 months assessed by visual appearance and no clinical signs of leaks.|Change from Baseline in Physiological and Quality of Life scores at 3, 6, 9, 12 months, Evaluation Questionnaire 5D (EQ-5D), 6-minute walking test (6MWT), ambulatory oxygen (O2).|Safety and tolerability: - Adverse Events (AEs) including pre-defined postoperative AEs of special interest up to 30± 3 days post implantation- Related AEs reported after 3, 6, 9, 12, 24 and 36 months|Viability and the integrity of the repair area (closure) visually via bronchoscope. Integrity assessed by visual appearance of no visible leaks- Structural closure of the defect and visual health of the defect area and surrounding tissue|Absence of other surgical interventions at 6, 9, 12, 24 and 36 months",1,5
300,Safety: Adverse Event,1,6
301,PASI score improvement rate|Psoriasis Area and Severity Index(PASI)|Relapse rate in treatment period / follow-up period|PASI-50|PASI-75|Pruritus Scores on the Visual Analogue Scale|the Body Surface Area (BSA%)|the Dermatology Life Quality Index（DLQI）,1,5
302,Number of participants with Adverse event|Amount of change in late gadolinium contrast-enhanced area at the time of screening and 6 months after surgery|Number of complication associated with drug administration method,1,6
303,The incidence and frequency of adverse events related to administration of UMC119-06-05.|Changes of total score in the Western Ontario and McMaster (WOMAC) assessment on the target knee.|Changes of arthritis pain on target knee using the 100-mm visual-analogue scale (VAS).|Whole Organ Magnetic Resonance Imaging Score (WORMS).|Changes in Kellgren-Lawrence (K-L) grading and joint space on target knee.|Amount of rescue medications required.,1,6
304,Number of participants with treatment-related adverse events|Bone regeneration as assessed by high-resolution CT scans|Quality of life as measured by the Glasgow Benefit Inventory|Quality of life as measured by SF-12,1,6
305,Count of Participants With Stable Engraftment Post Hematopoietic Cell Transplantation (HCT)|Overall Survival 6 Months Following HCT|Overall Survival 1 Year Following HCT|Count of Participants With Disease-free Survival 6 Months Following HCT|Count of Participants With Disease-free Survival 1 Year Following HCT,1,6
306,Mass formation|Glomerular Filtration Rate (GFR),1,6
307,Fever|Unconsciousness|vomiting|ALS-FRS|FVC|EMG-NCV,1,6
308,Effect of mesenchymal stem cells on overall survival in haploidentical stem cell transplantation|Effect of mesenchymal stem cells on graft versus host disease incidence in haploidentical stem cell transplantation|Effect of mesenchymal stem cells on graft failure incidence in haploidentical stem cell transplantation,1,6
309,Number of Participant with treatment emergent serious adverse events|Difference in Colony Forming Units (CFUs) in semiquantitative culture of sputum|rate of decline of lung function|frequency of acute exacerbations|reported dyspnea and quality of life assessment|death from any cause,1,6
310,Number of Incidence of any Treatment-Emergent Serious Adverse Events (TE-SAEs)|Cognitive function over time as assessed by the Alzheimer's Disease Assessment Scale - Cognitive (ADAS-Cog 11)|Cognitive function over time as assessed by the Mini Mental State Examination (MMSE) of Folstein test|Depressive symptoms over time as assessed by the Geriatric Depression Scale (GDS) Short Version|Participant quality of life over time assessed via Alzheimer's Disease Related Quality of Life (ADRQL-40) Questionnaire as completed by the caregiver|Participant quality of life over time as assessed via the Alzheimer's Disease Cooperative Study Activities of Daily Living (ADCS-ADL) Questionnaire as completed by the caregiver|Neuropsychiatric Inventory-Q (NPI-Q) Scores over time|Caregiver's Quality of life over time as assessed by the Caregiver Self-Assessment Questionnaire scores|Biomarker levels over time|Serum ApoE level over time|Serum PRA level over time|Serum Tau protein level over time|Cerebrospinal Fluid (CSF) Biomarker levels over time|CSF ApoE level over time|CSF PRA level over time|CSF Tau protein level over time|Change in hippocampal volume,1,6
311,fulfill bone cyst defect|effect of mesenchymal cell transplantation,1,6
312,Incidence of Treatment-Emergent Adverse Events|Proportion of complete wound closure,1,6
313,Frequency of Grade 3 or higher adverse events|Frequency of All Adverse Events|Change in Disease Activity|Change in Patient Reported Outcomes - Life|Change in Patient Reported Outcomes - Fatigue|Change in Patient Reported Outcomes - Pain|Change in Patient Reported Outcomes - Depression|Change in Disease Biomarkers - Cellular|Change in Disease Biomarkers - Serum,1,6
314,Pain relief,1,6
315,Radiological progression of bone fusion|Reduction of pain using VAS|Cost analysis based on length of hospital stay,1,6
316,effect of mesenchymal cell transplantation to decrease limb inequal|improve life quality,1,6
317,Sings and Symptoms Absence|Root canal Narrowing|Elongation of the root|Sensitivity tests perception|Repair of the bone lesion produced by the apical periodontitis|Stability of bio ceramic cements used in the obturation of the access cavity|Evaluate blood circulation within the root canal,1,5
318,Amount of New Bone Mass Formed|Quality of Bone Regeneration,1,5
319,Adverse events related to the intravenous allogeneic umbilical cord blood-derived mesenchymal stem cell|Change in type VII collagen and anchoring fibril expression at dermoepidermal junction|Change in Birmingham Epidermolysis Bullosa Severity Score (BEBSS)|Change in Global severity score|Change in total body surface area affected by RDEB|Change in Quality of Life in Epidermolysis Bullosa (QOLEB) questionnaire|Change in blister count|Change in pruritus visual analogue scale (VAS)|Change in pain visual analogue scale (VAS),1,5
320,Incidence of adverse reactions|Incidence of opportunist diseases|Changes in CD4+ cell count and CD4+/CD8+ ratio|T CD4 +/µl count evolution and CD4 +/CD8 + ratio throughout 48 weeks,1,5
321,Incidence of Treatment-Emergent Adverse Events|measurement of Modified Ranking Scale,1,5
322,Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Time to reach re-epithelialization of wound|Vancouver Burn Scar Scale,1,5
323,Absence of inflammatory reaction - Slit lamp exploration - SUN (Standardization of Uveitis Nomenclature) scale|Adverse events procedure-related (intravitreal injection),1,5
324,The volume change of fatty layer|Clinical lab tests|Fat absorption rate,1,5
325,Incidence of grade 3-5 infusional toxicities and predefined hemodynamic or respiratory adverse events related to the infusion of MSC|Incidence of a reduction in one or more biomarkers of inflammation by day 7|Trend changes in PaO2:FiO2 ratio|Trend changes in Mean Airway Pressure|Trend changes in peak pressure|Trend changes in plateau pressure|Trend changes in Positive end-expiratory airway pressure (PEEP)|Incidence of mortality|Number of ICU-free days|Number of days alive and ventilator free composite score 3|Change in acute lung injury (ALI) score 2|Incidence of serious adverse events|Number of days alive off supplemental oxygen,1,9
326,Number of product related adverse events through the duration of the study.|Secondary Endpoint,1,9
327,Number of Participants with Adverse Events as a Measure of Safety and Tolerability of intravenous allogeneic unrelated mesenchymal stem cells infusion in patients with severe acquired aplastic anemia.|Level of cytopenias|Transfusional requirements|Incidence of infections and febrile neutropenia,1,9
328,Tumor formation|Adverse events,1,11
329,To evaluate the feasibility and safety of the implementation of MSV in the treatment of maxillary cysts|Indication of efficacy,1,11
330,iMP-related adverse events|Hypersensitivity|Scar reduction|LVEF|Change in quality of life,1,11
331,Safety and Tolerability of EPIC MSC2014-002 based on dose limiting toxicities (DLTs)|Overall Response Rate for acute GVHD subjects|Overall Response Rate for chronic GVHD subjects|Transplant-related mortality|Incidence of Relapse|Disease-free survival|Overall-survival,1,11
332,Adverse Events|WOMAC score|WOMAC 3 subscale score|X-ray,1,11
333,Response by Day 28|Improvement of GVHD by Day 28 in one or more organs involved with GVHD symptoms at day 1|Best stage of each involved organ by Day 28|Time to improvement or resolution of GVHD in one or more organs|Adverse events|Infusional toxicity|Overall relapse of underlying disease|Overall survival|Formation of ectopic tissue foci|Incidence of infection,1,11
334,differantiation of transplanted mesenchymal stem cells to hepatocytes in post treatment liver biopsies,1,10
335,proportion of participants who have a TRSAE after infusion of MSCTC 0010|Proportion of participants who achieve a complete response (CR) of aGVHD by study day 42|Proportion of participants with improvement of GVHD in 1 or more organs involved with GVHD by day 42|Occurrence of addition of escalated immunosuppressive therapy by day 90|Occurrence of Formation of ectopic tissue foci at day 90,1,10
336,Safety of inject mesenchymal stem cells in MMII|Quality of life of patients after treatment,1,10
337,change in bone volume,1,10
338,"biopsy proven acute rejection / graft loss|Comparison of fibrosis by quantitative Sirius Red scoring|Serious adverse events|Renal function measured by cGFR (MDRD formula) and iohexol clearance|CMV, BK infection (viremia, disease and syndrome; and subtypes of BK viremia) and other opportunistic infections|Development of de novo donor specific antibodies (DSA) and immunological responses",1,10
339,Treatment related adverse events|Complete clinical healing|Partial clinical healing|Lack of response|Worsening of disease,1,10
340,Incidence of Treatment emergent adverse event (TEAE) as presented by MedDRA coding system|Incidence of Serious adverse event (SAE) as presented by MedDRA coding system|Incidence of Suspected and unexpected serious adverse reaction (SUSAR) as presented by MedDRA coding system|New York Heart Association (NYHA) Classification|Incidence of major adverse cardiovascular events (MACE)|Serum level of amino-terminal pro-brain natriuretic peptide (NT pro-BNP)|Pulmonary function test|Echocardiogram|Cardiac MRI (cMRI) for baseline and efficacy evaluation,1,10
341,"Incidence of adverse event, and the level of the adverse event (AE) analyzed according to the Common Terminology Criteria for Adverse Event (CTCAE) (version 5.0)|Changes in eGFR|Changes in BUN|Changes in Creatinine",1,10
342,Number of Participants with Reduction in Crohn's Disease Activity Index (CDAI) of at Least 100 Points|Number of Participants with Reduction in CDAI of at Least 70 points|Improvement as Assessed by the Inflammatory Bowel Disease Questionnaire (IBDQ)|Time to Improvement in IBDQ|Number of Participants with Reduction of at Least 50% in Fistulas in Participants with Fistulas Draining Under Moderate Compression|Number of Participants with Induction of Remission as Defined by Reduction of CDAI to Below 150|Time to Reduction in CDAI of at Least 100 Points|Time to Reduction in CDAI of at Least 70 Points|Time to Induction of Remission as Defined by Reduction of CDAI to Below 150.|Number of Participants with Adverse Events,1,10
343,"Treatment related adverse events|Number of subjects with treatment related abnormal variation of vital signs, physical examination and laboratory test values|Oxygenation index (PaO2 / FiO2 ratio)|Mortality rate|Ventilator treatment status|Improvement of pneumonia|SOFA score (Sequential Organ Failure Assessment)|2019 nCOV nucleic acid test",1,10
344,Cartilage Repair|Visual Analog Score for pain|International Knee Documentation Committee Questionnaire|Western Ontario and McMaster Universities Osteoarthritis Index|Perioperative and post-operative complications|Measurement of health resources expenses,1,10
345,SDF1-α (stromal cell-derived factor alpha) Concentration|DPP-4 (Dipeptidyl peptidase-4) Activity|Monocyte State|Absolute/Differential leukocyte count|CD271+ cells,1,10
346,Incidence of treatment-emergent adverse events and complications [Safety and Tolerability]|Acute GVHD-restaging [Efficacy]|Chronic GVHD-restaging [Efficacy]|Survival analysis at six months after MSC infusion|Incidence free survival at six months after MSC infusion,1,10
347,Safety measure|HbA1c|Fasting blood glucose (FPG)|C-peptide levels|Blood insulin|Insulin dose,1,10
348,"Feasibility and security of MSC therapy in very low birth weight preterm babies at risk of developing bronchopulmonary dysplasia (Number of participants with adverse events)|Biomarker analysis (IL-1beta, IL-6, IP-10, INF-gamma, TGF beta, NLRP3, RAGE, HMGB1, VEGFA, GREMLIN1, sVEGFR1, IGF, ENDOTHELIN-1, SMPD-1, SP-D, SMPD3.|Changes in the echocardiographic parameters related with PH and preterm birth, in patients treated with MSC (Number of participants with echocardiographic adverse events)|Incidence of BPD and PH in very low birth weight babies treated with MSC",1,10
349,Osteogenic potential|Adipogenic potential|Genotype assay,1,10
350,Assessment of changes in the bone volume at the grafted alveolar cleft site from the immediate postoperative to 6 months|Assessment of changes in the bone density at the grafted alveolar cleft site from the immediate postoperative to 6 months,1,10
351,- Day of neutrophil engraftment - Day of platelet engraftment - Evaluation of chimerism - Evaluation of engraftment rate|- AGVHD grade,1,10
352,Union|Short Form 12 survey,1,11
353,The percentage of patients without nephrotic syndrome recurrence after complete withdrawal of immunosuppressive treatment for at least 6 months|The percentage of adverse events|The time to recurrence of nephrotic syndrome|The percentage of participants achieving a reduction in the immunosuppressive therapy|The dose of immunosuppressive therapy to prevent further NS relapses|Reported Quality of Life,1,11
354,Number of participant with adverse reaction|Incidence of BPD at 36 Week's postmenstrual age,1,9
355,IKDC Score|VAS|Lysholm Score|KOOS Score,1,12
356,Treatment related adverse events|Clinical and endoscopic remission|Clinical and endoscopic response|Partial clinical and endoscopic response|Lack of response|Mayo clinic score,1,24
357,"The number of Serious Adverse Events that are attributable to the treatment|The severity of Serious Adverse Events that are attributable to the treatment|Amputation free survival|median time to amputation,|Change in Transcutaneous Pressure of Oxygen TcPO2|Change in Ankle Brachial Index|Collateral vessel formation|Change in Ischemic rest pain|Change in Ulcer size|Change in Quality of Life",1,12
358,"Change of total score in WOMAC (Western Ontario and McMaster University)|Change of score in WOMAC three subscales (Pain, stiffness, physical function)|Change of score in 100 mm VAS (Visual Analogue Scale)|Change of score in IKDC(International Knee Documentation Committee)|Change of score in WORMS(Whole-Organ Magnetic Resonance iMaging Score)|Change in K&L(Kellgren-Lawrence) grade|Change in joint space width|Change in mechanical axis, anatomical axis|Rate of surgery to treat application site after treatment of SMUP-IA-01|Changes in biomarker",1,12
359,"Incidence of infusion reactions|Incidence of product-related infections|Evidence of formation of anti-HLA antibodies|Incidence of graft vs. host disease|Incidence of unexpected adverse events, by severity and relation to study|The Vineland Adaptive Behavior Scale Interview, 3rd Edition, Comprehensive interview form|Social Responsiveness Scale, Second Edition (SRS-2)|Social Withdrawal Subscale of the Aberrant Behavior Checklist, Community Edition (ABC-C)|Pediatric Quality of Life Inventory General Core Scales|Pediatric Quality of Life Inventory Family Impact Measure|Pediatric Quality of Life Inventory General Core Scales - Adult Version",1,12
360,Percent of participants with response to therapy|aGVHD severity per Blood and Marrow Transplant Clinical Trials Network Manual of Operations (BMT MOP).|aGVHD incidence|Safety as measured by number of adverse events attributed to MSC and ECP therapy|Safety as measured by severity of adverse events attributed to MSC and ECP therapy|Number of participants with non-relapse mortality (NRM)|Number of participants with relapse-related mortality|Average time to relapse|Chronic GVHD incidence|Overall Survival (OS)|Steroid dose decrease|Steroid discontinuation rate|Change in FACT-BMT (Functional Assesment of Cancer Therapy-Bone Marrow Transplant) survey score|Percent regulatory T cells (% Tregs)|CD4:CD8 ratio,1,12
361,Incidence of Infusion reactions|Incidence of Infections,1,12
362,Percentage of subjects experiencing dose limiting toxicity (DLT)|Change in Saliva production rate|Saliva composition analysis: Change in salivary pH|Saliva composition analysis: Change in total protein concentration in saliva|Saliva composition analysis: Change in amylase concentration in saliva|Saliva composition analysis: Change in mucin concentration in saliva|Change in The University of Michigan Xerostomia Related Quality of Life (XeQOL) score|Change in The MD Anderson Dysphagia Index (MDADI) score|Change in Visual Analogue Scale (VAS) xerostomia score|Change in salivary gland size|Change in salivary gland stiffness measured by shear wave velocity|Participant Drop out Rate,1,12
