,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
104,105,NCT01540292,Crohn's Disease,Mesenchymal Stem Cell Therapy for the Treatment of Severe or Refractory Inflammatory and/or Autoimmune Disorders,Mesenchymal Stem Cells (MSC),Mesenchymal Stem Cell Therapy for the Treatment of Severe or Refractory Inflammatory and/or Autoimmune Disorders,Liège,,Belgium,"February 1, 2013"
105,106,NCT03905824,Osteochondral Fracture of Talus,The Effectiveness of Adding Allogenic Stem Cells After Traditional Treatment of Osteochondral Lesions of the Talus,Allogenic stromal mesenchymal cells derived from the umbilical cord|Debridement and microfracture,"Randomized, Multicentric, Prospective, Double-blind Study: Effectiveness of Adding Allogenic Stem Cells to a Platelet-poor Plasma Scaffold After Arthroscopic Debridement and Microfractures in Patients With Osteochondral Lesions of the Talus",Santiago,Independencia,Chile,"January 15, 2019"
106,107,NCT03186417,Rheumatoid Arthritis,Mesenchymal Stem Cells in Early Rheumatoid Arthritis,2 million hMSC/kg|4 million hMSC/kg|6 million hMSC/kg|placebo,Cell-Based Therapy in Rheumatoid Arthritis: Proof of Concept Phase 1 Trial,Cleveland|Cleveland,Ohio|Ohio,United States|United States,"December 15, 2017"
107,108,NCT05520086,Chronic Conjunctivitis|Stevens-Johnson Syndrome|Lyell Syndrome|Pemphigoid,Clinical Trial to Evaluate Safety and Efficacy of Cell Therapy in Patients With Cicatricial Conjuntivitis.,Single Dose|Double Dose,"Phase IIa Multicenter Clinical Trial to Determine the Feasibility and Safety of the Use of Adipose-derived Mesenchymal Stem Cells (ASC) in the Treatment of Patients With Cicatricial Conjunctivitis Associated With Lyell's Syndrome, Stevens-Johnson Syndrome and Pemphigoid of the Mucous Membranes With Ocular Involvement.",Oviedo|Barakaldo|Alcázar De San Juan|Córdoba|Madrid|Madrid|Madrid|Valladolid,Asturias|Bizkaia|Ciudad Real,Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain,September 2022
108,109,NCT05177003,Crohn Disease|Ano Fistula,Study of the 12-month Efficacy of Stem Cell Injection in Crohn's Disease With Complex Ano-perineal Fistula,,Study of the 12-month Efficacy of Stem Cell Injection in Crohn's Disease With Complex Ano-perineal Fistula,Paris|Rennes,,France|France,"July 2, 2021"
109,110,NCT00186914,Osteodysplasia,Stromal Therapy of Osteodysplasia After Allogeneic Bone Marrow Transplantation,Marrow stromal cell infusion,Stromal Therapy of Osteodysplasia After Allogeneic Bone Marrow Transplantation: A Phase I Study,Memphis,Tennessee,United States,July 1999
110,111,NCT05165017,Pitt Hopkins Syndrome,Safety & Efficacy of AlloRx SC® in PTHS Patients,AlloRx Stem Cells®|Placebo control,Randomized Double Blind Placebo Controlled Study of the Safety & Efficacy of Therapeutic Treatment With AlloRx Stem Cells® in Patients With Pitt Hopkins Syndrome (Phase 1/2 Study),,,,December 2021
111,112,NCT05157958,Dystrophic Epidermolysis Bullosa,Study to Evaluate Safety and Efficacy of ALLO-ASC-SHEET in Subjects With Dystrophic Epidermolysis Bullosa,ALLO-ASC-SHEET|Vehicle Control,"Double Blind, Randomized, Phase II Clinical Study to Evaluate Safety and Efficacy of ALLO-ASC-SHEET Versus Vehicle Control in Dystrophic Epidermolysis Bullosa (DEB) Patients",,,,"March 1, 2022"
112,113,NCT04340609,Acute Myocardial Infarction,Stem Cell in Acute Myocardial Infarction,Mesenchymal Stem Cells,Allogeneic Umbilical Cord Mesenchymal Stem Cell Therapy for Acute Myocardial Infarction,Jakarta,,Indonesia,"March 11, 2019"
113,114,NCT04314661,"Osteoarthritis, Knee",Mesenchymal Stem Cell Therapy (MSCs) and Conditioned Medium Therapy for Osteoartrithis,Arthroscopy with Mesenchymal Stem Cells + Secretome + Secretome|Arthroscopy with Secretome + Mesenchymal Stem Cells + Secretome|Non Arthroscopy with Mesenchymal Stem Cells + Secretome + Secretome|Non Arthroscopy with Secretome + Mesenchymal Stem Cells + Secretome,Innovative Osteoarthritis Therapy Using Combination of Mesenchymal Stem Cell (MSC) and Conditioned Medium (CM): A Comparative Study on Arthroscopy and Non-Arthroscopy,Jakarta Pusat,DKI Jakarta,Indonesia,"August 3, 2020"
114,115,NCT04326959,Keloid,"Implantation of Mesenchymal Stem Cell, Conditioned Medium, or Triamcinolone Acetonide for Keloid",Umbilical Cord-Mesenchymal Stem Cells and Conditioned Medium|Conditioned Medium|Triamcinolone Acetonide,"Implantation of Mesenchymal Stem Cell, Conditioned Medium, or Triamcinolone Acetonide for Keloid Regression: Immunohistochemistry, Histopathology and Imaging Study",,,,"September 1, 2020"
115,116,NCT04315025,Retinitis Pigmentosa,Safety Issues of Peribulbar Injection of UC-MSC in Patients With Retinitis Pigmentosa,Umbilical Cord Mesenchymal Stem Cell (UC-MSC)|Conditioned Medium (CM),Safety Issues of Peribulbar Injection of Umbilical Cord Mesenchymal Stem Cell (UC-MSC) in Patients With Retinitis Pigmentosa,Jakarta|Yogyakarta,DKI Jakarta|Special Region,Indonesia|Indonesia,"October 7, 2018"
116,117,NCT02145923,Neutropenic Enterocolitis|Myeloablative Chemotherapy Induced Bone Marrow Aplasia,Effectiveness and Safety of MMSCs for Enhancing Hematopoietic Recovery and Prophylaxis of Neutropenic Enterocolitis,Peripheral blood stem cell mobilisation and collection|High-dose chemotherapy|Bone marrow derived allogeneic MMSCs infusion|Autologous peripheral blood stem cells infusion,Effectiveness and Safety of Intravenous Infusion of Bone Marrow Derived Allogeneic Multipotent Mesenchymal Stromal Cells for Enhancing Hematopoietic Recovery and Prophylaxis of Neutropenic Enterocolitis in Hematological Patients With Aplasia After High-dose Chemotherapy.,Moscow,,Russian Federation,May 2014
117,118,NCT01290367,Degenerative Disc Disease,Safety and Preliminary Efficacy Study of Mesenchymal Precursor Cells (MPCs) in Subjects With Lumbar Back Pain,Single Dose MPCs Injection|Single injection of saline solution|Single injection of hyaluronic acid|Single Dose MPCs Injection,"A Prospective, Double Blind, Controlled Study Evaluating Safety and Preliminary Efficacy of a Single Injection of Adult Mesenchymal Precursor Cells (MPCs) Combined With Hyaluronan in Subjects With Chronic Discogenic Lumbar Back Pain",Scottsdale|Sacramento|Santa Monica|Walnut Creek|Denver|Loveland|Atlanta|Charlotte|Austin|Richmond|Richmond|Edmonds|Charleston|Clayton,Arizona|California|California|California|Colorado|Colorado|Georgia|North Carolina|Texas|Texas|Virginia|Washington|West Virginia|Victoria,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia,August 2011
118,119,NCT01775774,Acute Respiratory Distress Syndrome,Human Mesenchymal Stem Cells For Acute Respiratory Distress Syndrome,Allogeneic Bone Marrow-Derived Human Mesenchymal Stem Cells,A Phase 1 Multi-center Clinical Trial of Allogeneic Bone Marrow-derived Human Mesenchymal Stem Cells for the Treatment of Acute Respiratory Distress Syndrome,San Francisco|Stanford|Boston|Pittsburgh,California|California|Massachusetts|Pennsylvania,United States|United States|United States|United States,July 2013
119,120,NCT01956903,Chronic Graft-Versus-Host Disease,Treatment of Refractory Acute Graft-Versus-Host Disease by Sequential Infusion of Allogenic Mesenchymal Stem Cell.,Allogenic Mesenchymal Stem Cell,Phase 1/2 Study of Treatment of Refractory Acute Graft-Versus-Host Disease After First Line Therapy by Sequential Infusion of Expanded In-Vitro Allogenic Mesenchymal Stem Cell,Madrid,,Spain,January 2010
120,121,NCT04073472,"Crohn's Disease|Fistula|Anal Fistula|Pouch, Ileal|Pouches, Ileoanal",Mesenchymal Stem Cells for the Treatment of Pouch Fistulas in Crohn's,mesenchymal stem cells (MSCs),A Phase I Study of Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Ileal Anal Anastomosis and Ileal Pouch Fistulas in the Setting of Crohn's Disease of the Pouch,,,,"June 1, 2021"
121,122,NCT02824653,Graft Versus Host Disease,Allogenic Bone Marrow Mesenchymal Stem Cells Infusion in Patients With Steroid-refractory GVHD,Mesenchymal Stem Cells,Allogenic Bone Marrow Mesenchymal Stem Cells Infusion in Patients With Steroid-refractory GVHD- A Phase I/II Clinical Trial,Rawalpindi,Punjab,Pakistan,January 2015
122,123,NCT01983709,Prostate Cancer,Allogeneic Human Bone Marrow Derived Mesenchymal Stem Cells in Localized Prostate Cancer,Allogeneic Human Mesenchymal Stem Cells,A Phase 1 Study of Allogeneic Human Bone Marrow Derived Mesenchymal Stem Cells in Localized Prostate Cancer,Baltimore,Maryland,United States,October 2013
123,124,NCT05522569,"Acute Ischemic Stroke|Mesenchymal Stem Cells|Stroke, Acute|Stroke/Brain Attack|Stroke, Ischemic",Expanded Access Multi-Patient Experimental Treatment Involving Allogeneic Human Mesenchymal Stem Cells (hMSCs) in Subjects With Acute Ischemic Stroke (EXPAND),Allogeneic human mesenchymal stem cells (Allo-hMSCs),Expanded Access Multi-Patient Experimental Treatment Involving Allogeneic Human Mesenchymal Stem Cells (Allo-hMSCs) in Subjects With Acute Ischemic Stroke (EXPAND),Miami,Florida,United States,
124,125,NCT02675556,Treatment Resistant Depression,Allogeneic Human Mesenchymal Stem Cells (hMSCs) Infusion in Patients With Treatment Resistant Depression,Allo-hMSCs|Placebo,"A Phase I, Prospective, Randomized, Double-Blind, Placebo-Controlled Trial to Evaluate the Safety and Potential Efficacy of Allogeneic Human Mesenchymal Stem Cell Infusion Versus Placebo in Patients With Treatment Resistant Depression.",Miami,Florida,United States,"October 31, 2017"
125,126,NCT02672267,Myocardial Infarction,A Study of Allogeneic Low Oxygen Mesenchymal Bone Marrow Cells in Subjects With Myocardial Infarction,Stem cells|Placebo,"A Phase III, Double-blinded, Single Center, Randomized, Placebo Controlled Study to Assess the Safety, Tolerability, and Preliminary Efficacy of Single Intravenous Dose of Allogeneic Ischemia Tolerant Human Mesenchymal Bone Marrow Cells to Subjects With Acute Myocardial Infarction",Astana,,Kazakhstan,July 2014
126,127,NCT03929120,Interstitial Lung Disease|Connective Tissue Diseases,Allogeneic Bone Marrow Mesenchymal Stem Cells for Patients With Interstitial Lung Disease (ILD) & Connective Tissue Disorders (CTD),Allogeneic Bone Marrow Derived Mesenchymal Stem Cells (BMD-MSCs),A Phase I Study to Evaluate the Safety of Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for Interstitial Lung Disease in Patients With Connective Tissue Disorders,Jacksonville,Florida,United States,"November 5, 2019"
127,128,NCT02731586,Edentulous Alveolar Ridge,Effect on Allogenic Mesenchymal Stem Cells on Osseointegration of Dental Implants,Allogenic Mesenchymal stem cells,"Comparative Clinical Evaluation of Osseointegration of Dental Implants Placed With and Without, the Use of Dental Pulp-derived Allogenic Mesenchymal Stem Cells.",Vikarabad,Telangana State,India,January 2016
128,129,NCT02097641,"Respiratory Distress Syndrome, Adult",Human Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome (START),Allogeneic Bone Marrow-Derived Human Mesenchymal Stromal Cells|Plasma-Lyte A,"Prospective, Randomized, Multi-center Phase 2 Clinical Trial of Allogeneic Bone Marrow-derived Human Mesenchymal Stromal Cells (hMSCs) for the Treatment of Acute Respiratory Distress Syndrome (ARDS)",San Francisco|Stanford|Boston|Saint Paul|Columbus|Pittsburgh,California|California|Massachusetts|Minnesota|Ohio|Pennsylvania,United States|United States|United States|United States|United States|United States,"March 15, 2014"
129,130,NCT04519671,Perianal Crohn Disease|Perianal Fistula|Crohn Disease,Mesenchymal Stem Cells for the Treatment of Perianal Fistulizing Crohn's Disease,Mesenchymal Stem Cells|Placebo,A Phase IB/IIA Study of Adult Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Perianal Fistulizing Crohn's Disease,Cleveland,Ohio,United States,"November 19, 2020"
130,131,NCT02763423,"Ketoacidosis, Diabetic",Allogeneic Umbilical Cord Mesenchymal Stem Cell Transplantation for Type 1 Diabetes With Diabetic Ketoacidosis,umbilical cord mesenchymal stem cell,The Efficacy of Allogeneic Umbilical Cord Mesenchymal Stem Cell Transplantation to Treat New-onset Type 1 Diabetes With Diabetic Ketoacidosis,Nanjing,Jiangsu,China,January 2009
131,132,NCT01763086,"Stem Cell Transplantation, Hematopoietic|Mesenchymal Stem Cells|Poor Graft Function|Hematological Diseases",Mesenchymal Stem Cells for Treatment of Poor Graft Function After Allogeneic Hematopoietic Stem Cell Transplant,Mesenchymal stem cells,Mesenchymal Stem Cells From Third-party Donors for Treatment of Poor Graft Function After Allogeneic Hematopoietic Stem Cell Transplantation,Guangzhou,Guangdong,China,January 2013
132,133,NCT04791878,Perianal Fistula Due to Crohn's Disease (Disorder),Study of Mesenchymal Stem Cells for Pediatric Perianal Fistulizing Crohn's Disease,Mesenchymal stem cells,A Phase I Study of Adult Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for Pediatric Perianal Fistulizing Crohn's Disease,Cleveland,Ohio,United States,"April 1, 2021"
133,134,NCT01856140,Lateral Epicondylitis,Treatment of Tendon Injury Using Mesenchymal Stem Cells,ALLO-ASC(allogeneic adipose derived mesenchymal stem cell) injection,Treatment of Tendon Injury Using Allogenic Adipose-derived Mesenchymal Stem Cells(ALLO-ASC):A Pilot Study,Seoul,,"Korea, Republic of",May 2013
134,135,NCT02611167,Parkinson's Disease,Allogeneic Bone Marrow-Derived Mesenchymal Stem Cell Therapy for Idiopathic Parkinson's Disease,Allogeneic bone marrow-derived MSCs (1 x 10 6 MSC/kg)|Allogeneic bone marrow-derived MSCs (3 x 10 6 MSC/kg)|Allogeneic bone marrow-derived MSCs (6 x 10 6 MSC/kg)|Allogeneic bone marrow-derived MSCs (10 x 10 6 MSC/kg),Pilot Phase I Study of Allogeneic Bone Marrow-Derived Mesenchymal Stem Cell Therapy for Idiopathic Parkinson's Disease,Houston,Texas,United States,"November 1, 2017"
135,136,NCT04388761,Ischemia Reperfusion Injury,Feasibility and Safety of Allogeneic Adipose Mesenchymal Stem Cells (aMSCs) Delivery Into Kidney Allografts Procured From Deceased Donors With High Kidney Donor Profile Index (KDPI),Allogeneic adipose derived mesenchymal stem cells,Feasibility and Safety of Allogeneic Adipose Mesenchymal Stem Cells (aMSCs) Delivery Into Kidney Allografts Procured From Deceased Donors With High Kidney Donor Profile Index (KDPI),Jacksonville,Florida,United States,"September 28, 2020"
136,137,NCT01586312,"Osteoarthritis, Knee|Arthritis of Knee|Knee Osteoarthritis",Treatment of Knee Osteoarthritis With Allogenic Mesenchymal Stem Cells,Allogenic mesenchymal stromal cells injection|Hyaluronic Acid,Treatment of Knee Osteoarthritis With Allogenic Mesenchymal Stem Cells (MSV*) *MSV: Mesenchymal Stromal Cells From Valladolid,Barcelona|Valladolid,,Spain|Spain,April 2012
137,138,NCT04519697,Rectovaginal Fistula|Crohn Disease|Crohn Disease of Vulva|Rectolabial; Fistula,Mesenchymal Stem Cells for the Treatment of Rectovaginal Fistulas in Participants With Crohn's Disease,Mesenchymal Stem Cells|Placebo,A Phase IB/IIA Study of Adult Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Rectovaginal Fistulas in the Setting of Crohn's Disease.,Cleveland,Ohio,United States,"October 28, 2020"
138,139,NCT01914887,Ulcerative Colitis,Allogeneic Adipose Tissue-derived Mesenchymal Stem Cells for the Induction of Remission in Ulcerative Colitis,Allogeneic adipose tissue-derived mesenchymal stem cells,A Phase I/IIa Clinical Trial to Evaluate Safety and Efficacy of Adipose Tissue-derived Mesenchymal Stem Cells (ASC) on Induction to Remission in Ulcerative Colitis,Madrid,,Spain,June 2013
139,140,NCT05039411,Perianal Fistula Due to Crohn's Disease|Fistula in Ano,Safety of Allogeneic Human Umbilical Cord Mesenchymal Stem Cells (UC-MSCs) to Treat Perianal Fistulas Patients With Crohn's Disease,Human umbilical cord mesenchymal stem cells (UC-MSCs),A Phase I Study of the Safety of Allogeneic Human Umbilical Cord Mesenchymal Stem Cells (UC-MSCs) for Perianal Fistulas in Patients With Crohn's Disease,Kuala Lumpur,,Malaysia,"March 1, 2022"
140,141,NCT04382547,"COVID|Covid-19|Coronavirus|Pneumonia|Pneumonia, Viral|Pneumonia, Interstitial|Sars-CoV2",Treatment of Covid-19 Associated Pneumonia With Allogenic Pooled Olfactory Mucosa-derived Mesenchymal Stem Cells,Allogenic pooled olfactory mucosa-derived mesenchymal stem cells|Standard treatment according to the Clinical protocols,Treatment of Covid-19 Associated Pneumonia With Allogenic Pooled Olfactory Mucosa-derived Mesenchymal Stem Cells,Minsk,,Belarus,"May 11, 2020"
141,142,NCT04519684,Ileal Pouch|Crohn Disease,Study of Mesenchymal Stem Cells for the Treatment of Ileal Pouch Fistula's in Participants With Crohn's Disease,Mesenchymal stem cells|Placebo,A Phase IB/IIA Study of Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Ileal Anal Anastomosis and Ileal Pouch Fistulas in the Setting of Crohn's Disease of the Pouch,Cleveland,Ohio,United States,"October 28, 2020"
142,143,NCT02857010,Acute on Chronic Hepatic Failure,Allogenic Bone Marrow Mesenchymal Stem Cell Therapy in Acute-on-chronic Liver Failure,Allogenic mesenchymal stem cells|Placebo,Therapeutic Effects of Allogenic Mesenchymal Stem Cells in Cirrhotic Patients With Acute-on-chronic Liver Failure. A Double-blind Randomized Placebo-controlled Trial,Barcelona,,Spain,February 2016
143,144,NCT01860417,Degenerative Disc Disease|Intervertebral Disc Disease|Low Back Pain,Treatment of Degenerative Disc Disease With Allogenic Mesenchymal Stem Cells (MSV),Allogenic Mesenchymal Stromal Cells|Mepivacaine,Treatment of Lumbar Degenerative Disc Disease With Allogenic Mesenchymal Stem Cells (MSV*) *MSV: Bone Marrow Mesenchymal Stromal Cells Expanded Using the Valladolid IBGM Procedure,Valladolid|Valladolid,,Spain|Spain,April 2013
144,145,NCT03265808,Major Depressive Disorder|Alcohol Use Disorder,Allogeneic HUman Mesenchymal Stem Cell InfusioN Versus Placebo in Subjects With Alcohol Use Disorder and Major DepreSsion.,allogeneic human mesenchymal stem cells (allo-hMSCs)|Placebo,"A Phase I/II, Prospective, Randomized, Double-Blind, PlAcebo-ControLled Trial to EvAluate the Potential Efficacy of Allogeneic HUman Mesenchymal Stem Cell InfusioN Versus Placebo in Subjects With Alcohol Use Disorder and Major DepreSsion.",Harlingen,Texas,United States,"March 18, 2018"
145,146,NCT04520022,Recessive Dystrophic Epidermolysis Bullosa,Safety and Effectiveness Study of Allogeneic Umbilical Cord Blood-derived Mesenchymal Stem Cell in Patients With RDEB,Human Umbilical Cord Blood-derived Mesenchymal Stem Cells,"Single Center, Single Group Assignment, Open Label Trial to Assess Safety and Effectiveness of Intravenous Allogeneic Umbilical Cord Blood-derived Mesenchymal Stem Cell in Patients With Recessive Dystrophic Epidermolysis Bullosa",Seoul,,"Korea, Republic of","October 13, 2016"
146,147,NCT02412735,Degenerative Disc Disease,Placebo-controlled Study to Evaluate Rexlemestrocel-L Alone or Combined With Hyaluronic Acid in Participants With Chronic Low Back Pain,Rexlemestrocel-L|Rexlemestrocel-L + HA Mixture|Placebo,"A Prospective, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of a Single Injection of Rexlemestrocel-L Alone or Combined With Hyaluronic Acid (HA) in Subjects With Chronic Low Back Pain",Birmingham|Huntsville|Scottsdale|Tempe|El Cajon|Long Beach|Newport Beach|Pasadena|Sacramento|Santa Monica|Santa Monica|Santa Rosa|Walnut Creek|Greenwood Village|Washington|Fernandina Beach|Fort Lauderdale|Oakland Park|Atlanta|Marietta|Boise|Bloomington|Edgewood|Shreveport|Rochester|Shakopee|Las Vegas|Somerset|New York|Rochester|Charlotte|Morrisville|Winston-Salem|Cleveland|Dayton|Edmond|York|Providence|Charleston|Charleston|Plano|Southlake|Tyler|Bountiful|Draper|Saint George|Richmond|Clayton,Alabama|Alabama|Arizona|Arizona|California|California|California|California|California|California|California|California|California|Colorado|District of Columbia|Florida|Florida|Florida|Georgia|Georgia|Idaho|Illinois|Kentucky|Louisiana|Minnesota|Minnesota|Nevada|New Jersey|New York|New York|North Carolina|North Carolina|North Carolina|Ohio|Ohio|Oklahoma|Pennsylvania|Rhode Island|South Carolina|South Carolina|Texas|Texas|Texas|Utah|Utah|Utah|Virginia|Victoria,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia,"March 6, 2015"
147,148,NCT03795974,"Cerebral Palsy, Spastic",Efficacy of Allogeneic Umbilical Cord Derived Hematopoietic and Mesenchymal Stem Cells in Cerebral Palsy,MNC|MSC|Control,"Evaluation of the Efficacy of Allogeneic Umbilical Cord Derived Hematopoietic Stem Cells and Mesenchymal Stromal Cells in Patients With Spastic Cerebral Palsy on Developmental Function , A Clinical Trial phase2",Tehran|Tehran|Tehran|Tehran,,"Iran, Islamic Republic of|Iran, Islamic Republic of|Iran, Islamic Republic of|Iran, Islamic Republic of","July 23, 2017"
148,149,NCT04615455,"Keratoconjunctivitis Sicca, in Sjogren's Syndrome",Mesenchymal Stem Cell Therapy of Dry Eye Disease in Patients With Sjögren's Syndrome,ASCs|Cryostor CS10,A Randomized Clinical Trial Evaluating Allogeneic Adipose-derived MesenchymAl Stem Cells as a Treatment of Dry Eye Disease in Patients With Sjögren's Syndrome,Copenhagen,DK,Denmark,"November 3, 2020"
149,150,NCT03878628,Dry Eye|Kerato Conjunctivitis Sicca|Aqueous Tear Deficiency,Treatment With Allogeneic Adipose-derived Mesenchymal Stem Cells in Patients With Aqueous Deficient Dry Eye Disease,Adipose tissue-derived mesenchymal stem cells,Treatment With Allogeneic Adipose-derived Mesenchymal Stem Cells in Patients With Aqueous Deficient Dry Eye Disease,Copenhagen,DK,Denmark,"October 16, 2019"
150,151,NCT01322906,Liver Failure,Allogeneic Bone Marrow Mesenchymal Stem Cells Transplantation in Patients With Liver Failure Caused by Hepatitis B Virus (HBV),Group 1|Group 2|Group 3,Allogeneic Bone Marrow Mesenchymal Stem Cells Transplantation in Patients With Liver Failure Caused by HBV,,,,March 2011
151,152,NCT05017298,Corona Virus Infection|Covid19,Clinical Study for Subjects With COVID-19 Using Allogeneic Adipose Tissue-Derived Mesenchymal Stem Cells,Allogeneic adipose-derived stem cells,Clinical Study for Subjects With Coronavirus 2019 (COVID-19) Using Multiple Dose Intravenous Infusions of Allogeneic Adipose Tissue-Derived Mesenchymal Stem Cells (AdMSCs),,,,"November 1, 2022"
152,153,NCT04318600,Lupus Nephritis|Mesenchymal Stem Cells,Allogeneic Amniotic Mesenchymal Stem Cell Therapy for Lupus Nephritis,human amniotic mesenchymal stem cell,Allogeneic Amniotic Mesenchymal Stem Cell Therapy for Lupus Nephritis,,,,"January 1, 2014"
153,154,NCT02065245,Frailty,AllogeneiC Human Mesenchymal Stem Cells (hMSC) in Patients With Aging FRAilTy Via IntravenoUS Delivery,Allogeneic Human Mesenchymal Stem Cells (allo-hMSCs)|Placebo|Penicillin/Streptomycin-Free Allogeneic Human Mesenchymal Stem Cells (allo-hMSCs),"A Phase I/II, Randomized, Blinded and Placebo-controlled Trial to Evaluate the Safety and Potential Efficacy of Allogeneic Human Mesenchymal Stem Cell Infusion in Patients With Aging Frailty",Miami,Florida,United States,"March 3, 2014"
154,155,NCT02298023,Rotator Cuff Tear,Treatment of Tendon Injury Using Allogenic Adipose-derived Mesenchymal Stem Cells (Rotator Cuff Tear),allogenic adipose stem cell injection|fibrin glue/normal saline injection|normal saline injection,Treatment of Tendon Injury Using Allogenic Adipose-derived Mesenchymal Stem Cells: Phase II Double-Blind Placebo-Controlled Randomized Clinical Trials.,Seoul,,"Korea, Republic of",September 2014
155,156,NCT02215811,"Acute Respiratory Distress Syndrome, Adult",Treatment of Severe Acute Respiratory Distress Syndrome With Allogeneic Bone Marrow-derived Mesenchymal Stromal Cells,Mesenchymal stromal cells,Treatment of Severe Acute Respiratory Distress Syndrome With Allogeneic Bone Marrow-derived Mesenchymal Stromal Cells,Stockholm|Uppsala,,Sweden|Sweden,March 2014
156,157,NCT05152290,Spinal Cord Injuries,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for SCI,AlloRx,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for the Treatment of Spinal Cord Injury,St. John's,,Antigua and Barbuda,January 2022
157,158,NCT02641860,Osteoarthritis,Clinical Trial of Allogenic Adipose Tissue-Derived Mesenchymal Progenitor Cells Therapy for Knee Osteoarthritis,Mesenchymal progenitor cells,"A Phase I, Randomized, Single-centered, Double-blinded Clinical Trial of Allogenic Adipose Tissue-Derived Mesenchymal Progenitor Cells Therapy for Knee Osteoarthritis",Shanghai,Shanghai,China,December 2015
158,159,NCT02013700,Idiopathic Pulmonary Fibrosis (IPF),Allogeneic Human Cells (hMSC)in Patients With Idiopathic Pulmonary Fibrosis Via Intravenous Delivery (AETHER),Allogeneic Adult Human Mesenchymal Stem Cells (hMSCs)|matched placebo,"A Phase I, Randomized, Blinded and Placebo-controlled Trial to Evaluate the Safety, Tolerability, and Potential Efficacy of Allogeneic Human Mesenchymal Stem Cell Infusion in Patients With Idiopathic Pulmonary Fibrosis",Miami,Florida,United States,"November 13, 2013"
159,160,NCT05147675,Osteoarthritis|Spinal Arthritis,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for OA,AlloRx,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for the Treatment of Osteoarthritis,St. John's,,Antigua and Barbuda,December 2021
160,161,NCT05158127,Skin Ulcer,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Skin Ulcer,AlloRx,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for the Treatment of Skin Ulcer,St. John's,,Antigua and Barbuda,January 2022
161,162,NCT05147701,Eye Diseases|Retinitis Pigmentosa|Glaucoma|Diabetic Retinopathy|Macular Degeneration|Traumatic Optic Neuropathy|Optic Atrophy,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Eye Diseases,AlloRx,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for the Treatment of Eye Diseases,St. John's,,Antigua and Barbuda,January 2022
162,163,NCT05018858,Lupus,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Lupus,AlloRx,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for the Treatment of Lupus,St. John's,,Antigua and Barbuda,February 2022
163,164,NCT05158933,Ovarian Failure,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Ovarian Failure,AlloRx,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for the Treatment of Ovarian Failure,St. John's,,Antigua and Barbuda,January 2022
164,165,NCT05158101,Stroke,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Stroke,AlloRx,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for the Treatment of Stroke,St. John's,,Antigua and Barbuda,February 2022
165,166,NCT05003960,Autism,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Autism,AlloRx,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for the Treatment of Autism,St. John's,,Antigua and Barbuda,February 2022
