,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
298,299,NCT01547091,Rheumatoid Arthritis,Safety and Efficacy Study of Umbilical Cord-Derived Mesenchymal Stem Cells for Rheumatoid Arthritis,Umbilical Cord-Derived Mesenchymal Stem Cells (UC-MSCs)|Rheumatoid Arthritis With Disease-Modifying Drugs (DMARDs)|UC-MSC+DMARDS,Clinical Trial of Umbilical Cord-Derived Mesenchymal Stem Cells Transplantation for Rheumatoid Arthritis-Phase I/II,Xi'an,Shaanxi,China,April 2013
299,300,NCT02068794,Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Adenocarcinoma|Fallopian Tube Mucinous Adenocarcinoma|Fallopian Tube Serous Adenocarcinoma|Fallopian Tube Transitional Cell Carcinoma|Fallopian Tube Undifferentiated Carcinoma|Malignant Ovarian Brenner Tumor|Ovarian Clear Cell Adenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Adenocarcinoma|Ovarian Seromucinous Carcinoma|Ovarian Serous Adenocarcinoma|Ovarian Transitional Cell Carcinoma|Ovarian Undifferentiated Carcinoma|Primary Peritoneal Serous Adenocarcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma,"MV-NIS Infected Mesenchymal Stem Cells in Treating Patients With Recurrent Ovarian, Primary Peritoneal or Fallopian Tube Cancer",Laboratory Biomarker Analysis|Mesenchymal Stem Cell Transplantation|Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter,Phase I/II Trial of Intraperitoneal Administration of Adipose Tissue Derived Mesenchymal Stem Cells Infected With a NIS-Expressing Derivative Manufactured From a Genetically Engineered Strain of Measles Virus in Patients With Recurrent Ovarian Cancer,Rochester,Minnesota,United States,"March 31, 2014"
300,301,NCT04429763,COVID-19,Safety and Efficacy of Mesenchymal Stem Cells in the Management of Severe COVID-19 Pneumonia,Umbilical cord derived mesenchymal stem cells|Placebo,Safety and Efficacy of Mesenchymal Stem Cells in the Management of Severe COVID-19,,,,July 2020
301,302,NCT00476060,Cirrhosis,Mesenchymal Stem Cell Transplantation in Decompensated Cirrhosis,Autologous mesenchymal stem cell transplantation,Autologous Mesenchymal Stem Cell Transplantation in Patients With Decompensated Cirrhosis: A Randomized Placebo-controlled Trial,Tehran,,"Iran, Islamic Republic of",January 2007
302,303,NCT03800810,"Osteoarthritis, Knee",Implantation of Allogenic Mesenchymal Stem Cell From Umbilical Cord Blood for Osteoarthritis Management,Hyaluronic Acid|Umbilical Cord Mesenchymal Stem Cell|Recombinant Human Somatropin,Potency of Allogenic Umbilical Cord Mesenchymal Stem Cells for Osteoarthritis Management,Jakarta Pusat,Jakarta,Indonesia,May 2015
303,304,NCT05008588,Ischemic Stroke,Combination of Conditioned Medium and Umbilical Cord-Mesenchymal Stem Cells Therapy for Acute Stroke Infarct,Conditioned Medium|Umbilical Cord Mesenchymal Stem Cells|Neurologic and Neutrophic Drugs,Safety and Efficacy of Combined Conditioned Medium With Umbilical Cord Mesenchymal Stem Cells as A Novel Strategy for Acute Stroke Infarct,Jakarta Pusat|Jakarta,DKI Jakarta,Indonesia|Indonesia,"May 30, 2022"
304,305,NCT03173638,Non Arteritic Ischemic Optic Neuropathy,Safety Assessment of Intravitreal Mesenchymal Stem Cells for Acute Non Arteritic Anterior Ischemic Optic Neuropathy,intravitreal injection of MSV,Phase II Safety Assessment of Intravitreal Injection of Mesenchymal Stem Cells for Acute Non Arteritic Anterior Ischemic Optic Neuropathy (NAION),Valladolid,,Spain,"March 23, 2018"
305,306,NCT02625246,Bronchiectasis,Safety and Potential Efficacy of Human Mesenchymal Stem Cells in Non-Cystic Fibrosis Bronchiectasis,hMSCs,"A Phase I, Trial to Evaluate the Safety, Tolerability, and Potential Efficacy of Allogeneic Human Mesenchymal Stem Cell (hMSC) Infusion in Patients With Non-Cystic Fibrosis Bronchiectasis",Miami,Florida,United States,"February 4, 2016"
306,307,NCT01540292,Crohn's Disease,Mesenchymal Stem Cell Therapy for the Treatment of Severe or Refractory Inflammatory and/or Autoimmune Disorders,Mesenchymal Stem Cells (MSC),Mesenchymal Stem Cell Therapy for the Treatment of Severe or Refractory Inflammatory and/or Autoimmune Disorders,Liège,,Belgium,"February 1, 2013"
307,308,NCT00420134,Liver Failure|Cirrhosis,Improvement of Liver Function in Liver Cirrhosis Patients After Autologous Mesenchymal Stem Cell Injection:a Phase I-II Clinical Trial,injection of progenitor of hepatocyte drived from Mesenchymal stem cell,A Phase One/Two Clinical Trial on the Use of Autograft Mesenchymal Stem Cells Differentiated Into Progenitor of Hepatocytes for the Salvage Treatment of Patients With End-stage Liver Disease,Tehran|Tehran,,"Iran, Islamic Republic of|Iran, Islamic Republic of",February 2006
308,309,NCT05329662,Sexual Dysfunction Female,Adipose Tissue-derived Mesenchymal Stem Cell (AD-MSC) Therapy for the Treatment of Sexual Function Impairment in Female,Autologous adipose-derived mesenchymal stem cell administration for female with sexual functional deficiency,Evaluation of Autologous Adipose Tissue-derived Mesenchymal Stem Cell Efficacy for the Treatment of Sexual Function Impairment in Female,Hanoi,,Vietnam,"November 1, 2022"
309,310,NCT04421274,Myocardial Infarction,Bone Marrow Mesenchymal Stem Cells Transfer in Patients With ST-segment Elevation Myocardial Infarction,Bone marrow mesenchymal stem cells transfer|Best medical treatment|Percutaneous coronary intervention,"Bone Marrow Mesenchymal Stem Cells Transfer in Patients With ST-segment Elevation Myocardial Infarction: Single-blind, Randomized Controlled Muticentre Trial",Mianyang,Sichuan,China,"May 1, 2008"
310,311,NCT01513694,Intervertebral Disc Disease,Clinical Trial Based on the Use of Mesenchymal Stem Cells From Autologous Bone Marrow in Patients With Lumbar Intervertebral Degenerative Disc Disease,Instrumented posterolateral arthrodesis,"Clinical Trial Phase I / II Prospective, Open, Non-randomized for Treatment of Lumbar Intervertebral Degenerative Disc Disease With Posterolateral Instrumented and Autologous Mesenchymal Stem Cells.",Salamanca,Castilla-León,Spain,January 2010
311,312,NCT01413035,Type 2 Diabetes,Safety and Efficacy Study of Umbilical Cord/Placenta-Derived Mesenchymal Stem Cells to Treat Type 2 Diabetes,MSC,Safety/Efficacy Assessed Study on Transplantation Therapy Using Human Umbilical Cord/Placenta-derived Mesenchymal Stem Cells for Type 2 Diabetes Mellitus,Jinan,Shandong,China,July 2011
312,313,NCT05362786,Chronic Kidney Diseases,Bone Marrow-Derived Mesenchymal Stem Cell Therapy for Chronic Kidney Disease,Allogeneic adipose-derived mesenchymal stem cells (MSC)|Allogeneic adipose-derived mesenchymal stem cells (MSC),Bone Marrow-Derived Mesenchymal Stem Cell Therapy for Chronic Kidney Disease,Jacksonville|Rochester,Florida|Minnesota,United States|United States,"July 1, 2022"
313,314,NCT02564328,Stroke,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Chronic Ischemic Stroke,Intravenous stem cell transplantation,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Chronic Ischemic Stroke,Guangzhou,Guangdong,China,November 2014
314,315,NCT01389661,Maxillary Cyst|Bone Loss of Substance,Treatment Of Maxillary Bone Cysts With Autologous Bone Mesenchymal Stem Cells (MSV-H),MSV treatment,Regeneration of Maxillary Bone Cystic Cavities by Bio Implant of MSHV-H Cells Associated to a Cross-linked Serum Scaffold,Valladolid|Malaga|Valladolid,Valladid,Spain|Spain|Spain,April 2011
315,316,NCT05284604,Frailty,Mesenchymal Stem Cells for Age-Related Frailty,Mesenchymal Stem Cells (MSCs),A Pilot Study of Mesenchymal Stem Cells as Novel Therapy for Age-Related Frailty in Veterans,Houston,Texas,United States,"October 15, 2022"
316,317,NCT01586312,"Osteoarthritis, Knee|Arthritis of Knee|Knee Osteoarthritis",Treatment of Knee Osteoarthritis With Allogenic Mesenchymal Stem Cells,Allogenic mesenchymal stromal cells injection|Hyaluronic Acid,Treatment of Knee Osteoarthritis With Allogenic Mesenchymal Stem Cells (MSV*) *MSV: Mesenchymal Stromal Cells From Valladolid,Barcelona|Valladolid,,Spain|Spain,April 2012
317,318,NCT01076920,Chronic Myocardial Ischemia|Left Ventricular Dysfunction,Mesenchymal Stem Cells and Myocardial Ischemia,Mesenchymal stem cells,Administration of Mesenchymal Stem Cells in Patients With Chronic Ischemic Cardiomyopathy,Toulouse,,France,October 2009
318,319,NCT01758055,Emphysema,Safety Study of Endobronchial Transplantation of Autologous Mesenchymal Stem Cells (MSCs) in Emphysema Patients,Autologous MSCs transplantation,Safety Study of Endobronchial Transplantation of Autologous Mesenchymal Stem Cells Derived Bone Marrow in Patients With Emphysema,Tehran,,"Iran, Islamic Republic of",December 2012
319,320,NCT02808208,End Stage Renal Disease (ESRD)|Vascular Access Complication,Autologous Adipose Derived Mesenchymal Stem Cells (AMSC) in Reducing Hemodialysis Arteriovenous Fistula Failure,Single Application of Adipose Derived Mesenchymal Stem Cells (AMSC)|Placebo|Two Applications of Adipose Derived Mesenchymal Stem Cells (AMSC),"A Phase I, Open Label, Randomized Study of Autologous Adipose Derived Mesenchymal Stem Cells (AMSC) in Reducing Hemodialysis Arteriovenous Fistula Failure",Rochester,Minnesota,United States,"June 7, 2017"
320,321,NCT02462330,Chronic Myocardial Ischemia,Administration of Mesenchymal Stem Cells in Patients With Chronic Ischemic Cardiomyopathy (MESAMI2),Autologous MSC from bone marrow|Placebo comparator,Effect of Intramyocardial Mesenchymal Stem Cells Injection in Patients With Chronic Ischemic Cardiomyopathy and Left Ventricular Dysfunction Guide by NogaStar XP System Catheter.,Créteil|Grenoble|Lille|Nantes|Paris|Toulouse,,France|France|France|France|France|France,"February 19, 2016"
321,322,NCT01374854,Type 1 Diabetes Mellitus,Umbilical Mesenchymal Stem Cells and Mononuclear Cells Infusion in Type 1 Diabetes Mellitus,Umbilical mesenchymal stem cell (UC-MSCs) infusion|traditional therapy,Umbilical Mesenchymal Stem Cells and Mononuclear Cells Infusion in Type 1 Diabetes Mellitus: A Randomized Controlled Open-label Study,Fuzhou,Fujian,China,January 2009
322,323,NCT04565665,COVID-19 Infection|COVID-19-Associated Acute Respiratory Distress Syndrome|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Symptomatic COVID-19 Infection Laboratory-Confirmed,Cord Blood-Derived Mesenchymal Stem Cells for the Treatment of COVID-19 Related Acute Respiratory Distress Syndrome,Best Practice|Mesenchymal Stem Cell,Study of Cord Blood Derived Mesenchymal Stem Cells for Treatment Acute Respiratory Distress Syndrome,Houston,Texas,United States,"July 29, 2020"
323,324,NCT04315987,COVID-19 Pneumonia,NestaCell® Mesenchymal Stem Cell to Treat Patients With Severe COVID-19 Pneumonia,NestaCell®|Placebo,Exploratory Clinical Study to Assess the Efficacy of NestaCell® Mesenchymal Stem Cell to Treat Patients With Severe COVID-19 Pneumonia,Campinas|São Paulo|São Paulo|São Paulo,São Paulo,Brazil|Brazil|Brazil|Brazil,June 2020
324,325,NCT01218464,Liver Failure|Mesenchymal Stem Cells,Safety and Efficacy of Human Mesenchymal Stem Cells for Treatment of Liver Failure,Conventional plus MSC treatment|Conventional plus pacebo treatment,Phase Ⅰ/Ⅱ Study of Human Umbilical Cord Derived Mesenchymal Stem Cells (UC-MSCs) for Treatment of Liver Failure,Beijing,Beijing,China,March 2009
325,326,NCT01643681,Lumbar Intervertebral Disc Degeneration,Autologous Adipose Tissue Derived Mesenchymal Stem Cells Transplantation in Patient With Lumbar Intervertebral Disc Degeneration,Autologous Adipose Tissue derived MSCs Transplantation,Safety and Efficacy of Autologous Adipose Tissue Derived Mesenchymal Stem Cells Transplantation in Patient With Lumbar Intervertebral Disc Degeneration,Seoul,,"Korea, Republic of",July 2012
326,327,NCT02223897,Ischemic-type Biliary Lesions,Mesenchymal Stem Cells Transplantation for Ischemic-type Biliary Lesions,huc-MSCs|Placebo,Umbilical Cord Mesenchymal Stem Cells Transplantation for Treatment of Patients With Ischemic-type Biliary Lesions After Liver Transplantation,Guangzhou,Guangdong,China,July 2014
327,328,NCT01142856,Amyotrophic Lateral Sclerosis,Mesenchymal Stem Cells for Treatment of Amyotrophic Lateral Sclerosis (ALS),autologous mesenchymal stem cells,A Single Patient Treatment Protocol for Autologous Mesenchymal Stem Cell Intraspinal Therapy in Amyotrophic Lateral Sclerosis (ALS),Rochester,Minnesota,United States,June 2010
328,329,NCT04228666,Alzheimer Disease,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy (HB-adMSCs) for the Treatment of Alzheimer's Disease,HB-adMSCs,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy (HB-adMSCs) for the Treatment of Alzheimer's Disease,Houston,Texas,United States,"March 1, 2020"
329,330,NCT05308836,Type 1 Diabetes,Evaluate Safety of Adipose Derived Mesenchymal Stem Cell Transplantation for Type 1 Diabetes Treatment,adipose-derived messenchymal stem cell,Phase I Open Label Clinical Trial to Evaluate Safety of Adipose Derived Mesenchymal Stem Cell Transplantation for Type 1 Diabetes Treatment,Hanoi,,Vietnam,"October 4, 2021"
330,331,NCT04280003,Ischemic Stroke|Adipose Tissue-derived Stem Cell|Functional Status,Allogeneic Adipose Tissue-derived Mesenchymal Stem Cells in Ischemic Stroke,Alogenic adipose tissue-derived stem cells|Placebo solution,Allogeneic Adipose Tissue-derived Mesenchymal Stem Cells in Ischemic Stroke. A Phase IIB Multicenter Double Blind Placebo Controlled Clinical Trial,Madrid,,Spain,"January 20, 2021"
331,332,NCT04314661,"Osteoarthritis, Knee",Mesenchymal Stem Cell Therapy (MSCs) and Conditioned Medium Therapy for Osteoartrithis,Arthroscopy with Mesenchymal Stem Cells + Secretome + Secretome|Arthroscopy with Secretome + Mesenchymal Stem Cells + Secretome|Non Arthroscopy with Mesenchymal Stem Cells + Secretome + Secretome|Non Arthroscopy with Secretome + Mesenchymal Stem Cells + Secretome,Innovative Osteoarthritis Therapy Using Combination of Mesenchymal Stem Cell (MSC) and Conditioned Medium (CM): A Comparative Study on Arthroscopy and Non-Arthroscopy,Jakarta Pusat,DKI Jakarta,Indonesia,"August 3, 2020"
332,333,NCT04093336,"Infarction, Middle Cerebral Artery|Infarction, Anterior Cerebral Artery|Cerebral Infarction|Stroke, Ischemic|Acute Stroke|Brain Infarction|Infarction, PCA|Infarction, Posterior Circulation, Brain",Effect of Mesenchymal Stem Cells(MSCs) Transplantation for Acute Cerebral Infarction Patients,human umbilical cord mesenchymal stem cells|Placebo|standardized treatment,Effect of Human Umbilical Cord Mesenchymal Stem Cells(MSCs) Transplantation for on Prognosis of Acute Cerebral Infarction Patients,Shanghai,Shanghai,China,"January 13, 2019"
333,334,NCT04506073,Parkinson's Disease,Phase IIa Randomized Placebo Controlled Trial: Mesenchymal Stem Cells as a Disease-modifying Therapy for iPD,MSC+placebo|MSC|Placebo,"A Randomized, Double-blind, Placebo-controlled Trial of Allogeneic Bone Marrow-derived Mesenchymal Stem Cells as a Disease-modifying Therapy for Idiopathic Parkinson's Disease",Houston,Texas,United States,"November 9, 2020"
334,335,NCT04235868,Mesenchymal Stem Cell-derived Bioactivator for Treating Chronic Wounds,Mesenchymal Stem Cell-derived Pleiotropic Factor in Treating Non-healing Wounds,Stem cell-derived derived pleiotropic factor|fibroblast growth factor,Clinical Trial of Mesenchymal Stem Cell-derived Pleiotropic Factor in Treating Non-healing Wounds,Beijing,,China,"October 20, 2019"
335,336,NCT01759797,Amyotrophic Lateral Sclerosis,Intravenous Transplantation of Mesenchymal Stem Cell in Patients With ALS,intra venous injection of stem cell,Safety of Intravenous Transplantation of Bone Marrow Derived Mesenchymal Stem Cell in Patients With ALS,Tehran,,"Iran, Islamic Republic of",January 2013
336,337,NCT01714167,Stroke,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Chronic Stroke,intracerebral stem cell transplantation,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Treatment of Chronic Stroke,Wenzhou,Zhejiang,China,June 2012
337,338,NCT02192749,Autism,Allogeneic Umbilical Cord Mesenchymal Stem Cell Therapy for Autism,Umbilical cord mesenchymal stem cells,"Open, Prospective Trial of Treatment of Autism Spectrum Disorders (ASD) Using Intravenous Infusion of Umbilical Cord Tissue Mesenchymal Stem Cells (UC-MSC)",Panama City,,Panama,July 2014
338,339,NCT00395200,Multiple Sclerosis,Mesenchymal Stem Cells in Multiple Sclerosis (MSCIMS),MSC Treatment,Autologous Adult Human Mesenchymal Stem Cells: a Neuroprotective Therapy for Multiple Sclerosis,Cambridge|London,Cambridgeshire,United Kingdom|United Kingdom,July 2008
339,340,NCT02544802,Osteoarthritis Knee,Mesenchymal Stem Cell Treatment for Primary Osteoarthritis Knee,Adipose-Derived Mesenchymal Stem Cells,Treatment of Primary Osteoarthritis of the Knee Joint With Autologous Mesenchymal Stem Cells,Taipei,,Taiwan,June 2015
340,341,NCT02941666,Osteonecrosis,Human Mesenchymal Stem Cells in the Synovial Fluid of the Hip,,Human Mesenchymal Stem Cells in the Synovial Fluid of the Hip in Patients With Osteonecrosis of the Femoral Head,Rochester,Minnesota,United States,September 2016
341,342,NCT01771640,Amyotrophic Lateral Sclerosis,Intrathecal Transplantation of Mesenchymal Stem Cell in Patients With ALS,intrathecal injection,Intrathecal Transplantation of Autologous Bone Marrow Derived Mesenchymal Stem Cell in Patients With ALS,Tehran,,"Iran, Islamic Republic of",August 2013
342,343,NCT01985464,Rheumatoid Arthritis,Umbilical Cord Tissue-derived Mesenchymal Stem Cells for Rheumatoid Arthritis,Umbilical cord mesenchymal stem cells,Feasibility Study of Umbilical Cord Tissue Derived Mesenchymal Stem Cells (UC-MSC) in Disease Modifying Anti-Rheumatic Drugs (DMARD) Resistant Rheumatoid Arthritis,Panama City,,Panama,October 2013
343,344,NCT01429038,Liver Failure|Kidney Failure,Mesenchymal Stem Cells After Renal or Liver Transplantation,Mesenchymal Stem Cells,"Infusion of Third-party Mesenchymal Stem Cells After Renal or Liver Transplantation. A Phase I-II, Open-label, Clinical Study",Liege,,Belgium,"February 1, 2012"
344,345,NCT04433104,COPD,Umbilical Cord Mesenchymal Stem Cells Transplantation in the Treatment of Chronic Obstructive Pulmonary Disease,Umbilical Cord Mesenchymal Stem Cells transplantation|drug therapy according to Vietnamese MOHS procedure,"Allogeneic Human Umbilical Cord-derived Mesenchymal Stem/Stromal Cells for Chronic Obstructive Pulmonary Disease (COPD): Study Protocol for a Matched Case-control, Phase I/II Trial",Hà Nội,Hanoi,Vietnam,"June 9, 2020"
345,346,NCT02034188,Multiple Sclerosis,Feasibility Study of Human Umbilical Cord Tissue-Derived Mesenchymal Stem Cells in Patients With Multiple Sclerosis,Umbilical cord mesenchymal stem cells,Feasibility Study of Human Umbilical Cord Tissue-Derived Mesenchymal Stem Cells in Patients With Multiple Sclerosis,Panama City,,Panama,January 2014
346,347,NCT04064879,"Chronic Migraine, Headache",The Use of Autologous Mesenchymal Stem Cell Preparation for Treatment of Refractory Migraine,AD-SVF,The Use of Autologous Mesenchymal Stem Cell Preparation for Treatment of Refractory Migraine,Santa Monica,California,United States,"August 16, 2018"
347,348,NCT03279796,Rotator Cuff Tear|Lateral Epicondylitis,Treatment of Tendon Disease Using Autologous Adipose-derived Mesenchymal Stem Cells,Autologous adipose-derived MSCs|Compound betamethasone,Autologous Adipose-derived Mesenchymal Stem Cells in the Treatment of Tendon Disease: a Randomized Controlled Trial,Hangzhou,Zhejiang,China,"October 1, 2018"
348,349,NCT04282928,Severe Pneumonia,Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cells for the Treatment of Severe Viral Pneumonian,Human umbilical cord mesenchymal stem cells|Routine treatment,"A Singlecenter, Randomized, Open Lable, Intervention Controlled Clinical Study on the Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cells for the Treatment of Severe Viral Pneumonia",Shanghai,Shanghai,China,February 2020
349,350,NCT00250302,Tibial Fracture,Autologous Implantation of Mesenchymal Stem Cells for the Treatment of Distal Tibial Fractures,autologous mesenchymal stem cells implantation,Autologous Implantation of Mesenchymal Stem Cells for the Treatment of Distal Tibial Fractures,Jerusalem,,Israel,April 2009
350,351,NCT02957552,Pediatric Liver Transplantation,Safety and Tolerance of Immunomodulating Therapy With Donor-specific MSC in Pediatric Living-Donor Liver Transplantation,Mesenchymal Stem Cells,"Safety and Tolerance of Immunomodulating Therapy With Donor-specific Mesenchymal Stem Cells in Pediatric Living-Donor Liver Transplantation, a 24-month, Non-randomized, Open-label, Prospective, Single-center Pilot Trial",Tuebingen,,Germany,"March 10, 2017"
351,352,NCT03259217,Stem Cell Transplant,Clinical Application of Mesenchymal Stem Cells Seeded in Chitosan Scaffold for Diabetic Foot Ulcers,Stem Cell Product,Prospects of Clinical Application of Mesenchymal Stem Cells Seeded in Chitosan Scaffold for Diabetic Foot Ulcers,,,,October 2017
352,353,NCT00587990,"Stem Cell Transplantation|Ventricular Dysfunction, Left",Prospective Randomized Study of Mesenchymal Stem Cell Therapy in Patients Undergoing Cardiac Surgery (PROMETHEUS),Lower dose mesenchymal stem cell (MSC) injection|Placebo|Higher dose MSC injection,"A Phase I/II, Randomized, Double-Blinded, Placebo-Controlled Study of the Safety and Efficacy of Intramyocardial Injection of Autologous Human Mesenchymal Stem Cells (MSCs) in Patients With Chronic Ischemic Left Ventricular Dysfunction Secondary to Myocardial Infarction (MI) Undergoing Cardiac Surgery for Coronary Artery Bypass Grafting (CABG)",Miami|Baltimore,Florida|Maryland,United States|United States,November 2007
353,354,NCT03798353,Myocardial Infarction,Pericardial Matrix With Mesenchymal Stem Cells for the Treatment of Patients With Infarcted Myocardial Tissue,PeriCord: Expanded and cryopreserved allogeneic umbilical cord Wharton´s jelly-derived adult mesenchymal stem cells colonized on human pericardial matrix.|Surgery by sternotomy,Pericardial Matrix With Mesenchymal Stem Cells for the Treatment of Patients With Infarcted Myocardial Tissue (The PERISCOPE Trial),Badalona,Barcelona,Spain,"May 13, 2019"
354,355,NCT04392206,End Stage Renal Disease,AMSC for Reducing Anastomotic Stenosis in Primary Arteriovenous Anastomoses,Adipose Derived Mesenchymal Stem Cells,"A Phase I, Open Label Study of Allogeneic Adipose Derived Mesenchymal Stem Cells in Reducing Anastomotic Stenosis in Primary Arteriovenous Anastomoses",Jacksonville,Florida,United States,"May 15, 2020"
355,356,NCT00823316,Acute Leukemia,Safety and Efficacy Study of Umbilical Cord Blood-Drived Mesenchymal Stem Cells to Promote Engraftment of Unrelated Hematopoietic Stem Cell Transplantation,Human umbilical cord blood-derived mesenchymal stem cells|Human umbilical cord blood-derived mesenchymal stem cells,Phase 1/2 Study of Umbilical Cord Blood-Drived Mesenchymal Stem Cells Infusion for Promotion of Engraftment and Prevention of an Graft Rejection and Graft-versus-Host Disease After Unrelated Hematopoietic Stem Cell Transplantation.,Seoul,,"Korea, Republic of",August 2008
356,357,NCT03945487,Decompensated Liver Cirrhosis,Mesenchymal Stem Cells Treatment for Decompensated Liver Cirrhosis,umbilical cord-derived mesenchymal stem cell|Comprehensive treatment,Safety and Efficacy of Human Unbilical Cord Derived-mesenchymal Stem Cells Treatment for Patients With Decompensated Liver Cirrhosis,Beijing,,China,"May 20, 2019"
357,358,NCT04312113,Ulcerative Colitis,Angiographic Delivery of AD-MSC for Ulcerative Colitis,"Adipose derived, autologous mesenchymal stem cells",A Phase I Single Site Open Label Study of Intra-arterial Delivery of Mesenchymal Stem Cells for Luminal Ulcerative Colitis,Rochester,Minnesota,United States,"November 16, 2020"
358,359,NCT03477942,Musculoskeletal Pain|Knee Osteoarthritis|Cartilage Injury|Cartilage Degeneration,Impact of Mesenchymal Stem Cells in Knee Osteoarthritis,Autologous Mesenchymal Stem Cells,A Phase I Single Center Open Study to Assess the Safety and Efficacy of Intra-articular Mesenchymal Stem Cells in the Treatment of Knee Osteoarthritis and Chondral Defects of the Knee,Cleveland,Ohio,United States,"October 1, 2018"
359,360,NCT04224207,Retinitis Pigmentosa|Inherited Retinal Dystrophy,Management of Retinitis Pigmentosa by Mesenchymal Stem Cells by Wharton's Jelly Derived Mesenchymal Stem Cells,Wharton's jelly derived mesenchymal stem cell,Management of Retinitis Pigmentosa by Wharton's Jelly Derived Mesenchymal Stem Cells: Preliminary Clinical Results,Ankara|Ankara,Türkiye|Türkiye,Turkey|Turkey,"April 1, 2019"
360,361,NCT01183728,"Osteoarthritis, Knee|Knee Degenerative Disease|Knee Osteoarthritis",Treatment of Knee Osteoarthritis With Autologous Mesenchymal Stem Cells,Autologous bone marrow mesenchymal stem cells (MSV),"Regeneration of Articular Cartilage in Grade II, III and IV Knee Osteoarthritis by Intraarticular Injection of Autologous Bone Marrow Stem Cells Expanded ex Vivo With a GMP Procedure Developed by IBGM-Valladolid (MSV)",Barcelona|Valladolid,,Spain|Spain,May 2010
361,362,NCT04869761,"Chronic Kidney Diseases|Diabetes Mellitus, Type 2|Diabetes Mellitus, Type 1|Diabetes Mellitus|Diabetic Nephropathies",Stem Cell Therapy for Chronic Kidney Disease,Allogeneic adipose-derived mesenchymal stem cells (MSC)-Single Infusion|Allogeneic adipose-derived mesenchymal stem cells (MSC)-Two Infusions,Allogeneic Mesenchymal Stem Cell Therapy in Patients With Chronic Kidney Disease: A Phase I Study,Jacksonville|Rochester,Florida|Minnesota,United States|United States,"October 7, 2021"
362,363,NCT04326959,Keloid,"Implantation of Mesenchymal Stem Cell, Conditioned Medium, or Triamcinolone Acetonide for Keloid",Umbilical Cord-Mesenchymal Stem Cells and Conditioned Medium|Conditioned Medium|Triamcinolone Acetonide,"Implantation of Mesenchymal Stem Cell, Conditioned Medium, or Triamcinolone Acetonide for Keloid Regression: Immunohistochemistry, Histopathology and Imaging Study",,,,"September 1, 2020"
363,364,NCT04898088,COVID-19 Pneumonia,A Proof of Concept Study for the DNA Repair Driven by the Mesenchymal Stem Cells in Critical COVID-19 Patients,Mesenchymal Stem Cells Transplantation,A Proof of Concept Study for the DNA Repair Driven by the Mesenchymal Stem Cells in Critical COVID-19 Patients,Istanbul|Istanbul,,Turkey|Turkey,"January 1, 2020"
364,365,NCT02298023,Rotator Cuff Tear,Treatment of Tendon Injury Using Allogenic Adipose-derived Mesenchymal Stem Cells (Rotator Cuff Tear),allogenic adipose stem cell injection|fibrin glue/normal saline injection|normal saline injection,Treatment of Tendon Injury Using Allogenic Adipose-derived Mesenchymal Stem Cells: Phase II Double-Blind Placebo-Controlled Randomized Clinical Trials.,Seoul,,"Korea, Republic of",September 2014
365,366,NCT01552707,"Lumbar Spondylolisthesis Involving L4-L5, and/or|Degenerative Discopathy Involving L4-L5",Safety Study of Mesenchymal Stem Cells and Spinal Fusion,XCEL-MT-OSTEO-ALPHA|Standard treatment,"""Ex Vivo"" Expanded Autologous Bone Marrow Mesenchymal Stem Cells Fixed in Allogenic Human Bone Tissue for Spinal Fusion in Spine Degenerative Disease",Badalona|Barcelona|Barcelona|Barcelona|Barcelona,Barcelona,Spain|Spain|Spain|Spain|Spain,"July 19, 2012"
366,367,NCT03673748,Lupus Nephritis|Lupus Erythematosus,Treatment of Lupus Nephritis With Allogeneic Mesenchymal Stem Cells,Mesenchymal stromal cells (MSC)|Placebo,A Phase II Controlled Trial of Allogeneic Mesenchymal Stem Cells for the Treatment of Lupus Nephritis,Valladolid,,Spain,December 2022
367,368,NCT02881489,Amyotrophic Lateral Sclerosis,Autologous Bone Marrow Mesenchymal Stem Cells in the Treatment of Patients With Amyotrophic Lateral Sclerosis,Biological: Cell-based therapy,Evaluation of Mesenchymal Stem Cell Culturing Protocols in the Treatment of Amyotrophic Lateral Sclerosis,,,,November 2015
