,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
72,73,NCT04714801,Lung Transplant Rejection,Adipose Derived Mesenchymal Cell Treatment in Lungtransplantation,adipose derived mesenchymal stromal cells|Saline,"A Danish, Single Centre, Double-blind, Randomized Study Evaluating Allogeneic Adipose Tissue Derived Mesenchymal Stromal Cell Therapy to Reduce Primary Graft Dysfunction After Lung Transplantation",Copenhagen,,Denmark,"October 1, 2020"
73,74,NCT01306513,Emphysema,Safety and Feasibility Study of Administration of Mesenchymal Stemcells for Treatment of Emphysema,autologous bone marrow derived mesenchymal stromal cells,Effect of Autologous Bone Marrow Derived Mesenchymal Stromal Cells Prior to Lung Volume Reduction Surgery for Severe Pulmonary Emphysema- a Phase I Safety and Feasibility Study,Leiden,,Netherlands,October 2010
74,75,NCT04034316,Nephrotic Syndrome in Children|Steroid-Dependent Nephrotic Syndrome|Idiopathic Nephrotic Syndrome,Reduce Immunosuppression With Atmp in NS ChildrEn,Cord-blood mesenchymal stromal cells,A Phase 2 Open-label Study to Evaluate the Efficacy of Allogeneic Human Cord Blood-derived Mesenchymal Stromal Cells in Maintaining Remission After Immunosuppressive Therapy Withdrawal in Pediatric Patients With Steroid-dependent Nephrotic Syndrome,Milan,MI,Italy,"November 2, 2018"
75,76,NCT04675359,Knee Osteoarthritis|Chondropathy,Adipose-derived MSCs After Enzymatic Digestion vs. Mechanically Fragmented Fat Transfer in Knee Osteoarthritis Treatment,Autologous adipose derived Mesenchymal Stromal Cells (MSC) injection into the knee joint,Comparison of the Treatment Results of Knee Osteoarthritis Using Adipose Tissue Mesenchymal Stromal Cells Derived Through Enzymatic Digestion and Mechanically Fragmented Adipose Tissue,,,,"July 1, 2021"
76,77,NCT01449032,Chronic Ischemic Heart Disease,MesenchYmal STROMAL CELL Therapy in Patients With Chronic Myocardial Ischemia (MyStromalCell Trial),MSC|Saline,MesenchYmal STROMAL CELL Therapy in Patients With Chronic Myocardial Ischemia (MyStromalCell Trial),Copenhagen,,Denmark,April 2010
77,78,NCT04333368,Severe Acute Respiratory Syndrome Coronavirus 2|Severe Acute Respiratory Distress Syndrome,Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS,Umbilical cord Wharton's jelly-derived human|NaCl 0.9%,Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS,Paris|Paris,,France|France,"April 6, 2020"
78,79,NCT02055625,Graft -Versus-host-disease,Mesenchymal Stem Cells as a Treatment for Oral Complications of Graft-versus-host Disease,Mesenchymal stromal cells,Treatment of Oral Mucosa in Patients With Graft-versus-host Disease Following Injection of Mesenchymal Stem Cells - Human Pilot Study,Stockholm,Huddinge,Sweden,January 2014
79,80,NCT04525378,"Covid19|ARDS, Human",MSC-based Therapy in COVID-19-associated Acute Respiratory Distress Syndrome,Mesenchymal stromal cell-based therapy,Mesenchymal Stromal Cell-based Therapy for COVID-19-associated Acute Respiratory Distress Syndrome: a Pilot Clinical Study,Salvador,Bahia,Brazil,"July 1, 2020"
80,81,NCT03522545,Treatment-resistant Bipolar Depression,Adjunctive Allogeneic Mesenchymal Stem Cells for Treatment-resistant Bipolar Depression,Allogeneic Bone Marrow Derived Multipotent Mesenchymal Stromal Cells (MSCs)|Placebo,Adjunctive Allogeneic Mesenchymal Stem Cells for Treatment-resistant Bipolar Depression,Houston,Texas,United States,"June 1, 2021"
81,82,NCT04400032,Acute Respiratory Distress Syndrome|Covid19,Cellular Immuno-Therapy for COVID-19 Acute Respiratory Distress Syndrome,Mesenchymal Stromal Cells,Cellular Immuno-Therapy for COVID-19 ARDS (CIRCA-19),Ottawa,Ontario,Canada,"May 15, 2020"
82,83,NCT03810521,"Osteoarthritis, Knee",Dose-escalation of Cellistem-OA in Patients With Knee Osteoarthritis,umbilical cord derived-mesenchymal stromal cells,A Phase I Dose-escalation Trial to Assess Safety and Efficacy of Cellistem-OA in Patients With Knee Osteoarthritis (CLT-OA1),Santiago,Xiii,Chile,"March 1, 2019"
83,84,NCT04711200,Epidermal Necrolysis|Lyell Syndrome|Toxic Epidermal Necrolysis|Overlap Syndrome|Mesenchymal Stromal Cells|Adipose Derived Stromal Cells,LYell SYndrome MEsenchymal Stromal Cells Treatment,Adipose derived stromal cells intravenously injected,Mesenchymal Stromal Cells Treatment in Lyell Syndrome: A Pilot Phase 1-2 Open Trial,,,,September 2022
84,85,NCT05283317,Sepsis|Septic Shock,Effect of Mesenchymal Stromal Cells on Sepsis and Septic Shock,Mesenchymal stem cells,The Effect of Mesenchymal Stromal Cells on the Mortality of Patients With Sepsis and Septic Shock: A Promising Therapy,Kayseri,,Turkey,"March 11, 2018"
85,86,NCT05465096,Hip Osteoarthritis|Hip Disease,Treatment of Osteoarthritis of the Hip Joint With Intra-articular Injection of Microfractured Autologous Adipose Tissue Containing Mesenchymal Stromal Cells.,Micro-fragmented adipose tissue injection,Interventional Pilot Study on the Treatment of Osteoarthritis of the Hip Joint With Intra-articular Ultrasound-guided Infiltration of Microfractured Autologous Adipose Tissue Containing Mesenchymal Stromal Cells,Bologna,,Italy,September 2022
86,87,NCT03007576,"Osteoarthritis,Knee",Treatment of Knee Osteoarthritis With Autologous Mesenchymal Stromal Cell Product (RegStem),RegStem,Phase I Clinical Trial - Treatment of Knee Osteoarthritis With Autologous Mesenchymal Stromal Cell Product (RegStem),Taipei,,Taiwan,"August 1, 2017"
87,88,NCT04290182,Hoarseness|Dysphonia|Aphonia|Vocal Fold; Scar,A Study of Local Administration of Autologous Mesenchymal Stromal Cells in Dysphonic Patients With Vocal Fold Scarring,MSC-KI-PL-204,"An Open Phase I/II Study in Patients With Dysphonia and Vocal Fold Scarring to Evaluate Safety, Tolerability and Vocal Function After Surgery With Local Administration of Autologous Mesenchymal Stromal Cells",Stockholm,,Sweden,March 2020
88,89,NCT04399889,COVID|Corona Virus Infection|COVID19,hCT-MSCs for COVID19 ARDS,Human cord tissue mesenchymal stromal cells (hCT-MSC) manufactured by Duke University.|Placebo,Pilot Study of Safety and Efficacy of Cord Tissue Derived Mesenchymal Stromal Cells (hCT-MSC) in COVID-19 Related Acute Respiratory Distress Syndrome (ARDS),Boca Raton|Miami|Miami|Valhalla|Durham,Florida|Florida|Florida|New York|North Carolina,United States|United States|United States|United States|United States,"June 18, 2020"
89,90,NCT03828123,"Motor Neuron Disease, Amyotrophic Lateral Sclerosis",Autologous Multipotent Mesenchymal Stromal Cells in the Treatment of Amyotrophic Lateral Sclerosis,Suspension of human autologous MSC 3P in 1.5 ml,"A Prospective, Non-randomized, Open Label Study to Assess the Safety and the Efficacy of Autologous Multipotent Mesenchymal Stromal Cells in the Treatment of Amyotrophic Lateral Sclerosis",,,,January 2012
90,91,NCT04744116,Hematopoietic and Lymphoid Cell Neoplasm|Steroid Refractory Graft Versus Host Disease,Addition of Cord Blood Tissue-Derived Mesenchymal Stromal Cells to Ruxolitinib for the Treatment of Steroid-Refractory Acute Graft Versus Host Disease,Cellular Therapy|Ruxolitinib,A Randomized Controlled Pilot Study of Two Doses of Cord Blood Tissue-Derived Mesenchymal Stromal Cells Combined With Ruxolitinib Versus Ruxolitinib Alone for Therapy of Steroid-Refractory Acute Graft Versus Host Disease,Houston,Texas,United States,"February 17, 2021"
91,92,NCT04489732,Xerostomia Following Radiotherapy,MSC in Patients With Xerostomia Post XRT in Head and Neck Cancer,"Autologous bone-marrow derived, interferon gamma stimulated mesenchymal stromal cells",Pilot Study of Mesenchymal Stromal Cells in Patients With Xerostomia After Radiation Therapy for Head and Neck Cancer,Madison,Wisconsin,United States,"February 18, 2022"
92,93,NCT02709343,Chronic Lung Allograft Dysfunction (CLAD),Trial of Bone-marrow Derived Mesenchymal Stromal Cells (MSC) for New Onset Chronic Lung Allograft Dysfunction,Bone-marrow derived MSCs|Placebo,Phase 2 Randomised Controlled Trial of Bone-marrow Derived Mesenchymal Stromal Cells (MSC) for New Onset Chronic Lung Allograft Dysfunction (CLAD),Sydney|Brisbane|Adelaide|Melbourne|Murdoch,New South Wales|Queensland|South Australia|Victoria|Western Australia,Australia|Australia|Australia|Australia|Australia,"April 21, 2017"
93,94,NCT03504241,Kidney Transplantation|Renal Transplantation|Renal Transplant Recipient,Tolerance by Engaging Antigen During Cellular Homeostasis,Donor-derived Mesenchymal Stromal Cells|alemtuzumab|belatacept|sirolimus|mycophenolate mofetil|mycophenolate acid|prednisone,"Donor-derived Mesenchymal Stromal Cells, Alemtuzumab, Co-stimulation Blockade and Sirolimus for Tolerance Induction in Adult Kidney Allograft Recipients (ITN062ST)",Durham,North Carolina,United States,"July 30, 2018"
94,95,NCT05456243,Kidney Transplant,Adipose-derived MSC to Treat Rejection in Kidney Transplant Recipients,Low dose adipose tissue derived mesenchymal stromal cells (A-MSC)|High dose adipose tissue derived mesenchymal stromal cells (A-MSC),Safety of Intraarterial Infusion of Adipose Tissue-derived Mesenchymal Stromal Cells to Treat Antibody-mediated and Cellular Rejection in Adult Kidney Transplant Recipients (AMSCAR),Rochester,Minnesota,United States,October 2022
95,96,NCT04366830,Moderate to Severe Acute Respiratory Distress Syndrome Associated With COVID-19,"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Acute Respiratory Distress Syndrome (ARDS) Due to COVID-19 Infection",Remestemcel-L,"Intermediate-size Expanded Access of Remestemcel-L, Ex-vivo Cultured Adult Human Mesenchymal Stromal Cells for Acute Respiratory Distress Syndrome Due to COVID-19 Infection",New York,New York,United States,
96,97,NCT04435249,Bronchopleural Fistula,ENgineered Tissue Repair of BronchopleUral fiSTula,BPF-001,"Phase I/II, Open Label Study to Assess the Safety and Efficacy Autologous Bone Marrow-derived Mesenchymal Stromal Cells Seeded on to Decellularised Airway Scaffold in Subjects With Clinically Significant Bronchopleural Fistula",,,,October 2022
97,98,NCT04325594,Chronic Heart Failure|Non-ischemic Cardiomyopathy|Non-ischemic Dilated Cardiomyopathy,The Application of the Umbilical Cord Mesenchymal Stem Cells in the Complex Treatment of Chronic Heart Failure of Non-ischemic Etiology,Cardiac catheterization|Intracoronary administration of the umbilical cord-derived mesenchymal stromal cells,Optimization of the Complex Treatment of Nonischemic Dilated Cardiomyopathy Due to the Addition to the Standard Drug Therapy of Intracoronary Administration of Umbilical Cord-derived Mesenchymal Stromal Cells,Taraz,Zhambyl,Kazakhstan,"March 1, 2020"
98,99,NCT04971161,Skin Ulcer Venous Stasis Chronic,Allogeneic ABCB5-positive Dermal Mesenchymal Stromal Cells for Treatment of CVU (Phase IIb),allo-APZ2-CVU|Placebo,"A Randomized, Placebo-Controlled, Double-blind, Dose-Ranging, Multicenter, Phase IIb Clinical Trial to Investigate the Efficacy and Safety of Allo-APZ2-CVU on Wound Healing of Therapy-Resistant Chronic Venous Ulcer (CVU)",Augsburg|Bad Bentheim|Berlin|Berlin|Berlin|Bochum|Bochum|Braunschweig|Bremerhaven|Dresden|Dresden|Düsseldorf|Erlangen|Essen|Freiburg|Gelsenkirchen|Gera|Halle|Hamburg|Hanau|Karlsbad|Kiel|Krefeld|Langenau|Leipzig|Leipzig|Ludwigshafen|Memmingen|München|München|Münster|Nürnberg|Potsdam|Regensburg|Rostock|Schwerin|Stuttgart|Tübingen|Wuppertal|Würzburg,,Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany,"August 18, 2021"
99,100,NCT04896853,COVID-19 Acute Respiratory Distress Syndrome,Treatment of Respiratory Complications Associated With COVID-19 Infection Using ProTrans®,ProTrans®,Treatment of Respiratory Complications Associated With COVID-19 Infection Using Wharton's Jelly (WJ)-Umbilical Cord (UC) Mesenchymal Stromal Cells (ProTrans®): Open Phase IB Clinical Trial,Örebro,,Sweden,"May 18, 2021"
100,101,NCT03209700,Perianal Fistula|Cryptoglandular Perianal Fistula|Crohn's Perianal Fistula,Re-treatment From a Phase I Study of MSC-AFP in Patients With Perianal Fistulas,MSC-AFP,Re-treatment for Partial or Non-responders for a Phase I Study of Autologous Mesenchymal Stromal Cell Coated Fistula Plug in Patients With Perianal Fistulas,Rochester,Minnesota,United States,"July 20, 2017"
101,102,NCT03406585,Type1 Diabetes Mellitus,Wharton´s Jelly Derived Mesenchymal Stromal Cell Treatment of Adult Patients Diagnosed With Type I Diabetes,ProTrans: Allogeneic transplantation with WJMSCs|Placebos,"A Double-blinded, Randomized, Placebo-controlled Trial With Wharton's Jelly Derived Allogeneic Mesenchymal Stromal Cells (WJMSCs) for Preserving Endogenous Insulin Production in Adult Patients Diagnosed for Type 1 Diabetes",Stockholm,,Sweden,"November 28, 2017"
102,103,NCT05464381,Epidermolysis Bullosa,"Allogeneic ABCB5-positive Dermal Mesenchymal Stromal Cells for Treatment of Epidermolysis Bullosa (Phase III, Cross-over)",allo-APZ2-OTS|Placebo,"A Double-blind, Randomized, Placebo-controlled, Interventional, Multicenter, Phase III Clinical Trial to Investigate the Safety and Efficacy of ABCB5-positive Mesenchymal Stromal Cells (ABCB5+ MSCs) on Epidermolysis Bullosa (EB)",,,,December 2022
103,104,NCT01860417,Degenerative Disc Disease|Intervertebral Disc Disease|Low Back Pain,Treatment of Degenerative Disc Disease With Allogenic Mesenchymal Stem Cells (MSV),Allogenic Mesenchymal Stromal Cells|Mepivacaine,Treatment of Lumbar Degenerative Disc Disease With Allogenic Mesenchymal Stem Cells (MSV*) *MSV: Bone Marrow Mesenchymal Stromal Cells Expanded Using the Valladolid IBGM Procedure,Valladolid|Valladolid,,Spain|Spain,April 2013
104,105,NCT02336230,Grade B aGVHD|Grade C aGVHD|Grade D aGVHD,"A Prospective Study of Remestemcel-L, Ex-vivo Cultured Adult Human Mesenchymal Stromal Cells, for the Treatment of Pediatric Participants Who Have Failed to Respond to Steroid Treatment for Acute Graft-Versus-Host Disease (aGVHD)",remestemcel-L,"A Single-arm, Prospective Study of Remestemcel-L, Ex-vivo Culture-Expanded Adult Human Mesenchymal Stromal Cells, for the Treatment of Pediatric Patients Who Have Failed to Respond to Steroid Treatment for Acute GVHD",Los Angeles|Orange|San Francisco|Aurora|Wilmington|Miami|Chicago|Detroit|Jackson|Saint Louis|New York|New York|New York|Durham|Portland|Charleston|San Antonio|Richmond|Seattle|Milwaukee,California|California|California|Colorado|Delaware|Florida|Illinois|Michigan|Mississippi|Missouri|New York|New York|New York|North Carolina|Oregon|South Carolina|Texas|Virginia|Washington|Wisconsin,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"June 4, 2015"
105,106,NCT02997878,"Cholangitis, Sclerosing|Hepatitis, Autoimmune","A Single-arm,Phase IIa,Safety and Efficacy Trial of Selected MSCs in the Treatment of Patients With PSC & AiH",Orbcel-C,"An Adaptive,Multicentre, Phase IIa, Multi-disease Trial Investigating the Safety & Activity of a Single Infusion of Selected Mesenchymal Stromal Cells in the Treatment of Patients With Primary Sclerosing Cholangitis & Autoimmune Hepatitis",Birmingham,West Midlands,United Kingdom,"December 7, 2018"
106,107,NCT01586312,"Osteoarthritis, Knee|Arthritis of Knee|Knee Osteoarthritis",Treatment of Knee Osteoarthritis With Allogenic Mesenchymal Stem Cells,Allogenic mesenchymal stromal cells injection|Hyaluronic Acid,Treatment of Knee Osteoarthritis With Allogenic Mesenchymal Stem Cells (MSV*) *MSV: Mesenchymal Stromal Cells From Valladolid,Barcelona|Valladolid,,Spain|Spain,April 2012
107,108,NCT04869397,Covid19,Treatment of Respiratory Complications Associated With COVID-19 Using Umbilical Cord Mesenchymal Stromal Cells,Allogeneic Wharton's jelly-MSCs (WJ-MSC)|Placebo,Treatment of Respiratory Complications Associated With COVID-19 Infection Using Wharton's Jelly (WJ)-Umbilical Cord (UC) Mesenchymal Stromal Cells (ProTrans®): a Randomized Phase II Controlled Clinical Trial,Montreal,Quebec,Canada,"June 14, 2021"
108,109,NCT03901235,Efficacy and Safety,MSC Intratissular Injection in Crohn Disease Patients,Mesenchymal Stromal Cells,Treatment of Refractory Crohn's Disease Lesions by Local Injection of Mesenchymal Stem Cells,Liège,,Belgium,"January 15, 2018"
109,110,NCT01922908,Ischemic Stroke,Mesenchymal Stromal Cells for Ischemic Stroke,MSC Infusion|Placebo Comparator,SAfety of Mesenchymal Stromal Cells for Ischemic Stroke,,,,December 2016
110,111,NCT04341610,Respiratory Tract Diseases,ASC Therapy for Patients With Severe Respiratory COVID-19,Stem Cell Product,"Allogeneic Adipose Tissue Derived Mesenchymal Stromal Cell Therapy for Treating Patients With Severe Respiratory COVID-19. A Danish, Double-blind, Randomized Placebo-controlled Study",Copenhagen,,Denmark,"April 20, 2020"
111,112,NCT02270307,Leukemia|Multiple Myeloma,MSC and Cyclophosphamide for Acute Graft-Versus-Host Disease (aGVHD) Prophylaxis,Cyclophosphamide|Mesenchymal stromal cells,Allogeneic Bone Marrow Transplantation (Allo-BMT) From Human Leukocyte Antigen (HLA) - Identical Related and Unrelated Donors in Patients With Hematological Malignancies With High Risk of Relapse Using Cyclophosphamide (CY) and Mesenchymal Stromal Cells (MSC) as aGVHD Prophylaxis,Moscow,,Russian Federation,January 2014
112,113,NCT02033525,Chronic Meniscal Injury,Mesenchymal Stromal Cells for Degenerative Meniscus Injury,XCEL-M-ALPHA and standard rehabilitation|Rehabilitation,A Phase I-IIa Safety and Efficacy Pilot Clinical Trial of Intraarticular Administration of Autologous Mesenchymal Cells for Meniscus Injury,Barcelona,,Spain,"January 31, 2014"
113,114,NCT04018729,Chronic Obstructive Pulmonary Disease Severe,Cell Therapy Associated With Endobronchial Valve,Zephyr Endobronchial Valve|Marrow-derived mesenchymal stromal cell,Bone Marrow-Derived Mesenchymal Stromal Cell Therapy Associated With Unidirectional Endobronchial Valve in Patients With Severe Pulmonary Emphysema: A Randomized Clinical Trial,,,,"November 4, 2019"
114,115,NCT05433298,COVID-19 Pneumonia|COVID-19,Mesenchymal Stromal Cells for the Treatment of Patients With COVID-19.,Mesenchymal stem cell|Placebo,Multicenter Phase I/IIa Study of Mesenchymal Stromal Cells for the Treatment of Patients With SARS-CoV-2 Pneumonia.,Curitiba,Paraná,Brazil,"May 1, 2022"
115,116,NCT05095532,Chronic Pancreatitis|Mesenchymal Stem Cells,Autologous Mesenchymal Stromal Cells and Islet Co-transplantation in TP-IAT,Bone marrow-derived mesenchymal stem cells|Placebo,Autologous Mesenchymal Stromal Cells and Islet Co-transplantation to Enhance Islet Survival and Function in Chronic Pancreatitis Patients Undergo Total Pancreatectomy and Islet Autotransplantation,Charleston,South Carolina,United States,"December 1, 2021"
116,117,NCT02585622,Diabetic Kidney Disease,NEPHSTROM for Diabetic Kidney Disease,Mesenchymal Stromal Cells|Placebo,Novel Stromal Cell Therapy for Diabetic Kidney Disease (NEPHSTROM Study),Galway|Bergamo|Belfast|Birmingham,BG,Ireland|Italy|United Kingdom|United Kingdom,"December 11, 2017"
117,118,NCT02165904,Spinal Cord Injury,Subarachnoid Administrations of Adults Autologous Mesenchymal Stromal Cells in SCI,Adult Autologous Mesenchymal Bone Marrow Cell,Subarachnoid Administrations of Adults Autologous Mesenchymal Stromal Cells in Patients Suffering Incomplete Spinal Cord Injury (SCI),Majadahonda,Madrid,Spain,May 2014
118,119,NCT02603744,Premature Ovarian Failure,Autologous Adipose Derived Mesenchymal Stromal Cells Transplantation in Women With Premature Ovarian Failure (POF),Intraovarian injection of Adipose derived Stromal cells (ADSCs),Evaluate the Safety and Feasibility of Intra-ovarian Injection of Autologous Adipose Derived Mesenchymal Stromal Cells (ADMSC) in Women With Premature Ovarian Failure(POF),Tehran,,"Iran, Islamic Republic of",June 2015
119,120,NCT04815213,Premature Ovarian Failure,The Use of Expandeded Mesenchymal Stromal Cells (MSC) in Premature Ovarian Failure (POF) in Adult Humans,expanded autologous bone marrow derived MSC,The Use of Expanded Mesenchymal Stromal Cells (MSC) in Premature Ovarian Failure (POF) in Adult Humans: Phase I Clinical Trial,Amman,,Jordan,"January 1, 2020"
120,121,NCT03015623,Acute Kidney Injury,A Study of Cell Therapy for Subjects With Acute Kidney Injury Who Are Receiving Continuous Renal Replacement Therapy,SBI-101|Sham,"A Multi-center, Randomized, Sham-controlled, Double-blind, Ascending-dose Study of Extracorporeal Mesenchymal Stromal Cell Therapy (SBI-101 Therapy) in Subjects With Acute Kidney Injury Receiving Continuous Renal Replacement Therapy",Allentown,Pennsylvania,United States,"June 20, 2017"
121,122,NCT03651791,Ischemic Heart Disease,In Vivo Tracking of USPIO Labeled MSC in the Heart,USPIO labeled MSC injection,In Vivo MRI Tracking of Mesenchymal Stromal Cells Labeled With Ultra-Small Paramagnetic Iron Oxide Particles After Intramyocardial Transplantation in Patients With Chronic Ischemic Heart Disease,,,,May 2013
122,123,NCT05490173,"Premature Birth|Extreme Prematurity|Preterm Intraventricular Hemorrhage|Hypoxia-Ischemia, Cerebral|Neurodevelopmental Disorders",The Pilot Experimental Study of the Neuroprotective Effects of Exosomes in Extremely Low Birth Weight Infants,Exosomes derived from mesenchymal stromal cells (MSCs),The Pilot Experimental Study of the Neuroprotective Effects of Exosomes in Extremely Low Birth Weight Infants,Moscow,,Russian Federation,"October 5, 2022"
123,124,NCT05131412,Pneumonia|Hematopoietic Stem Cell Transplantation,Mesenchymal Stem Cells for the Treatment of Pneumonia Post Haematopoietic Stem Cell Transplantation,,Mesenchymal Stem Cells for the Treatment of Pneumonia Post Haematopoietic Stem Cell Transplantation: a a Retrospective Cohort Study,Guangzhou,Guangdong,China,"August 8, 2018"
124,125,NCT04445220,COVID-19|Acute Kidney Injury|Sepsis,A Study of Cell Therapy in COVID-19 Subjects With Acute Kidney Injury Who Are Receiving Renal Replacement Therapy,SBI-101,"A Multi-center, Randomized, Case Controlled, Double-blind, Ascending-dose Study of Extracorporeal Mesenchymal Stromal Cell Therapy (SBI-101 Therapy) in COVID-19 Subjects With Acute Kidney Injury Receiving Renal Replacement Therapy",Albuquerque|Charleston,New Mexico|South Carolina,United States|United States,"November 19, 2020"
125,126,NCT04210440,Hip Necrosis|Hip Injuries,The Treatment of Initial Stage of Hip Osteonecrosis: the Core Decompression,Core decompression procedure,Core Decompression With Bone Chips Allograft Adjuvanted by Fibrin Platelet Rich-plasma (PRP) and Concentrated Autologous Mesenchymal Stromal Cells (MSCS): Results in Avascular Necrosis of Femoral Head (AVN) After 2 Years Minimum Follow-up,Bologna,,Italy,"March 1, 2003"
126,127,NCT04456439,Multisystem Inflammatory Syndrome in Children (MIS-C) Associated With Coronavirus Disease (COVID-19),"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Multisystem Inflammatory Syndrome in Children (MIS-C) Associated With Coronavirus Disease (COVID-19)",Remestemcel-L|Hydrocortisone|Diphenhydramine,"Intermediate-size Expanded Access of Remestemcel-L, Human Mesenchymal Stromal Cells, for Multisystem Inflammatory Syndrome in Children (MIS-C) Associated With Coronavirus Disease (COVID-19)",,,,
127,128,NCT04629833,Steroid-refractory Acute Graft-versus-host Disease,Treatment Of Steroid-Refractory Acute Graft-versus-host Disease With Mesenchymal Stromal Cells Versus Best Available Therapy,MC0518|BAT,"A Randomised, Open-label, Multicentre, Phase 3 Trial of First-line Treatment With Mesenchymal Stromal Cells MC0518 Versus Best Available Therapy in Adult and Adolescent Subjects With Steroid-refractory Acute Graft-versus-host Disease After Allogeneic Haematopoietic Stem Cell Transplantation (IDUNN Trial)",Grenoble|Lille|Nice|Pierre Benite Cedex|Rennes|Toulouse|Vandoeuvre les Nancy|Munich|Würzburg|Frankfurt am Main|Hannover|Münster|Essen|Koeln|Dresden|Leipzig|Jena|Jena|Berlin|Bonn|Essen|Frankfurt|Freiburg|Mainz|Mannheim|Tuebingen|Wrocław|Barcelona|Barcelona|Barcelona|Barcelona|Barcelona|Madrid|Madrid|Valencia|Huddinge,Bavaria|Bavaria|Hessen|Niedersachsen|Nordrhein-Westfalen|North Rhine-Westphalia|North Rhine-Westphalia|Sachsen|Saxony|Thüringen|Thüringen|Dolnoslaskie,France|France|France|France|France|France|France|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Poland|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Sweden,"August 16, 2021"
128,129,NCT02838069,Osteoarthritis,A Study Evaluating the Efficacy of a Single Injection Autologous Adipose Derived Mesenchymal Stromal Cells in Patients With Knee Osteoarthritis,Injection (2x106 ASC/5ml).|Injection (10x106 ASC/5ml).|Placebo,"A Phase IIb, Prospective, Multicentre, Double-blind, Triple-arm, Randomized Versus Placebo Trial, to Assess the Efficacy of a Single Injection of Either 2 or 10 x 106 Autologous Adipose Derived Mesenchymal Stromal Cells (ASC) in the Treatment of Mild to Moderate Osteoarthritis (OA) of the Knee, Active and Unresponsive to Conservative Therapy for at Least 12 Months",Montpellier,,France,"September 20, 2016"
129,130,NCT04371393,Mesenchymal Stromal Cells|Remestemcel-L|Acute Respiratory Distress Syndrome|COVID,MSCs in COVID-19 ARDS,Remestemcel-L|Placebo,Mesenchymal Stromal Cells for the Treatment of Moderate to Severe COVID-19 Acute Respiratory Distress Syndrome,Gilbert|Los Angeles|Stanford|Atlanta|Fort Wayne|New Orleans|Portland|Baltimore|Boston|Ann Arbor|Lebanon|New York|New York|New York|Durham|Raleigh|Cleveland|Philadelphia|Houston|Plano|Charlottesville,Arizona|California|California|Georgia|Indiana|Louisiana|Maine|Maryland|Massachusetts|Michigan|New Hampshire|New York|New York|New York|North Carolina|North Carolina|Ohio|Pennsylvania|Texas|Texas|Virginia,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"April 30, 2020"
130,131,NCT02382874,Focal Segmental Glomerulosclerosis,Allogenic AD-MSC Transplantation in Idiopathic Nephrotic Syndrome (Focal Segmental Glomerulosclerosis),Intravenous injection,"Allogenic Adipose Derived Mesenchymal Stromal Cells Transplantation to Improve Kidney Function in Refractory Primary Nephrotic Syndrome (Focal Segmental Glomerulosclerosis,FSGS) ,a Phase I Clinical Trial",Tehran,,"Iran, Islamic Republic of",May 2015
131,132,NCT02448849,Bone Fracture,Autologous BM-MSC Transplantation in Combination With Platelet Lysate (PL) for Nonunion Treatment,Percutaneous injection|Percutaneous injection,"Use of Autologous Bone Marrow Derived Mesenchymal Stromal Cells in Combination With Platelet Lysate Product for Human Long Bone Nonunion Treatment, A Phase 2-3 Clinical Trial",Tehran,,"Iran, Islamic Republic of",June 2015
132,133,NCT04397471,Healthy Volunteers for Bone Marrow Donation,A Study to Collect Bone Marrow for Process Development and Production of BM-MSC to Treat Severe COVID19 Pneumonitis,Bone Marrow Harvest,A Study to Collect Bone Marrow for Process Development and Production of Bone Marrow Mesenchymal Stromal Cells to Treat Severe COVID19 Pneumonitis,Cambridge,Cambridgeshire,United Kingdom,May 2020
133,134,NCT04294290,Autism Spectrum Disorder,Open Label Phase I hCT-MSC in Toddlers With Autism Spectrum Disorder,hCT-MSC infusion,"AN OPEN LABEL PHASE I STUDY OF hCT-MSC, AN UMBILICAL CORD-DERIVED MESENCHYMAL STROMAL CELL PRODUCT IN YOUNG CHILDREN WITH AUTISM SPECTRUM DISORDER",Durham,North Carolina,United States,"February 24, 2021"
